,ss 1000,ss 2000,ss 3000,ss 4000,ss 5000,ss 6000,ss 7000,ss 8000,ss 9000,ss 10000,ss 11000,ss 12000,ss 13000,ss 14000,ss 15000,ss 16000,ss 17000,ss 18000,ss 19000,ss 20000,ss 21000,ss 22000,ss 23000,ss 24000,ss 25000,ss 26000,ss 27000,ss 28000,ss 29000,ss 30000,ss 31000,ss 32000,ss 33000,ss 34000,ss 35000,ss 36000,ss 37000,ss 38000,ss 39000,ss 40000,ss 41000,ss 42000,ss 43000,ss 44000,ss 45000,ss 46000,ss 47000,ss 48000,ss 49000,ss 50000,ss 51000,ss 52000,ss 53000,ss 54000,ss 55000,ss 56000,ss 57000,ss 58000,ss 59000,ss 60000,ss 61000,ss 62000,ss 63000,ss 64000,ss 65000,ss 66000,ss 67000,ss 68000,ss 69000,ss 70000,ss 71000,ss 72000,ss 73000,ss 74000,ss 75000,ss 76000,ss 77000,ss 78000,ss 79000,ss 80000,ss 81000,ss 82000,ss 83000,ss 84000,ss 85000,ss 86000,ss 87000,ss 88000,ss 89000,ss 90000,ss 91000,ss 92000,ss 93000,ss 94000,ss 95000,ss 96000,ss 97000,ss 98000,ss 99000,ss 100000
rc 0,22.080717882669717,18.445027331875764,16.52207871704477,18.33236367020468,15.880156246739801,20.077373171488315,18.156142876940812,17.679077493015807,18.98644955383313,19.885758647597463,19.685732808081315,20.34769413414859,20.13285699195717,19.005321385464814,19.742241384957786,19.405988748922734,19.812675274092907,18.999679152275938,18.530922984928107,17.814253040196867,19.561058614775614,20.25840721261381,21.921314489476426,19.72426002601503,19.972463097953217,20.242869526684725,20.929280315079236,21.27742610273249,22.633268603843966,19.051723899198105,19.986831617684253,20.33314503767,19.79059695226024,19.535835054360884,19.406973617460626,18.689367480835386,18.648615574196405,19.512211837698512,20.754300653021073,19.920048182796773,18.919234409360783,18.072266334985386,20.073394758456566,18.357014361630554,19.62494210503984,20.0635310312846,21.177907860412937,19.534242853675703,19.19022293056091,19.590405538376935,20.04488877988268,19.69375615548113,21.167733422283053,19.98255166696743,19.83945776882712,20.98198897886454,19.66706203777245,20.70484460461247,20.165932370733163,21.135128469618667,20.315830939187027,19.8128671718245,21.146921870943498,21.3205232929089,21.046245418075948,19.906699863900712,19.699865645741433,20.919827949591514,19.980698922039217,20.741443855951044,20.483639972036272,20.568972478844113,20.49591166015766,19.763900751586686,18.73496531323452,19.995405277269988,21.317383902231704,19.69006903060294,18.902368004801865,20.46121182451509,22.934024908398065,20.192751956548292,19.96108966592898,19.64197448083073,20.421513143150612,21.16246812346485,20.075563382097428,20.17832981579826,20.619911866530032,20.48324535122282,20.792916350068396,20.773256599008032,21.247095410214673,20.92852023026736,20.518073364383053,20.41187278452479,22.051152380094834,19.964905365726278,20.75822467216834,19.322946883962718
rc 1,15.279508138908259,15.540632407937679,18.379259978610552,18.039379185131853,15.949011899454018,19.14802927675484,19.844359574293915,19.898942511312445,18.802006649944964,17.358602029074287,18.57702720656836,19.634507248738434,18.331823578474452,20.664745649597386,17.484283429596296,19.065309678338743,20.739343692873746,20.673037379661654,19.92807352411257,20.68279231488657,20.514615899706534,19.382087141701273,18.713151575703595,20.190680722963137,20.30801060705238,20.386972901682107,18.874452067154525,20.653805893259133,21.615467786779575,20.842295249789448,19.878236092985496,20.24639797493002,19.797675735607648,20.573003954374656,20.95086689704172,20.591568216650458,20.55947535971305,20.550072783054397,19.934633758100514,19.720717371069007,19.93199608120524,20.47237628314362,19.897516497912545,20.25693269937217,20.156746596755205,20.81925147663262,20.158552044909847,20.025424796117523,20.73818281300786,18.56067564314709,19.53173677009663,18.644752403955493,20.448393184716974,21.395626885190413,19.633977547134336,19.6369210966067,20.364083867297943,20.621688582599894,20.26161637882356,18.87062538170718,21.0755469900828,21.649844125275287,20.70689141846113,22.3198027195169,20.90821116237299,21.52326683156712,22.48945599118105,20.189268512541915,21.599736898559875,20.502300729048013,20.697478913321255,20.813778317744163,21.36314078192823,21.38493631447185,20.175494487153493,21.89720301739912,20.301171818923997,19.99424289967854,20.39781595772668,21.134241173032517,20.438288787839394,20.75317395750285,20.218497321711915,20.079672659720075,21.077591673523756,20.381008501067047,20.008376609881346,21.01907972987724,20.377857187460926,20.603757259766347,19.61978087113691,20.372169333350485,21.375738959057447,19.837330180790673,21.464338426931526,19.09630406471178,20.5177052395115,19.451823249893497,20.764845541344968,20.81271929906429
rc 2,17.353805619073153,18.832208706333525,15.837175030012247,20.176733623683038,17.56531460622482,18.695742456536408,21.13619101897735,18.41912175688824,21.77228602414756,22.317263198965662,19.78568691334901,21.831417194962853,19.545090476571428,19.715248634308672,19.619633179762964,20.709907870925484,19.35247583969312,18.356262838171606,20.113413705941056,19.948926040731532,18.99325967438438,18.986882196688292,21.15987289808052,19.393725983534555,19.491677315699143,20.076769606644774,21.157291283755686,21.15170658153894,19.631158975870502,19.879630672352125,19.965071844369525,19.834524425233358,19.436593838040757,19.871129358132837,19.63688481014583,21.363200354208505,19.638224284432514,20.462621138552834,20.050621410319636,19.95575690118958,19.165216522982597,20.217979860499735,20.468305540318354,20.95069008035031,18.817876900949933,19.246619473431704,19.588771885684345,20.891079833672595,21.753984740404114,18.670816905903493,18.49201193310135,20.20811554286768,19.20958068834493,21.815321536843275,19.048189417398582,19.983770050800523,19.388971317775567,20.315410440011853,19.655278983384857,21.17574645834061,19.44513888042508,21.12244877255677,19.485329317796555,19.928958347700096,20.284020909601672,19.935750166853627,20.450123688874122,21.079828981413645,18.845847171002138,20.19677557569427,20.543560387179152,21.249747903618843,19.271235896091955,19.762612554159016,20.20322580842695,19.579883920936506,20.812861571141333,20.123174983052852,19.616082761866927,21.131097198968874,21.80598804431571,20.03696339416258,20.425620608329226,20.303030383245414,19.99524854414561,21.55132974189313,20.155738707203305,20.648620855579857,19.830584400441566,20.845689743822618,21.135364986853954,20.71239965704562,22.084809317909183,20.801488082013435,18.66005591009147,21.042923000379712,20.118974142053332,20.260724431988518,20.584306764796334,20.099330679570674
rc 3,16.986414075097773,18.933293473926966,13.864680557493124,20.03144876527542,19.387243281797808,18.782113576320228,21.60204516963885,20.80051984828947,19.94361135161618,18.638718366811847,20.545404874009517,19.77918548167823,19.991309300339715,20.772954476498587,20.044025551991304,17.791847843750908,20.436370623365363,18.062001420303332,18.95817763837965,17.94519110605103,19.9254262504996,21.741776657844575,19.035926152542274,20.311569543611892,19.623613194847874,20.983680234870448,20.779576954252065,19.029690054924483,19.276492562672665,20.26549710894311,20.641874469734198,20.39731767176672,19.605485860388406,21.818984274292404,19.57205859231353,18.491369996141906,19.037309733369256,20.00550117979239,19.34921708005319,19.87355368166498,19.502289474984515,21.045820760458216,20.12174200668647,20.13010593756211,19.803834961909278,19.955359623306236,20.70827006356415,21.045724766583973,19.57634926180518,18.80020786352781,19.335337616791204,20.8943437071993,20.771479412143933,20.88175712173965,19.724471368741415,20.450435416278463,20.5351594135285,20.782943687179102,19.43773640480615,20.328442151854247,20.2093817489911,20.67961262850823,20.162688423720336,20.367708218845117,20.453704974725174,19.516502234584824,20.266594284321155,19.83999594614895,20.51627112540572,21.548602595983112,20.929176722603827,19.505093642951927,21.060055706305754,19.92151206628587,19.32397275928349,20.892696685595524,19.440171622864796,20.665518848369512,21.463546199369773,22.053619744971932,20.16793217897519,19.97291693507373,20.91563599911533,20.346321987736705,21.08389318019252,19.36307222723745,20.093602734748693,19.361519516774656,21.52899265336769,20.322784311415077,20.115552323823678,19.67933984681071,20.364854751479882,20.91465163819847,19.93361550963433,20.41472703395175,21.08774777169762,20.968254587006843,20.338457213526056,20.37294847010585
rc 4,18.775803542345226,18.46733309176326,16.499746033806932,18.933411135629314,22.782618033662338,18.37095505313488,19.96806707100758,18.430206546116406,19.739070866351216,17.64917714843694,16.71919260030508,21.40041872393497,19.755921142619822,20.664030992034693,19.026744023283435,21.700789642601812,21.7093614138676,19.61669494940636,20.09570757743015,20.557964066550213,20.05551771752365,20.071400760914035,20.844468413402616,21.557540025905144,19.427599707121967,18.4977856314654,17.58311896314074,20.01904646960332,18.25701624758917,18.4988121281271,21.066995557140338,18.73202951391825,20.073262110008447,20.17943129254007,19.243672896766935,19.36330493330671,20.379682807851612,19.365125007029253,20.268210418028154,20.22138706828281,20.412973484646166,19.310227934505892,20.60553167071689,18.026978977022917,19.855932406841276,20.489232046810177,19.890007894142016,21.236898019204347,19.976121567352802,20.889972753364432,19.898721149030745,21.02712866560329,20.380712362572435,20.545474180216463,21.37563410706103,19.80401442971479,19.36952469052046,21.25301316801436,21.04211208717232,20.2531212250073,20.274007248018332,18.346618520622073,19.829063059696363,20.48006161040521,19.74019434835451,20.033649511629836,19.068788849278608,19.982843843984035,21.57885213995193,19.13744266818336,20.55317818869999,20.550725232728563,20.80390506478752,19.825233584364042,20.658701873357792,20.406410068002696,19.413270317319327,20.59140407418223,20.80579513900067,21.929701946953873,19.525201624468906,21.042172762263203,19.91731253718517,19.448546497688245,21.076067275003307,19.723751697556622,20.478349309909497,21.81405488190819,20.245397116386098,20.764754694975846,20.59056521647035,21.2292531798659,20.54492956725928,19.931327446403486,20.790133226749198,19.629185736734595,20.103511653343684,20.628797073689466,21.093986498050807,20.14084567312899
rc 5,14.043317288329195,16.81327774615948,18.355978616675987,17.250982007037468,18.73305009344748,21.659928268985173,17.398292825338807,17.6190739459956,20.140223046320926,16.425763324290365,21.4542883774316,21.34405240630047,19.830309431926057,18.021653804067487,18.10086753975926,20.40450836080387,20.208174068771275,21.408907325725405,19.851378104621833,20.074738197883637,19.734537642739244,19.27680817890287,20.26018075129995,21.508975030995558,19.367884850240827,19.603485399357943,21.121272168791908,19.40738598018312,17.97336111356654,19.57087361051982,18.324533723639682,18.88503052807559,20.69564165213472,18.69909743349553,20.152531457048283,21.223817248864908,20.624390680527984,19.889093204940277,18.86059904061995,20.54671376657902,18.753395651975303,20.238244012735343,19.568601405179038,21.00297668059345,23.25279764357963,20.316782409121803,20.221191521170997,19.035406281648907,20.01382205539906,20.504666213684672,20.006813928311217,19.812685659790734,21.95471849823762,20.220438405112557,19.878565960076127,20.366126762480743,20.36330660518926,18.619323204325156,19.516893876370894,19.705577098937468,19.17407213366512,20.153449935022493,19.480463402882002,19.949641641481154,19.656046397524904,21.857012560563902,19.29712978749266,19.510689134030653,21.070584957080907,20.159165486773034,20.895574163455017,22.31755437705901,19.9683719612709,19.94748216094939,20.232091585931233,20.885861337715625,20.10150326672529,21.059279470745594,20.664135150598398,20.478067170294487,19.600223043276664,21.257670673350777,19.678885817477706,19.700292225533055,22.088568585901545,20.57122375796102,21.16248188501556,19.835530818881455,20.559290233899127,22.497034749569668,21.089161728960256,19.53638264444059,19.7236279929511,20.552250366996784,20.625140020151417,20.668544727604296,20.691814827278574,21.112029438499643,20.26649261416061,19.87194514854374
rc 6,17.222047691469072,17.344540869331823,15.472175801041946,21.059230756306643,22.4864366473146,18.678216921691003,20.182362336191897,20.63005425088724,22.859547330087864,18.148139756551764,19.445999178214265,17.147570770807402,18.786909488070755,18.927268129565757,18.034215217209894,21.600670038211202,18.208720642224044,19.44463174851662,20.68430811521084,19.688076189228298,18.95050254027974,21.395304723477654,17.916333065951992,19.50969183205325,20.23240195363067,19.86441500220284,19.6395972792373,19.656222384260072,18.338753898209806,20.63861646165334,20.76648520751698,20.06330677057851,18.57875018299829,19.873828420149547,20.206071129868477,19.22567911916802,20.703436312946288,18.482411615423224,20.478866795917998,20.927113240383825,19.933971958114746,21.40237249265585,20.82829950164344,19.115319780455007,19.729696957874786,20.44564513056439,19.847004627197325,20.029403776584314,20.317458757230444,20.39985911023846,20.848326376483875,20.732146950591574,21.336669042135334,21.100674065993292,20.81870110551942,20.69736466540057,19.530276921092806,18.95850212499535,19.720611248767487,21.435009422257338,19.569219912039507,20.68034843269515,20.255886354654674,20.679246026068633,20.3146509770286,19.82023780539446,21.738537184874446,21.42874886613902,20.77273590372321,20.49683302245491,20.654729643142282,20.86968374048091,20.540555442541134,19.86119931906993,20.260628213811227,19.47558411495124,20.529139473216286,22.696680697015456,20.037874355212693,19.79976415826196,20.319023015061276,19.613070170213348,19.518891167975124,21.333753255550132,19.681053732994695,19.538434628846144,19.13396160722062,19.728788250294063,19.877782322162595,19.8229651343814,18.87516911929701,20.239576980568327,20.477972122558924,20.791113586392168,21.324674696118173,20.724553144731438,20.477763197166617,20.549039841067593,21.317191955488116,19.652952477388578
rc 7,15.635985715635996,18.426737271685855,19.906087771519985,20.70012341331652,16.22556164896325,16.357286088485207,19.637537146156486,22.21554949047698,18.50537087642719,19.197350698426884,20.83395695072111,20.02758197355443,20.48896100254266,18.784792602040095,19.210915155313117,18.51029039593298,19.92777081593138,19.814713230162774,19.945067117892467,18.826246052811296,19.94076302354093,19.99449627976744,20.608137983850497,20.83556867608592,19.066900261642896,19.591651706586244,20.33443177128779,20.244193646531087,18.891469135177562,19.91711604560143,20.072169063462248,18.697929819370323,20.96695884609322,20.63895808932188,20.260324724473232,20.610732338189003,18.732965623944366,18.530777214180258,19.36796795058336,18.709557043629182,19.592919056400103,20.117750987421523,20.219915937834944,18.909518611159193,20.559242718096474,21.133536728253286,20.611280832579165,19.314712698265783,20.675927775501293,20.358166305513766,20.75686790180168,19.379987144668956,18.996133688804054,19.599903255966748,20.101207295667354,21.28776412312451,20.824925656679472,20.634863407641564,20.627653368731917,21.27851824463376,20.704696037730503,19.332262313610777,20.45773247457075,20.10177871605478,19.39374722096646,19.974062984410885,19.157226220116197,19.591372143051633,21.533740236496428,20.32461526091346,20.137741495995268,20.1981608309012,19.72221743358467,20.0180384260116,20.737776600030582,20.689967626440318,20.34045211428727,20.34264762108248,21.109112034175624,19.78472782894874,20.474496044455748,20.446367280772137,20.37283928207495,21.04176727386953,20.097238707364596,19.72607425351364,20.174263922634037,20.14676823480853,20.35728595093795,20.97940093658954,18.323148066909337,20.275975320168676,21.441259949668446,21.44820548191671,21.094271672674783,20.9830762782516,21.442689228921598,18.899482997378268,20.633111295454363,20.18593685992409
rc 8,14.767686799087793,18.74114027139863,17.416534977990217,17.852056008326954,19.566450975290184,19.225073867531265,22.43491043046992,21.08135839792652,19.82512818566302,17.752525805123224,22.069684223798664,19.072105672933763,18.47682255442417,19.796592116822328,18.960345260459448,19.128071093468197,17.292214651437707,18.494361322226847,20.354487391148684,19.76870826948025,19.673567990208817,18.002995745766718,19.1652020060825,20.896667114946002,21.077929229546722,19.666551872375376,19.111710404424183,18.79799603062861,20.172056570566454,20.579693869536136,18.96103803117567,22.149051622667383,19.743533142245994,18.71274568278896,19.502078096543354,20.206775642956252,19.50751983841487,20.58463989291642,20.834924961455428,19.88773567652973,20.958342836012097,20.065270072793137,18.991754273645377,19.933576189217998,20.799338401369415,20.013124604929132,19.89234387667448,20.09282825549577,19.608859749955215,20.319752011655346,21.44349883703703,20.602632556715207,20.65572027348114,19.089138365322018,20.866006915835555,18.819298752730447,20.89469314893351,18.446126307318643,19.16768638122071,19.931122559979265,20.175310505197757,20.036004777179944,20.157368720158093,20.119544068668393,20.96084706802861,19.61403719870578,20.594780257192685,21.20552489806618,20.58636118188156,20.177085434162596,18.568268625837543,20.457980530556718,20.319862005867556,19.98481148418961,20.174383330807608,20.63564361894824,19.358089989781895,20.86609447231993,18.849174789545913,20.137781383918796,20.13321884992246,20.240241954155266,20.79674088432571,19.92478904000631,20.836043437456674,20.47721021821003,20.745886747009305,20.368827985036063,20.611321536902626,20.670857335490542,20.53501792416433,19.92659220086892,20.60007106060872,20.541129835624346,20.386062551959913,19.401880263162585,21.078747434061576,20.642144957482884,20.333030105643825,21.098530277504253
rc 9,19.372041572192117,19.673314376810836,17.106586878345386,17.81228751895538,17.799827546857898,18.986674430721575,19.23060850089496,19.11969854345709,19.51577154367621,19.201558553411164,18.297637361358294,17.77982621712868,20.283525220828214,20.249950574787224,20.940857887025224,21.77058794700517,19.733080428625446,18.53379405697674,19.000167783382242,19.885687621537244,21.060444689044996,20.367924534227384,19.78569669057745,19.529947083814655,19.672756372101308,20.726033088125803,21.076806240429864,18.878471837078674,21.43435889392325,18.315615853224177,19.553670008619736,20.91951570771851,21.12139085007912,19.71417666564468,19.333940854774955,20.715914498787804,19.71197186224223,19.295391293096678,21.035341252878236,20.453495827133526,20.889156996930055,20.49200036694424,20.201413216255506,20.222450172477966,20.61772345267103,21.513966814913882,19.220003718333427,20.33879218801424,20.37789619206908,21.144438224248287,20.577329749848225,20.35576155537284,20.629285251672616,19.27354143688932,20.442762730544494,20.99856586929839,19.575507331724985,21.09029847299612,19.526005481486617,19.10939731522551,21.42822851445736,19.780955209739282,20.853021021751072,20.01528752948697,19.724401947893266,21.247734221201643,20.417831802884027,20.783462497184246,20.704210785638605,20.665140578491048,20.34290984668145,19.679799553552684,21.302908300544736,20.60093357206246,19.51509137620855,20.69879926551632,21.55823036675034,19.176292587667763,20.19943168570732,20.25016902850875,19.947727459957793,20.151140971750735,21.257949989309445,20.69154750083946,19.459945056273416,20.18433888700495,19.93480867191702,19.870895998013932,18.87779828557623,20.436514416717642,20.95013461339611,20.770228150209487,19.739767497200578,20.716223709675283,20.074135833099668,20.28930041379371,20.117572959582496,20.205695842250424,19.5982413405023,20.29800036150266
