,ss 1000,ss 2000,ss 3000,ss 4000,ss 5000,ss 6000,ss 7000,ss 8000,ss 9000,ss 10000,ss 11000,ss 12000,ss 13000,ss 14000,ss 15000,ss 16000,ss 17000,ss 18000,ss 19000,ss 20000,ss 21000,ss 22000,ss 23000,ss 24000,ss 25000,ss 26000,ss 27000,ss 28000,ss 29000,ss 30000,ss 31000,ss 32000,ss 33000,ss 34000,ss 35000,ss 36000,ss 37000,ss 38000,ss 39000,ss 40000,ss 41000,ss 42000,ss 43000,ss 44000,ss 45000,ss 46000,ss 47000,ss 48000,ss 49000,ss 50000,ss 51000,ss 52000,ss 53000,ss 54000,ss 55000,ss 56000,ss 57000,ss 58000,ss 59000,ss 60000,ss 61000,ss 62000,ss 63000,ss 64000,ss 65000,ss 66000,ss 67000,ss 68000,ss 69000,ss 70000,ss 71000,ss 72000,ss 73000,ss 74000,ss 75000,ss 76000,ss 77000,ss 78000,ss 79000,ss 80000,ss 81000,ss 82000,ss 83000,ss 84000,ss 85000,ss 86000,ss 87000,ss 88000,ss 89000,ss 90000,ss 91000,ss 92000,ss 93000,ss 94000,ss 95000,ss 96000,ss 97000,ss 98000,ss 99000,ss 100000
rc 0,11.587240777339263,22.065019926231958,16.857151819447278,18.45170791045022,19.652073709275125,18.782226622660428,19.193752827744294,20.5342360030101,21.458946738645245,20.013300378787932,17.14977350294634,20.28622580449319,18.229242385839708,19.62538107428096,20.46155622322277,20.706470469384776,19.580055762335054,21.729216040954267,18.607592443203053,20.337292546464965,21.636526023190832,21.292027555315766,19.766002544420537,19.296444376708116,19.230640124754785,22.378435336914745,19.117553553642143,20.062565304039126,19.23304350236353,20.404683239878988,18.652715663933343,19.606584972546916,19.31516717258497,19.670466259292937,19.548900289090795,19.53828337766097,20.309043785334755,20.509007244591302,19.005703770086477,20.09482591266949,19.822925056713263,21.167813425155924,18.279311804961225,21.130935461402693,21.674676973255863,21.107193927422912,20.327478860129236,20.106935434174037,19.852418427968875,20.70414011417536,20.87398304546254,20.32596658725171,19.54386355021445,20.0887261750684,20.797469040268748,20.34791488930499,20.480986673642363,20.34518816977639,20.45270304338302,20.794828289390793,20.17896558277519,20.260862679958322,20.153807399736145,20.328212679500506,19.723372231057233,20.353887668412597,19.733580398417228,19.17496287128896,20.662974073843007,19.716271845450507,18.72508403477902,20.349090585579976,18.921212140936863,19.848339633002457,19.007750363219618,19.46951394821567,20.188616047379497,21.28369658029597,18.010555890078088,20.910985498321672,20.418199895968005,21.8055942157647,20.48277571398864,19.862748926208273,20.742819734841646,20.15590382242814,20.322444347131427,21.120693790296173,20.81358924908818,20.477602186821024,20.817568133245647,21.385614098810017,20.181762638871355,20.83271408150062,19.683352772243385,21.190185934424555,21.22463755182978,20.021500872018827,19.999630190515592,20.84331325276618
rc 1,15.046362698163326,18.750693842423157,15.87273611259459,17.45476155198568,21.19685876720878,15.965863773308415,17.718890332497956,18.253763731203314,18.861211254902194,20.257391195854368,18.62234804321337,18.961117154492996,20.628267284000117,18.778385162403335,20.15967399974892,19.708709562830016,19.01583080801828,20.263848275153837,21.88053408436913,19.231965755909492,20.10877920549476,19.78551986911053,18.699253706340578,20.88883617213271,19.684388781298804,17.370223314276046,19.746973365359512,19.09089883940421,19.078974642715803,20.80815296149404,20.419956346458534,19.399833698142942,20.09100745265379,20.283218474834932,18.883404286220557,20.218735750531945,20.06219789829817,20.033939352950444,19.832158330799356,21.12508289056666,20.555621003281246,19.568965136186467,18.726643349900574,20.39101117147425,20.21010042650364,19.371262048305585,19.462978546729886,20.768276130864383,21.209093707973963,20.41886522346151,19.396590759135805,19.636747133491166,19.81492216825726,19.46420474510656,20.58814993848587,18.55285549095986,19.65440530349423,19.137461970792963,20.30911106592545,21.1076536344404,19.80415532323274,21.163982013427425,20.185969344783288,20.66457386033198,20.51118764346042,19.936960859788385,20.870193047458482,20.118314897708125,19.472023731021995,19.875198567551006,20.270418728717804,21.382239954063518,20.77513350213198,20.720226597595392,20.0221519940732,22.19973916892607,19.368043659799337,20.954308914726226,19.74817430192288,20.03621720882261,20.005310810373476,19.61404318429661,20.157746298967023,20.3735236271671,20.030765126912154,19.487861579765,20.02554118095094,20.858216572424247,21.581033059644476,19.37190782953024,19.0121544501675,19.484469074016964,20.405433412846993,19.718217325740234,20.603924742791392,19.210074960345352,21.30288507685276,19.58569672996608,20.947581709410844,20.123039643561228
rc 2,14.432545455105462,14.847242070222556,17.66732897097381,19.476805036719202,16.794335144896976,20.145390935284045,17.510948380703848,17.127477264526068,19.088432659740356,16.234605480904097,18.63988275615727,17.77755088969669,18.817138130519016,19.62574725534441,19.53114026608207,19.85913570283949,22.24376775384522,21.11918881674659,18.375802514653362,18.249631839382666,20.197719174492534,19.51751078804479,20.100575117643025,21.407404836218152,19.703989525119923,21.15645040327862,19.26448156492153,19.91746716950141,19.961408714335732,18.575709467743618,20.71191147072687,18.87685280765172,20.34072080284536,19.04703737498637,19.65140923717229,18.662654360030494,20.610812666727558,21.125593719350125,20.4836723726944,18.602903040752444,21.096764870385172,20.202623183992,20.49467199831148,18.45990525521917,21.927925950736793,20.705489476446413,20.925157568997484,22.191653763544995,19.077325233274568,21.350643915395835,19.99454937245605,19.831974507153802,20.693831712489114,21.126841311781853,19.813010843853423,19.706365902000233,19.04775744700341,20.156470519558347,19.059904569748703,20.781320746730266,18.50610506408109,20.586112977729048,21.547504908688477,20.448871287423596,21.495636359952925,19.53767278075703,19.655353634672124,20.348809174985416,20.75663302256977,19.185057145803825,20.20830147815909,20.56781771756158,19.615138924052744,20.35518227184053,20.30539124467304,19.973820410498572,19.727177656848628,19.49601942242394,20.20081116531489,21.49487142058319,20.405318453495283,20.956303569311878,20.42769878817335,20.631852401368068,19.405589396556596,20.877684526476813,19.698611240017335,20.013891943096922,19.598676611528518,19.942526395533786,21.585568029910974,20.21233430639132,20.81531527810593,20.11168760311448,20.028169377208293,20.86379011330464,20.613934538861677,21.085423906166316,20.87897002952882,20.64933221083075
rc 3,13.123788556826398,16.819105092649117,19.4124042478522,17.419341611748145,18.02627880407014,16.557836490838724,21.240063743702652,20.872037737187636,17.680439856009983,19.140874990708248,20.11809192096118,19.894875940649094,18.963563767031886,18.815569039673566,20.65570574317639,17.450840802324127,21.080882974781037,17.199299610760082,20.283131345392576,19.229965899395186,21.717640795918935,20.041707821448867,18.17684835528085,19.834328516867235,21.172755234903637,22.12149982443678,19.876160538446097,18.48833776760094,20.77058803160464,20.087868855456772,18.89101511405281,18.31194347439325,20.89434565261515,19.22042334193651,22.593589913599477,20.460265164650277,19.71691257260791,19.191888831311186,19.963557092300483,19.07423028402367,19.864198751586702,20.29250233333025,20.772061834310193,18.685556711328836,20.42144199610022,19.615181168723552,20.270065158016138,20.737081494631596,19.908107742579965,19.3423720234483,19.095691030929352,20.496553768329022,19.420146357811653,20.357075707123926,19.400763612466832,20.386816119454757,19.242847425540017,20.289281319850854,19.980391248692126,20.880345826599,20.006722690082785,19.616005477433223,19.428777312732016,18.75240365266337,19.859573098601512,20.6804546443443,20.691051943130105,21.428196869502145,20.358567808347257,20.4326467862342,20.387744258383826,19.43254286069727,20.074183544464134,19.41267405377058,19.9078237918387,20.420158414661316,18.91050916041333,21.471246758729368,19.78070626612205,19.49115488306186,20.47255026914748,19.70547497708876,20.228925261931938,19.824637951385274,20.091650225787546,21.078921234767176,20.281018274235745,20.29516551728556,21.093767576511446,19.877621208302564,19.72772578352371,20.919295813847793,20.101567919647206,19.484942149115852,21.314507376541606,19.688310856796598,20.551168946491917,19.752228541733732,19.788271990452518,20.394903417174785
rc 4,14.890950173569145,17.66822689196993,18.138277659094786,19.739030228917674,17.889368961069845,20.548419129515008,17.232266748206225,20.686846362514043,20.61923115481833,15.787234447184641,20.32769469754324,17.861387075998085,21.31185041681315,20.316813904241112,20.508979791476516,19.740070315984084,19.059732366244223,20.29365570180148,20.48376787854048,19.896180089083916,21.301889969735026,19.820586759280964,20.416967589959814,20.93167582696459,19.978577884576417,20.10952265470629,19.263100916979383,21.070779342918602,19.716127299493994,20.68331615451472,18.292293567436328,21.71759297471371,18.903915685545147,19.21774412692037,18.38768395317168,21.66276756361988,20.111828042595345,19.07133173520404,20.867883097506734,22.10203197540853,20.040052281616454,21.808528310188596,20.054937722038748,19.976770106024908,20.513888943145496,20.212635147233396,19.96508896878571,18.970612222771564,19.344112808371143,21.465282287373043,20.261854167997484,19.275984678065637,18.490259362670454,19.88285680161418,20.09085604064781,19.60386796620596,21.235142157037394,20.314402744855823,20.335429513639742,21.88995906900398,20.112784897315645,18.74344268945569,20.43262236447181,19.883476197494055,20.266013493264897,19.69401748296931,21.539460017907157,21.044015978364676,19.78652341190376,19.269648864237432,20.47614308103726,20.443633501448904,19.511759322046224,20.35548510444607,19.758091551813365,20.90554511953901,19.618991955493957,20.02174724378018,20.845670197395112,21.507705740182132,19.997490622516672,20.431973829523855,19.421104663116687,20.48348587954866,20.81311246829209,21.173391455359372,20.718701363357376,20.946700627875856,19.414813012361297,20.633087718164756,20.606774260300515,20.972724569957265,20.312647678805938,20.0686567937012,19.93431846532268,21.044127954844253,20.665235409021985,19.603485450304934,20.336431084533373,20.125379821840067
rc 5,11.023250171933851,19.041732086829715,21.394835611006773,18.057502821356326,16.074521950012958,22.508531532284795,17.82007353034374,20.33511691456159,20.105851554148078,20.16709463735899,18.572468369428744,18.989940000179327,18.86458006437351,19.323990806074548,19.259269376122422,19.558173855265817,18.51788024311075,18.576180244142044,20.401324775507074,19.062089913566965,19.867052622240575,20.54523553835652,18.528049702622422,21.30684771119522,20.371018817055106,19.873542009820923,20.295841153009597,19.574152528159928,20.54844616888025,19.7826164085421,19.836742176799874,20.72720086588327,20.005704014514446,18.89268489112703,18.588161438012637,19.2663726090315,19.57695838124507,19.18913399611706,20.580704989226927,19.463527282523764,19.406719565475292,20.16772054307731,20.287072576170747,19.109241593798682,19.215908398752347,18.636636384690494,19.275389575536764,19.615728913552626,20.352636094536813,19.075756702416626,22.01059724388164,19.95930490920349,19.626764370306347,19.41461565161671,19.283204388657566,19.67876412524467,19.546058422973903,20.95200307090363,19.801820756572425,21.541145947942773,19.54708748265419,20.18473971403696,20.887614829784855,20.698482588072654,19.496495421254167,21.16776865866101,20.28876803362154,19.899837916758088,19.677569398728377,20.22933499124025,19.156914832942185,20.301865843483675,19.848927189082865,20.027960023826786,19.808444198673982,20.596514319703324,19.525438352214643,20.811871551981636,20.285342929780768,20.727353580747067,20.351018553349263,19.514717339582067,20.48807048953582,19.75596744441599,20.81227322516102,21.103279401998172,19.403295649797997,19.615018603703522,20.65222229147826,20.47628595053626,19.156294726660978,20.50308835207289,20.264684213261877,19.75844225690872,20.752321781161676,20.086206908253512,21.06941268605077,20.26109210123595,20.07374188522053,21.109584954421173
rc 6,17.389206020762625,20.689720022035182,17.900578000188762,21.350550729109543,19.75572081295193,19.108342131909108,18.59083985742107,20.923352938184635,17.97132650602463,19.962638897059765,19.221653534816635,20.1028450099616,20.642175204859264,19.103465733402775,20.167302150397074,17.055788881012248,18.86334531423412,19.81780887408502,18.67906342775096,19.067724528073537,20.493419151699285,20.86516941959772,20.208840311732924,18.03799507609816,20.30729005423233,20.057784816094998,20.251559776029914,19.6112116305923,19.889645897802968,20.481265599802942,18.950977275292416,17.642890139734014,20.53048990608496,18.907867520306052,20.019901951151002,18.02441379764863,20.473303310997018,20.73401863955249,20.21548337165077,20.077005421560465,20.702547420559615,19.7984660663229,20.0940695320561,20.31508234570824,20.17453158672434,19.467044799487283,18.330400048707546,19.17632316040647,21.236789026015078,21.82258816904506,19.568218152038842,19.17052761339716,20.627252648894135,18.961163887082943,21.943783624238158,19.944666645152534,22.114074756152206,20.69638635407582,19.52585957442394,19.95245454405205,20.842629793946784,21.160644132449185,20.57453116644292,19.270327348127196,20.59964506516437,19.797271788706755,19.852527509013413,19.822152298891567,20.65434478137869,20.372898869110248,19.55973831440745,20.544325180837554,21.8079666611605,20.129218872005772,19.325029365490106,18.713636381744603,21.626032318609663,21.567516530426257,20.156214647538505,20.17048725358969,19.752523811101398,20.562151157277253,20.123006117507373,21.098775932932977,19.716654544841173,20.487311269816026,19.862316745815516,21.04315534500944,19.694760858332486,20.578814824463517,19.72856380996985,20.97836436116079,21.347351945365794,20.872218092057217,20.16755205041684,20.841616724016294,19.35156062095397,19.941183176459628,21.68360371331964,19.878212360888167
rc 7,15.207309432414855,17.766113788842798,16.96894550139871,17.662496896332662,18.057798241626866,17.06844624091903,18.14285470644566,19.257961737292586,16.99577186671931,20.00358140621897,20.049092918136697,21.030231685229964,17.75384397585222,19.520591353884637,21.170913188592632,19.29019389481476,21.957953329431025,19.476813864741036,20.943068063729697,19.38879706596005,21.391284076990917,19.37940606329868,18.834190427187103,18.576862308374245,19.498265864416148,19.957108635719024,18.756261955897862,21.027136174555817,19.377480235340517,20.677540083892712,19.501257057711285,20.602736443385325,21.017641661430986,19.773803399019993,21.871462597887774,20.889256371643942,19.666236345706317,20.50068714732716,21.125032171130304,19.274611682305483,19.777433669933153,20.113375841597474,20.283360793920558,21.562408834882426,19.170933180800354,19.57600131383459,21.00146640834792,19.917898774217903,20.437189960519138,17.732573809164705,19.79907152778563,19.600297304206226,20.033588474670847,20.481434091399677,20.080579116092768,19.9571665576163,21.16905252645776,21.14772998138274,21.00915158311186,21.388505793621544,19.65569412037459,18.633627966177265,20.775141857031326,20.997430519510576,19.623247026331768,20.333088202200813,20.256415901707303,19.798253811630143,21.55265103128063,19.249881474959857,20.18510876966635,20.196579349380215,19.468211360469223,19.76571728672314,20.986857757384843,21.56122410574126,21.54049666507858,20.19264616052734,20.178006782220844,20.909478122868222,20.40862254874619,18.94488119740388,19.874275357895588,20.06723308098304,20.41801216075549,19.770478487392396,19.960001664408793,20.019131271194578,20.773181563647444,20.346594143226984,20.40527075719176,19.62595565069708,20.91223356738341,19.71803329883447,20.659793518261257,21.413319291713428,20.478196983974687,21.226967663511214,21.067030353252967,19.342529669517358
rc 8,18.363254294948707,18.687559507291606,17.550664189477942,20.024586522768367,15.837105488635654,19.804348382830288,20.153570185142307,17.162259042768024,17.808779017987064,20.441272942310192,19.988582157644064,18.258472168410545,20.10867300746312,19.118718908733573,21.02845911925555,18.79928772020623,20.064456983853876,19.221655757479535,18.923597999800855,19.91556659386074,19.11887709546997,18.651189700609084,18.772947048700605,21.396146506574407,20.257374078997195,20.422653044452257,18.987704108647552,19.98487489730108,20.472778683860078,18.64657120904865,20.124482928966625,18.71545472586575,18.710579103831122,19.1172032215937,20.71001190864286,20.096961062208663,20.65319829421267,19.83399571205092,19.929707148554318,19.788722636758,19.680924290356014,19.835090432097186,20.248221457346645,20.092329500285473,19.24852011975566,20.990769011820404,19.712576895887853,20.86123904062048,19.217346032193497,18.60227927918571,20.865855673016625,20.451481995845345,19.91559667206021,19.612115887371985,19.995881760480188,19.411987061153955,21.55746718954713,20.632207883975802,19.173819585644413,19.90104546723728,19.907396998084245,18.78423614675728,20.6263805148893,18.82584357890674,20.199094733300264,20.392778784031197,20.936233359703223,20.227541614796248,19.51897932996742,20.031049391259103,19.548427488301567,19.838450602959046,21.09628574893942,20.25615674669436,19.086502583034385,20.474341440404032,19.89396292609395,19.465150803174847,19.73251194449565,21.04719642947613,19.956243759683755,21.13364957370181,20.180197858214225,19.37778507718259,20.90590727007721,20.02762374045789,20.589176113312142,20.535109927974485,19.786650951892895,19.707686507192356,20.633362408294232,20.370516201863857,20.23079097128841,19.898475872444514,20.999723225329124,20.016811679966807,19.47001086531185,20.945103914210264,19.25787624529153,22.003177811693064
rc 9,20.486246630784787,16.245867539211332,18.38525740993894,17.717686657616706,19.18779329477965,17.26358962533512,18.504473334369386,21.135116462928057,18.6683597580206,21.026345994681044,19.789256136216856,19.24785714743677,19.58672593588429,17.989190201488555,19.125957122398514,20.940913150041805,19.388092667035156,21.414910293175684,17.959243302372563,18.71149874353387,21.55586015431667,18.068849343208242,19.853302738717165,20.806554845315645,18.55025458262251,19.888756857056496,20.24453880198945,19.079856121927055,18.977225097264967,18.337421039695876,21.441181397499072,20.937756747649647,19.931760032140076,19.60797100214316,19.679620629212916,21.372772550968104,20.586688570109676,20.48373949082695,20.564560919518435,20.84985137713529,19.633076328157927,20.975695891491615,18.802984160855097,20.193910687961914,21.27594358311611,21.209417971582816,20.177826745755166,21.557449729446944,20.139181084529074,20.414278891983013,19.54332940556858,19.931729223132436,19.566473994580907,19.38365735473679,20.453309918345116,20.88392645023947,19.671357323596467,18.68500863218678,19.476778770130345,20.814498951254365,20.011151853275244,20.367529678607863,19.800603607911736,20.497315659376767,20.03639522313052,19.873711916721383,20.429074453868378,20.406197204237433,20.243849972310414,20.254414002198722,21.039069415828354,21.104012102671916,20.585603074120954,20.094202114430892,20.193285516743007,19.39638729786368,19.838978754727243,19.941689218509225,21.08001168005975,20.06119232837577,21.59697810542578,20.15480906548482,21.70186470129828,20.446597420257408,20.973246835592878,20.000547619001193,21.696030749800666,19.476351450878962,20.30828660017658,21.858067168921693,19.33623492811342,20.712062215561748,22.07703262278264,20.229061145265455,20.97223747451875,21.002373170086567,20.990311041605292,20.79877506620114,19.706616320140103,21.125175710537476
