,ss 1000,ss 2000,ss 3000,ss 4000,ss 5000,ss 6000,ss 7000,ss 8000,ss 9000,ss 10000,ss 11000,ss 12000,ss 13000,ss 14000,ss 15000,ss 16000,ss 17000,ss 18000,ss 19000,ss 20000,ss 21000,ss 22000,ss 23000,ss 24000,ss 25000,ss 26000,ss 27000,ss 28000,ss 29000,ss 30000,ss 31000,ss 32000,ss 33000,ss 34000,ss 35000,ss 36000,ss 37000,ss 38000,ss 39000,ss 40000,ss 41000,ss 42000,ss 43000,ss 44000,ss 45000,ss 46000,ss 47000,ss 48000,ss 49000,ss 50000,ss 51000,ss 52000,ss 53000,ss 54000,ss 55000,ss 56000,ss 57000,ss 58000,ss 59000,ss 60000,ss 61000,ss 62000,ss 63000,ss 64000,ss 65000,ss 66000,ss 67000,ss 68000,ss 69000,ss 70000,ss 71000,ss 72000,ss 73000,ss 74000,ss 75000,ss 76000,ss 77000,ss 78000,ss 79000,ss 80000,ss 81000,ss 82000,ss 83000,ss 84000,ss 85000,ss 86000,ss 87000,ss 88000,ss 89000,ss 90000,ss 91000,ss 92000,ss 93000,ss 94000,ss 95000,ss 96000,ss 97000,ss 98000,ss 99000,ss 100000
rc 0,20.957850928794496,16.057204742360206,14.887560962114234,17.039175714300278,15.592214580810175,19.658764436002368,17.985681299232514,17.25978979176903,18.853778978582515,18.148417546913024,18.948314300507167,19.32478858845084,20.611640040713695,18.082709280649258,19.15196737918307,19.494360615113358,18.561937826848332,19.582665785595584,17.727621037926834,17.96027711216517,19.663198792457994,20.36125852429173,20.437390201159563,19.91768151745268,19.102972424701985,19.650710846719225,20.57477304968697,20.480963481096826,21.41359369494592,18.435987719199733,19.992433185525076,19.868500017112368,19.59051127564514,19.515613575312212,18.850956899013696,19.15760245118763,18.878545420305787,20.07196204434912,20.520508362929622,19.652778271264424,19.086248642326513,18.910133480130224,20.096299414942415,19.690351343086597,20.144666856042907,19.735107306945164,20.584116191138744,18.931092319017974,20.022798665865793,20.08439383856264,20.27246061512077,19.850146824518408,21.294354181902936,19.814297750407285,19.208688716134425,20.315734415539595,20.26159298532409,20.654342220244896,19.903503642356075,21.009157128926983,20.338395540491014,20.094592929041173,20.50306805341079,20.565406472706254,20.964364944127205,20.170910037817652,20.34961800488292,21.13009879854787,20.04236794257772,19.948443717368775,20.32070304168591,19.83478285044932,19.95663449014535,19.93370315201037,19.42429592109704,19.88014380346884,21.10075545766636,19.72095591697566,19.400665634018242,20.690305255303954,21.416710110822546,20.199500245597537,19.93479884759026,20.594010922309366,20.617759874745456,20.618854675077323,20.243541224619598,20.06943592919993,20.306395888539296,19.877715946738714,20.340642286238413,20.648224288123522,20.554441005017487,20.276460019887885,20.671421877585846,20.68108647998318,21.554100952721083,20.789733212086446,20.237192188298835,19.64036951390678
rc 1,12.001102943992493,13.905729384111337,18.0640291877127,19.059217901353346,16.426974148291166,17.59564652500936,19.18010216531763,19.547527935729665,18.413923115484717,18.11677833660881,17.984148775630967,19.837907826254693,17.77800590970275,20.750725423684944,17.572199855718022,19.545219325982448,19.704829919817172,19.65298807927003,18.834654143386143,20.341939574116104,20.474040289858987,20.381171089070836,18.726482562905844,19.861247587181737,20.292610777422734,19.73622291220728,19.30597182559631,20.942852674038633,20.693107339395382,21.062131837589785,19.19504975022066,19.701783961718785,19.05851064187279,19.751463564539712,20.59222537574997,21.09573131352575,20.34090999464991,20.407921194806235,19.100435280227135,20.28214584288121,19.78661220575838,20.400324344582252,20.604850715124368,19.769713965792853,20.336515770187997,21.547924883982784,19.597914363107108,20.50072773552104,19.386436426301465,18.90438085021126,20.171721334291846,18.725208786501227,20.156032289270236,20.170447697297583,20.17476146403201,19.688823646865487,19.375939985036723,20.5125948309139,19.763036419485402,19.494289614942076,20.62749220969661,20.988717713377003,20.486095299530714,21.91237557838383,20.85405357196251,21.36176351182393,21.931867464320398,20.48747066483474,20.671316568352353,20.32713003656505,20.949808971792155,20.52816049677147,20.881647370874898,20.50045838468186,20.123496170220715,21.382005765665692,20.16060879805426,20.485110955493703,19.9338067590625,20.506607191252122,20.559034265945265,20.26756549194631,19.92232401942296,20.126750945058152,20.8172286424584,19.589338213529402,20.378890027034082,20.71705054168723,20.275967673079442,20.469900767871508,19.414869086637466,20.111295003857,20.370153493461405,20.23429232915115,21.768786084667976,19.716998846912205,20.393805883163548,19.763493126115108,20.427068518943695,21.159766499532772
rc 2,15.656502661154288,16.19506345156645,14.430247387519215,17.528388137589168,16.194549374649483,17.002917451734568,20.12349821199744,16.87837057620159,21.027239867478755,20.90338451117427,19.43629877794452,22.052247932668426,18.733004444142917,19.192703916750332,18.057159947351238,20.380354919877988,18.078904217437273,17.660356872116107,20.66223398491294,19.78040623762506,19.80801706258785,18.734844995724167,19.967384649484284,18.70566283533293,19.37988809430347,20.035919551443495,20.61925192085069,20.616848176359834,19.14814570244818,18.116001343613853,19.196168135998217,20.509983506092478,19.05886003589719,19.156064196995818,19.85014240178374,20.797552370595728,19.391585334315582,18.82697910569274,19.524791966038425,19.193775158076914,19.666585993011548,20.01729878155631,20.186850171997044,20.54191692975171,18.642246193348576,19.088046064290904,20.158307146018515,20.393652816961037,21.85167794989702,20.08113734193376,18.917871735229898,20.314361469444144,19.320438933102572,21.492136917599417,19.202838543733606,20.04395160924405,19.525429260644252,20.41901646764817,19.746219750788008,20.99149667386245,19.937502686951778,20.47084699124573,19.73971739186301,20.074556591755893,20.417024480244468,19.44815357809871,20.12421354816282,20.359356816500902,20.241686644911375,20.25933109094708,20.139088840474752,20.866117502236186,19.71538555155137,19.751601105048447,19.837918593625584,20.024095907206814,20.151130176696462,20.11888341133859,19.93121167856221,20.809038795667625,20.769748697051405,20.03596396853484,20.00812156441093,20.06737538162083,20.288876590144472,20.680236170417484,20.159815071827087,20.75418462085517,19.79237084653206,20.9033302842128,20.823771588185803,20.155304248233623,20.760314810301768,20.80407095226622,19.457173252416755,20.574422536648903,20.128431912752323,20.24446701869011,19.86896167754241,20.11474015870674
rc 3,15.097767240700737,15.583390738213005,13.4044522569422,18.194297718992864,19.282068211383027,17.31275836544498,20.574737688228975,19.95490870311052,18.854230643784373,18.62038795512485,20.175928790366132,18.374851380594144,18.893669870824997,20.367585965305246,18.934496060040434,18.566480013346002,19.580325747786585,19.38314680706537,19.14785075110655,17.70624071099885,18.28496946278023,21.396975150802724,18.731548298894392,19.576087274923612,19.36799145171276,20.843870467318933,19.739444967271574,19.557061043606122,19.443091996004352,19.948768738495257,21.006246050329004,20.32030312236017,19.80363325223818,21.14734969937705,19.849970930570787,18.85581784571807,18.79893450896489,19.65970506432066,18.537328241726474,21.091322012042784,19.211048859421467,20.31457772628856,20.092082814472292,20.244891402158686,18.95039396233653,20.461067305845333,21.073076209401677,21.127571650770317,19.81075393151609,18.577651948813916,19.449903662099878,20.356712710890037,20.397542973834526,20.429207980212617,19.396821208986182,19.914784744916844,20.28760384123111,20.29519513121331,20.261658275860967,20.317449746127753,20.23154740828983,20.78431623599517,19.95219481837848,20.220774810802002,20.461626791215867,19.826912822932336,20.13920508502952,20.034305588644774,19.8493230199303,21.335056034988703,20.071720531089273,20.16503926388826,20.67753264910147,19.914462876298103,19.939349950735032,20.732480713819303,19.769096030274703,20.306562156582558,20.965758139096817,21.102168222661184,20.064419778175576,20.375009712537665,21.073303724224107,20.7794151447457,21.110656337783016,19.335388364980382,20.20203946926352,19.657502725610797,21.087004443695662,19.994677217152326,20.282252506698416,19.632069487444806,19.877532895575648,20.468009653078184,20.76168813724241,20.764356900556074,21.204089425998742,20.34993225460358,19.876480483986974,19.711887645558896
rc 4,15.811471636781743,14.76171155553993,13.986027308967316,17.71671316745992,20.643027108731097,16.773733291422765,20.25221962096945,18.69292824370935,19.466192751380134,17.87923601512034,16.287608206798726,20.64305872844255,19.228994699632985,20.2701483652625,18.907367500164778,20.53867610024654,21.389732909339916,18.871785745964644,18.93883096524714,19.48216109786783,19.777147027054205,19.613486687385084,20.658408584677552,21.30456136400357,19.591698881863053,19.17369276042212,17.595753490134243,19.88277574324616,19.297457803421104,19.28996969400449,20.49852050861702,18.90153256528167,19.152714081272038,19.775397536080547,19.740599030268996,18.79418546610199,19.949230444963955,18.63896511344923,20.278225399748305,20.72644139699734,20.155017445812703,19.18199727430685,20.780515565728578,18.317938318964064,20.186298991277848,20.716974922717018,19.978828118135425,20.82648158934758,20.57032719554305,20.46411654302186,20.142190212183348,20.68655055984292,19.66960046495639,20.902574947585183,21.022296042620162,19.717668508460935,19.43927949621293,20.23855159424977,20.514811919299312,20.009269174524984,20.43967822141861,19.23906610312238,19.532026022549328,21.284658765556266,19.896965643271585,19.321978639354988,19.13474278585203,19.371027595479948,20.65913405584893,19.665046189382032,20.552981273690676,20.651281829157487,20.13217544381071,19.801868832218755,20.14821500340159,20.348269655539116,19.569590335746273,21.225476165014346,20.186148560173166,21.191523559730616,19.909189687937197,20.416799743506644,20.179229862021856,19.703747802555164,20.97498414972711,19.967869942459576,20.751193908664167,21.18227325634849,19.75089014511862,19.914441362637216,20.751408911507543,20.09340358446128,20.536064210587853,20.62684470451379,20.199754398761513,19.545334998119017,19.94605427561578,20.796645474773843,20.20960222659717,20.82885391431992
rc 5,10.056014976789994,14.343848829186962,17.164998808751406,16.992314678737863,18.38272794855216,21.432450446074164,17.479656918181394,18.144402587891072,19.420400740804116,18.036387646268473,18.683401057683312,20.42013274728849,20.831850502802425,18.058248228922167,17.946736164038214,19.520770716740866,19.337532040980882,20.78932036321106,18.90567665835825,19.62235275585403,19.95213470535166,19.316691383356265,20.133394306004206,20.232820407307972,18.481196834360308,19.215258187813234,20.528644837376252,19.536380828386974,19.157821000940512,19.331989650541267,18.43193266684646,17.87801539378803,20.696990409705634,19.736138686144105,19.707207977602035,21.1579291961284,20.64708169139479,19.233516863711255,19.063677975364048,20.803564538174637,18.934761658117843,20.296314623922832,19.359262837924454,21.037511889752526,21.493570323454957,20.00837225145398,20.50239870361941,19.237423862978854,19.75847902291466,19.94206719404135,20.605262062684893,20.40624793498359,21.453902382809265,20.32040095609854,20.027706208193045,20.385509413689455,19.760491807260966,18.749326456208273,19.754688141969314,19.692043444281943,19.86274209893432,20.5692792322132,19.730435621160364,19.534787094235718,20.1433814052711,20.381110362417544,19.097447951600678,20.14735427515804,19.687686548466107,20.333376204037986,20.436022979416794,21.54437567146256,19.948085812780647,20.309399600912318,19.72857328103926,19.988747668428623,19.93671804829268,20.688453255433544,20.072507039912235,20.240169589749765,20.200084971765946,20.805884049582122,19.671412971936533,19.672320175098445,22.168563167628687,20.559448352395318,20.638395447063683,19.756998785812016,21.333813284920566,21.557883480847504,21.164279364724166,19.872629123433665,19.6296907903485,20.39749136198045,20.55741495756605,20.229162729165072,20.415349579688296,20.664047153375144,20.58762844398949,19.72595319663412
rc 6,15.151046296046868,15.03617700725868,15.313056992449656,20.29363114871115,21.687991025286216,16.914392008366075,20.52322574836772,19.28480181401063,22.591923528840294,17.860986496965744,18.869158488938318,16.934498987165856,17.803037021937342,18.441895690643225,18.07541564013077,20.21103876190906,18.122357405624726,19.234071752517238,20.2024361740079,19.3427567323989,18.4385664894493,20.563974254979772,18.449282241061972,19.962612160263287,19.089558935958415,20.053795401645232,19.402668755859757,19.11797199927132,18.874332435056047,20.16240863683608,20.308534060304535,20.336339207099936,18.28963632245894,18.995090843283954,20.318735853319836,18.8117288667917,19.00992977235346,19.231287455283816,18.98329546271509,20.22709532088638,19.331954327430815,20.58203857213347,20.77464693720287,19.77949036573426,19.361340964461366,20.321125993740203,19.648280683842078,19.114148515344635,20.139620382896215,20.129510395167113,21.46982858504237,20.401512055584764,20.682773841407087,20.512944889609837,19.829463079552255,19.423912110561922,19.26680532663386,18.875942906203903,19.943643100449968,20.668741299966392,20.149287265519444,20.169789297899698,20.555377905156963,20.58253526958215,19.93783394260366,20.03761515586941,21.403075460044416,20.5131892367799,20.48232589118601,20.668511819810405,20.285301531790886,20.66505361343814,20.332053908599004,20.248277982686677,20.411906498311968,19.448266091675244,19.970887059145515,21.475960180092454,19.89857979376404,19.585389935528593,19.945106392496786,19.905720403961524,20.02499436577927,20.953027219115512,20.09882849238234,19.64373122157873,19.59446787407705,19.473767615681883,19.92286675102003,20.297428097444012,19.564068423335907,20.523437097931307,20.51706150197048,20.615810504177222,21.122643447650916,20.46544693379425,19.67124783656819,20.935254794765605,20.839506893909427,19.61954686713539
rc 7,14.858977634554922,17.4528162764255,18.39843143985992,18.259095781679633,16.69229383908834,16.051980612820746,19.49084929534086,21.691399290531884,18.28645069513706,19.136300497848417,20.83635361095259,19.820979623578342,20.248499220267277,18.729774892621812,19.62670566659776,18.80441264632323,19.486779753004413,19.783943595041784,20.057826447890648,18.784125929298877,19.50991343333677,19.238266084293578,19.75650603743926,20.464047974819984,19.420824665946277,18.742585675093927,21.198194014364017,19.60023163330628,18.061141929140607,19.068229261287932,20.15551821025295,18.863070395638257,20.922142946503755,20.457593851659265,19.95266099015699,19.847297302728872,19.515621268425207,19.211824281328575,19.433220494840945,19.424504538875276,18.911449933314703,20.836260372955326,19.84106354413932,18.56331111975628,20.76455707565264,19.61621458883907,20.235580642562947,19.772053945880394,20.266303854442157,19.801495190288357,20.402253514006965,19.359344979663103,19.19714272134826,20.13439749511122,20.230783401278412,21.1285555599577,20.454768344200545,20.358198068240533,20.571052725803163,20.51136893321653,20.459983883862353,19.389582414054065,20.240637517060858,20.210186472685493,18.77971482855573,19.707240786939963,19.67708380795201,19.78740990580337,21.180007490751183,20.511235026841877,20.210404569451736,20.333237036251667,19.501902423132595,19.816066409394903,20.64275495826313,20.822945437389546,20.39231666782506,20.098149007795318,20.836268333118277,19.714049516337116,20.783911239333843,20.60457959734867,20.637079885034243,20.989346598257775,20.815554286818635,19.68470731600773,19.961930690535574,19.871497003290113,20.816090712489167,21.332896311342264,19.653857428100057,19.718470229316043,20.874845994127877,21.021202900679107,21.04311227669924,20.93126961248589,20.66473453051147,19.667155516666643,20.61889093032523,20.564528214520987
rc 8,11.624646069889392,15.581831144307982,18.057453946847826,17.715313113789826,17.960414099538205,17.776830256249692,21.66450311858029,19.826873441050235,21.310274562924732,17.041661486744573,20.125607283589737,18.69599407712985,18.50908680039711,19.615581815700924,18.468167209458603,18.266396703360666,18.02769084820472,18.204657621100797,20.512444757186945,18.520138363813032,19.224404344632386,18.099444131760077,18.28442051138618,21.61126483576067,20.899471938586526,19.365413770995797,18.4601121744762,18.871657979199604,20.206260567660976,19.470891723358314,19.624235236573618,20.59086847212943,20.00758190300483,19.02256189296805,19.622521392608217,20.650547234418333,19.767374820619327,20.193259176709685,20.485101435474927,19.532505157335567,19.72724834854225,20.077542003553404,19.11951171484246,20.039890740580322,20.298844192215633,19.997409425828117,19.944781882159134,20.05755994936568,19.283331650605156,20.230325369430005,20.27665647314636,20.50743211386301,20.597221988691285,19.66552840441165,20.48854269088455,19.589844708671414,20.54723844350988,18.848260671689065,20.416863720020025,19.930381160276767,20.134314315415285,19.9832483800603,19.9050023634892,19.961372850754714,20.477191432753,20.205138932239606,20.034850525808594,20.53989529068635,20.797290626874343,20.53850811973163,19.725267379387542,20.779306992247633,20.771891058186238,20.200695308627623,20.195881413061663,20.948656781648797,19.55389859297637,20.44971020639249,19.92926130025737,20.248585930066838,20.582167894846155,20.41900691162576,20.69571781732855,19.765689070932595,20.598077612125717,20.695383727365172,20.577767273751267,20.390187784026455,20.105285544254937,20.714144238911192,20.082889425645725,20.333591832129734,20.54314725449347,20.592909420508306,20.438574075943844,19.761573591274836,20.90418493228066,20.39296071097727,20.806583628508687,20.784529138188926
rc 9,16.367186137827872,20.225051276098757,17.01010754439117,16.979190466378107,17.21243286161027,18.974242035099955,18.649003586644948,19.031756455503402,19.105748984264704,19.26770785627391,17.573865879534065,18.076306378284897,18.966570348528062,19.623594302295004,19.746538671551342,21.719816563878478,20.508351731779772,17.574733623605635,19.645150401461933,19.75258384125336,20.26737675609774,19.843305260669307,19.13861299410683,18.87211385527235,19.82579910610234,20.100390128497143,19.758927279950342,18.695952954749398,20.687779967600818,19.19429329505924,19.42177976619361,21.3032475079694,20.835913119083553,19.496560330203337,19.110245616922217,20.2769143207706,19.532281201658783,19.32066902951963,20.59680586567605,20.543968734902975,20.908936674839442,19.789807474589576,19.798600195867323,20.156741716706577,20.457604804573702,20.23883868154742,19.607330659810994,20.0704590419071,19.465970024021075,20.63026528893791,20.61137206130386,20.212464674135692,20.102038012215544,19.57062863456157,20.690183503838053,20.587970143317165,19.860374478461107,21.080421864007935,20.05908235992333,18.678115955162383,20.821781589339185,19.317512417403073,20.23306327543185,19.856912762282363,18.53670411935993,20.24528566820382,19.89751180156999,20.349406036197053,20.306010334470965,20.210564523356656,19.831716465054846,19.599474110962117,21.31388339536253,20.652871621829753,19.78228123949728,20.342686659782604,21.092248738141635,19.57830792572794,19.75554080401565,19.96047058432733,19.888644498354505,20.698356403686933,21.056777640917343,20.79065564448302,20.85949400185013,20.401364533038443,19.813632017209112,19.871606177524892,19.793154521597835,20.406622605314134,20.13582292194253,20.13627938228788,19.72604789288937,20.69743679149927,19.825023366794024,19.876487443047992,20.009278413913357,20.178502640294013,19.960904503883437,20.587004373819052
