,ss 1000,ss 2000,ss 3000,ss 4000,ss 5000,ss 6000,ss 7000,ss 8000,ss 9000,ss 10000,ss 11000,ss 12000,ss 13000,ss 14000,ss 15000,ss 16000,ss 17000,ss 18000,ss 19000,ss 20000,ss 21000,ss 22000,ss 23000,ss 24000,ss 25000,ss 26000,ss 27000,ss 28000,ss 29000,ss 30000,ss 31000,ss 32000,ss 33000,ss 34000,ss 35000,ss 36000,ss 37000,ss 38000,ss 39000,ss 40000,ss 41000,ss 42000,ss 43000,ss 44000,ss 45000,ss 46000,ss 47000,ss 48000,ss 49000,ss 50000,ss 51000,ss 52000,ss 53000,ss 54000,ss 55000,ss 56000,ss 57000,ss 58000,ss 59000,ss 60000,ss 61000,ss 62000,ss 63000,ss 64000,ss 65000,ss 66000,ss 67000,ss 68000,ss 69000,ss 70000,ss 71000,ss 72000,ss 73000,ss 74000,ss 75000,ss 76000,ss 77000,ss 78000,ss 79000,ss 80000,ss 81000,ss 82000,ss 83000,ss 84000,ss 85000,ss 86000,ss 87000,ss 88000,ss 89000,ss 90000,ss 91000,ss 92000,ss 93000,ss 94000,ss 95000,ss 96000,ss 97000,ss 98000,ss 99000,ss 100000
rc 0,9.619941235283047,22.663786856967743,14.463833092124725,17.156282097581414,17.85591739082664,18.615666856575185,18.94699931738536,19.752003180518052,19.68021335514219,19.536114631776307,17.394510835882464,19.10068499151763,16.61976301008536,20.74389790115548,19.253918303500388,20.270900522688823,19.795521435106384,21.19654296317523,18.287300057389245,20.007933722101683,21.492804256989274,20.1493584334333,19.565058013213328,19.90848126105072,18.313977763773337,21.32320603166918,19.34889989921514,19.059295253247946,19.80938803991608,20.28586669077175,19.078155024324154,19.714565664709315,19.574233270898475,18.934572978028083,19.47815555617732,19.41589852472733,19.810974431815474,20.08673024515098,18.775688611541863,19.7444385070624,20.480361071020376,21.53857976368887,18.3744857615326,20.69259347555855,20.563005232970117,20.108179096579573,20.732983136009498,20.098370346726625,20.45701142149082,20.813017815345457,20.330047305914047,20.210894593350595,18.751482182674533,20.126812456545462,20.376017799300612,20.303546701231546,20.37394290894203,20.081360834337126,19.710203796549248,21.391117786164116,20.147706307200718,20.256460495607627,20.349768727064866,20.288099768422658,20.15009564554503,20.81838116822804,19.974583058221747,19.354586896868458,20.63838444871074,19.45388059630257,19.360120662430532,20.13595671902336,19.4752051949989,19.506630155480718,18.826809131299395,19.70795766151399,20.05595998189226,20.93734436786863,19.035025715542872,20.70747432966943,19.985427580130764,20.60418198479637,20.243548721803677,19.606009917733875,20.152804589892035,20.08815217020518,20.448083278798688,20.916141562271655,20.638031512152175,19.805283391989136,21.08350929905771,20.927529959257097,19.84144714305837,20.902727808438055,19.957778122344255,20.720654552144303,20.88699893906602,19.913577688181224,19.969816208215224,19.828147628482103
rc 1,15.58818960635326,17.38709135975923,14.043675051462557,17.274324319892955,18.67037220970621,15.370902601181653,16.807444148707045,16.867470924258658,18.006874376068936,19.594593571187907,18.040479005045306,17.46182301197565,20.46962112626257,17.878529075402735,19.224619102093396,19.60188783625261,17.976812065841038,18.792226399924846,21.269998431970265,19.67524475726926,18.193305518882788,19.740953206300922,17.81463280039414,20.172003271183456,19.974832628100316,18.398595571090155,19.00542054686491,19.48855187225787,19.261994053750684,19.89787148729817,20.430530422340723,20.13695298917024,19.300638464303397,19.699995580107228,18.830091685632755,19.521551810598993,20.39630141088598,20.344485485974776,19.097860547512735,20.683767138036195,20.34382854548472,18.89122316007464,19.25197424566645,20.71441154120538,20.041390191026423,19.990634352670043,19.76612318064752,19.31669843379615,20.800735554409037,20.67460128442047,19.586114074154164,18.957092193276946,19.83258455961311,19.91222188381673,20.267815864124575,18.647478396454076,19.819479481974817,19.506999396487508,19.861242250871207,20.60679213943724,20.133410228299546,20.725611883182015,20.973217940331228,20.08084166909814,20.26882386211484,20.048075214139388,20.51038272290011,19.493685682198073,19.929598843945815,20.04329712003265,20.579495510246268,21.113767223227686,21.07919777695088,20.701445920603028,20.479205670170074,22.22948179800923,19.91156755339101,20.102143175170145,19.82618331065833,19.605365332490205,19.86047070421277,19.45842532568799,20.93143219625946,19.997210700324096,20.623689691998504,19.928016032714456,20.552185180970664,19.8870234388784,21.16475166162395,19.787275346330677,19.645434890486325,19.69460008439099,20.656525765635966,20.298644904697618,20.818842003946354,20.465153410220474,21.147309863620258,19.733927458494524,20.76877939650213,20.112984393039675
rc 2,10.595484908529695,13.802352163327194,17.114340490351587,17.8538292907749,15.599656856599548,19.732827242876812,18.285126918858165,16.71301282676089,18.924406805714483,16.192374875809158,17.114601002763763,18.22342453391217,18.340822139179643,18.814613304218586,17.48743714827335,20.157985188744277,20.939389592464156,19.552647385303622,17.552440597876547,18.449199200425,20.09607056759935,19.70651104995984,19.70951568012339,21.15712799111297,19.22070696200156,20.704253909208603,19.115020450004273,19.824291954763297,20.242955643605388,19.223252775896007,19.5043982061622,19.23537635976024,19.249574310573255,18.771214907298486,19.735680695029856,19.673219609625498,19.822845193919374,20.32652771290558,18.95702859140462,19.32610324904719,21.05286077671945,20.068022727386815,20.330201473412412,18.922316313295347,21.208215906523662,20.529495394615047,20.413608505620914,21.729600875345117,19.092009064179738,20.805137569931553,19.110153896867587,20.05079565679997,20.51994253664632,20.831541131434204,19.233330014855632,18.945158030816607,19.0567186733132,20.02973899275586,19.082865434650213,20.089078807943416,18.957631190913844,20.599724492641887,21.493766366911757,21.078397811217865,21.00006631468698,19.510641094869598,19.852828768506804,20.125749958891788,20.611224241596396,19.194103622041094,20.28436709951249,20.914948650592503,19.298525112918835,20.126123218633673,20.395136453576225,20.42852296909991,19.954815543162283,20.228530822354873,20.816070803427873,21.0609274953564,20.625249405057296,21.027878580679896,20.309189356823772,20.39664027490772,19.430962238307465,20.650704479142515,20.46662868950292,19.89377521598782,19.501590006280296,20.10146741946986,20.802600811211157,19.66134108586519,20.519370086299986,19.98841526921542,20.043850008172498,20.93624071924105,19.741626949897377,20.575652494916262,20.732941008172208,20.55018200484835
rc 3,10.733398948719621,15.01690088349817,18.47224819343904,17.152375541838243,17.58807174095046,15.8290139556791,19.090909179446992,18.75546884895881,16.881990044570344,18.604706432369017,18.88538925239315,18.46684471741753,18.525811461104695,19.599821946680326,20.842934265452072,17.69769316899619,20.39145435032157,17.317200778781242,20.53393059469294,19.536890689029043,20.268468280511946,19.366384921806006,18.06725062901495,19.226372247489277,20.189316069093085,20.27937373305258,19.692791153907063,18.4556620698622,20.007570071371553,19.730682804896368,18.73575300398556,19.24848020333899,20.951619081089596,18.472528081649905,21.666437460678182,20.70299098285527,19.261385702391035,18.968247753595417,19.646614902132498,19.164954224229955,20.489819479173924,20.166774812671353,20.39006548319126,19.190480606507904,19.26625437543347,19.695351102531426,19.021726068454324,19.915818995442336,19.62264770996921,20.113338057021654,19.230206488112056,20.383892403682015,20.159190187549754,20.099331055879073,19.40977071405359,19.96056446203948,19.13652568405896,19.982583810972745,19.977105252635575,20.270849092956137,19.988383461214227,20.122904141911015,18.69890550874631,19.028238759054457,19.99340171801148,20.338965991324933,20.142119065118624,20.25271341939129,20.13243976216818,20.196747633283433,20.225729143289673,19.92014750927302,20.072471225331388,19.96790261621343,19.964026228537506,20.179629317570175,20.018787635689712,20.438926274833943,20.049824606933665,19.866674036557473,20.54288820423526,19.712160795130014,19.9912762775546,20.25800832652383,19.76263128149025,21.02510212336134,21.23500505059659,20.610686388871997,20.88448873892402,19.772543608441254,20.09730867083909,20.403952021600304,19.29260392516675,19.582493345304805,20.576565647816956,19.86434420538924,20.547258809511124,20.062020564113777,19.651527327969152,20.03614178610117
rc 4,11.28371628497305,17.99761952408232,17.500733949684093,18.38006132020207,17.598140652660096,19.73607580989681,17.563832235322995,18.86681378205109,19.771493715027393,16.344933693765835,19.49754214797173,17.900780566863723,20.131257884822077,19.984829608671674,19.02612648165908,18.63232650600935,18.746583227505305,20.547621261137554,19.98748907366805,19.75541102999512,20.68902067052051,20.0444043430058,21.209787597638016,19.566894140954414,19.537980795067647,21.027956735502855,18.178607255122273,20.828042904236646,18.999774403348635,20.953885366732155,19.011019558973256,21.696249891543864,18.89996141054016,19.271119284017747,18.54709035875613,22.229110003655663,19.866262674689274,19.295941478042685,19.75008764760431,21.786298426725303,19.943361418217915,20.708627665542995,18.901523341030376,20.111371593474725,19.85830081582058,20.07143344040701,20.27717768276028,19.262954117555104,19.809467758081244,20.406945811526537,19.78515205708148,18.93232464092325,19.43677249408029,20.253178320878185,19.130769840098502,20.058136487478166,20.516712035647327,20.24024153392083,20.074530718524628,21.588557472787553,20.273399562857616,19.085270364258935,20.003817594033844,20.51469171601439,20.10760833002294,19.62190789935459,21.431373877474666,20.753037619730353,20.29336355051574,19.237948856770117,20.324630308396323,20.220873581860385,19.56389476592446,19.897566868652998,19.6793675325854,20.485099019833253,19.926127585976044,20.343259304139917,20.520708116819595,21.44096211832871,20.083858801616348,20.319403106718475,19.681415611787134,20.59603185728773,20.52517369672293,20.878476146436984,20.081501312339803,20.705627231101264,19.47309700243409,20.668530001546703,20.638669290605737,20.327104819189657,19.894993386033644,20.222468492230156,19.90603671393936,21.430554885115296,20.319409888180417,19.682237958605132,20.384582187741994,19.887767665016973
rc 5,8.925225241092292,15.172865587438485,19.724131695762424,17.94117784713828,15.503153942696546,20.841617805860018,17.186855053073067,18.806962538740088,18.218726296378378,19.53358520527946,17.97868838521782,17.957189711470747,17.5748736018014,18.896995303353684,20.493406593020925,18.65970107241312,18.369730484445352,18.587959992607086,20.183191369725485,19.695893020341014,19.976429236674775,19.854633371630857,18.566514247854997,20.24843229653307,20.03903347256078,19.423099996280303,20.090811012532004,19.474414737919375,20.786710842231912,19.88361376279142,18.872334810596012,19.582915275199426,19.393574173510213,18.93224091942737,19.163295997624676,19.546263411864402,18.737155234433263,19.832323027408748,20.121188380196106,19.181551521322078,19.85496046521512,20.068852830469748,19.84662786971761,19.64082814867008,18.860319589518213,18.99875116476587,19.81578747010771,19.190579522159133,19.402474005706704,18.96357504071204,20.806163864730255,20.482014353258393,18.97229056352329,19.153416579721085,19.639366711902372,19.67178723201955,20.03932966143265,20.23203457482695,20.47647359101138,21.216807136919655,20.120169360807957,20.2323548613909,20.299891690347373,21.604151077549894,20.18120307573864,20.321398003186776,19.891092404367612,19.82080566589343,19.81773763567103,20.467531037367383,19.557449232417103,19.51374508119351,19.39084864372555,20.869032318133176,19.93531818047478,20.1969784837749,20.38627590678176,20.652845774262673,19.98918881635711,21.1392141135001,19.97925904704679,19.938428507585833,20.60776335657605,19.853887999195447,20.379250787701263,21.19526500643505,19.85249838663893,19.896929092262237,21.017137861425496,19.846799271172863,19.488293325356583,20.17903214681232,20.475156259842652,19.71872102379262,20.74531590328138,20.05599442471484,20.6714198977156,19.83351086137071,20.412030575507426,20.06034801866576
rc 6,15.80353458734333,19.56182495955269,17.2276772176131,19.81525817049468,17.747586766638296,19.046368745060676,18.85087433413488,20.469057106407256,17.07548249355889,18.807824916728773,18.630540241820665,19.118204116011515,20.31229661325746,18.419726574656178,17.947847661180283,17.378367599694325,18.76579972250728,19.57024334294782,19.998922974672304,19.32104192287509,20.32220084224988,19.78851731548948,19.529085802507286,19.727735686368217,19.341649742496188,19.535732891109813,19.8176645539927,19.564710223053495,20.033016790236978,20.014124391038262,18.235991610683993,18.478921258370328,19.80280137279919,19.387109176250938,19.330094000577983,18.532697765790164,19.49585167004061,20.017607664503505,20.490835759674194,19.80778587069024,19.80237717062958,19.573352000195317,19.615794708713484,20.63078961783678,19.718289218579965,18.957648326217544,18.77135056959388,19.82303073124728,20.298460143494417,20.294915498393458,19.587471242072283,19.05220893006227,20.368448151767918,18.34331028610161,21.429616373700387,20.446232682026572,21.321100746424797,20.863522213557104,19.398520207178244,20.058880214535833,20.386810954703748,20.230922172617973,20.812726855384593,19.244030971830647,19.63085782841469,19.72126244376909,20.061732943605662,19.5186990520352,20.741203430462047,19.993462797227355,20.312581761267754,19.840971558200135,21.462140483383184,20.19823139971262,19.552678435133277,18.954002444507903,20.83292202869978,21.734999365389804,20.42988712275323,20.017060819447064,19.646007675703245,20.842150395208765,20.241114215033665,20.61655850166891,20.10614011224552,21.04644856632393,20.06141040854785,20.101299249029406,19.60289923914715,20.64510097138251,19.810941819132868,19.822417865633508,20.689125278868854,20.808437636695196,20.18911730111532,20.62892344459387,20.366639673949372,20.02513949659054,21.17813107760585,20.139809545044486
rc 7,10.852510137943295,14.471156571603636,14.739519508477832,16.373139920507153,17.310605667801575,16.502027859056774,17.311357486420558,19.161538882005306,16.16867530422526,18.79444037411679,18.402016850701905,19.8529215981668,17.519857883521432,18.90484487301751,20.932905229525854,18.168678443926154,20.458291593285313,17.890025317365048,19.97060683680343,19.441088559407664,19.71494168729541,19.617479367054656,18.4632485788418,17.811447023655425,19.51512189938985,20.219290438005334,18.812131435657466,20.185035715273944,19.23905510473281,20.795877811672867,19.336968586936788,20.319422076245164,20.638267518118873,19.175855667526832,21.368308603871633,20.424414928539278,19.464138006936533,20.493361343854527,20.67783662844581,20.181034626863227,19.612141898571558,19.991223876652267,19.938123838793665,20.489513865074116,19.536364943235384,19.29542257605428,19.721273742251494,19.4546178671531,19.867977448695733,18.60068102707979,19.209249823020684,19.956663633811512,19.874061667025195,19.893876257857006,20.229684884485835,19.14682814643822,20.68584253859995,20.268336921849254,20.015922459150346,20.720324399970014,19.986362501408475,19.554899034744228,20.678707284116303,21.43155787100205,19.02848919795061,20.46482281023708,19.5841130877584,20.431793448683436,20.9504286128551,18.703221679472563,19.840198175939634,20.000094519139985,19.336552239456537,19.831873093058075,20.91616894550027,21.276384227244282,21.153553944085708,20.070144519136495,20.762306205371452,20.62983163315393,19.80381458045132,19.44397389246787,20.462002995412945,21.08422832807715,20.02146519727283,20.05474957464679,19.79176750902852,20.63569807302946,20.642486638642588,20.397771086131392,20.029671246189945,19.446053220885318,21.07308510840186,19.87843815539003,20.567711529533533,20.740485724295528,20.766107164353446,20.71977037749976,20.0924919398913,19.44540418470032
rc 8,14.796692321930585,15.31073809298593,16.950443194892507,17.813799829254144,15.887998428564076,19.1006774418537,19.668293573363,16.214666385225467,16.364734202798584,19.563629381033284,18.28288581292008,17.701680465570988,19.297225003010215,18.64006847642372,20.16210335376717,18.21906491972234,18.921552618760966,18.170238801481926,18.608142850746614,20.160279294536576,18.26793258923258,19.53581979714408,17.71876210778083,20.94765269390757,19.784060028362205,19.804840969680694,19.04048022448438,19.93078574360594,19.64292135183353,18.51933925221727,19.52235718918257,18.533292230367817,18.83546328744478,18.99817681432962,20.941211370491295,19.48246385603658,20.553019621701036,20.314067702423866,19.296935388330727,19.80608268751278,20.253100799024367,20.018658232669953,20.283302912834056,20.3362513329208,19.99925594521846,20.747917342369373,19.340938081305797,20.266824401721376,19.808266102454294,18.826912809998035,20.270813101478414,19.745955418239518,20.36647953714482,19.367853091570634,20.08731860579956,19.552369927206406,20.405575115437706,20.504181883385613,20.542980279703702,19.887738263092196,20.16316548596234,19.357881855153455,20.14331077243193,19.543148374542277,20.54431944035444,20.518243385145748,20.42353279076792,19.86281852016727,20.28274700337139,20.077887253852573,20.053488111685446,19.89412012053979,20.871574107793304,20.472742423949782,20.082220235700884,20.279529449711344,19.9123851787519,19.842874920600227,19.691289035743925,20.91241150689433,19.8019064431292,20.240239703343608,20.256881765699884,19.442093733012086,20.698099052070216,20.169220128107984,20.303837063399317,20.15134535855223,20.055008740983816,20.05652239320012,20.76105439506822,19.852652674716307,20.173981735510143,19.792234447361537,20.729897984027357,19.7323137612005,19.997425411674552,20.389272390819425,19.627276831342467,21.098419089643226
rc 9,16.490371047371497,14.6027823682143,17.688504884575753,18.511324409042544,17.646720592906945,17.023721703390308,18.126058390273293,20.242859936182093,17.79075348711831,19.461960659100896,18.236021502939817,19.12034823334835,19.89128230283555,17.24803883432069,18.88827579187997,20.160857276392335,19.859938275257957,20.954841611472176,20.025517836791497,18.06744280300802,21.722273695103926,19.24292368836871,19.28273770894391,20.26426596767311,18.920027221189056,20.462519186191106,20.106946287380282,19.03910639264746,19.261112501528064,18.543678780802523,21.16699078997296,20.781716561538435,20.62389377930254,19.75937110399128,19.5460868541762,20.877329187009618,20.535452057454957,19.844607166426893,19.868146118457922,20.84323315215935,19.514644040532357,20.080438209645962,18.66557435479385,19.343112194843652,20.214865000350603,20.501571851967427,19.909967891207952,20.21934042820719,20.372055883333708,20.722965402984542,19.495064732066712,20.22004983081643,19.40549591377182,19.23781411957065,20.500286906314415,20.431044331878276,19.499627962057946,18.835893117393447,19.38503556363746,19.758168162191286,19.527135252687728,20.301666674939536,20.070026778207687,20.620463940394668,19.998893069601657,18.82455568481672,20.193501102300836,19.911145539358877,20.355798830848602,19.6035232046848,21.287132456566088,20.706895073374092,21.152915862501853,20.375371919574597,21.184243175277015,19.973913682919967,19.29142254782877,19.872719862860603,20.20045686578014,19.876989315420108,20.27329133821188,20.375313367616663,20.43922851923878,20.14464781747608,20.447704531975536,19.98094624774856,20.929443149990504,20.00597211112938,20.01119964665387,20.847068001183867,19.646096811620506,20.493125509169563,22.030414876679156,20.162700735388302,20.500675938927667,20.539241397999852,21.1583911072044,20.70648608296255,20.01459972312604,21.006287435545875
