lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000,sample size 6000,sample size 7000,sample size 8000,sample size 9000,sample size 10000,sample size 11000,sample size 12000,sample size 13000,sample size 14000,sample size 15000,sample size 16000,sample size 17000,sample size 18000,sample size 19000,sample size 20000
lag 0,410.95786485453095,565.5191565563973,472.45901555056497,516.7144857388341,505.62419354467596,515.2570840822303,501.86128584432333,505.5017757160753,573.9765706900295,465.55326770283085,487.8413460760822,530.1486233027673,491.54640195828404,482.646509776108,511.93898122602235,523.4629603845201,539.2783521476213,485.3332213478609,472.0373993999312,512.6295007148306
lag 1,547.3006289872048,434.1710833302033,601.1049940410729,555.4195669866509,628.5371451628671,460.7838873332059,572.7870359429046,546.6345450675301,487.420745844145,485.15446617216503,440.9081639651969,501.99175120076296,543.9541197768036,512.3654574439614,533.4249554746598,483.79887708450315,521.0030185148125,496.746492163611,466.42387393115786,524.3025965524366
lag 2,333.62528690376377,547.7366208435717,546.171090112447,489.32823259758976,472.517106888026,546.8872879081218,448.36628378016115,531.1043717817481,475.34302370875093,451.54275338471626,487.1052484929317,553.6070707400778,490.2835210990546,496.57959142368986,490.06083907990524,554.1857893655236,535.9162587565193,508.72754293432365,478.93847552898234,581.2236046783541
lag 3,467.30041890579923,512.4980025849741,503.9398208841009,649.2562760694796,475.44975069552623,457.59118745697606,499.7001421809037,478.4532026338941,523.6246387289743,543.5089610637518,559.7264234390373,546.1397674153802,558.5385501491807,473.8474297406371,537.5285764506613,494.42711209597337,475.71383177073955,494.2110226564851,557.2801072724793,524.9161004672364
lag 4,517.6102402970834,446.14946792706866,530.5366252453922,594.1681033023073,480.2907576092223,573.5594646665479,592.5421754988838,471.53164489681933,575.5844335102219,583.1338816438199,481.22098452805585,504.3969275184087,450.7354607732283,507.0519114815202,508.1445803088451,576.476655893727,637.4077426800994,509.5810981350565,509.64259231270313,553.3382285956775
lag 5,411.8456593741586,492.0598993555639,476.66602059200966,531.8841025874303,535.7678756326508,423.05297853177376,460.4867044630065,536.6477361026268,602.9771068712869,506.39083666216453,466.6253315760822,513.6066457832927,597.6172721757263,512.1289546098386,578.3634835404858,470.56388701283123,533.3498942647434,565.9735395716541,524.7242070444004,515.2745061738467
lag 6,434.67134073756506,580.8925724114347,532.3378703253484,443.15307037586973,435.58886417322697,447.92363931783996,546.1987678751937,471.46764372533187,513.0848081339963,479.2083531500456,549.9102357668185,496.4729469253783,537.8240550635866,526.2295244896369,513.0366803235282,504.46255758767586,475.11604283384247,563.8110843194626,483.1030248908712,580.5031107010058
lag 7,538.6145658999569,457.7169825474894,527.3170748792669,561.9175787879255,513.8472713350799,485.406870482288,494.4384318998295,485.44520719002514,496.09566937348535,544.6952682625939,468.37323094218556,533.8148436616067,533.3656272643749,499.2535610863681,489.53075849813746,528.5121330350528,543.8305295453573,542.5779177137086,500.6501364026816,490.6682560871806
lag 8,499.05569050788125,519.510327897621,441.1816402115655,460.71344823648457,520.3498660145315,469.4175722039055,498.703182823341,593.4581933447408,474.3661377346273,487.4071494725042,522.6589460666332,480.5721377758792,476.1701869757978,517.9323905539253,483.8565973708044,538.7954325194173,583.8745318805903,564.622467219122,506.0296291598658,541.0221949373648
lag 9,345.33077168222195,469.1521827247598,453.3241474773116,583.4484216305626,412.86595758341696,460.81168893634356,535.3630919638631,578.2519853421437,469.4743496879638,570.2920548827828,568.0034049018077,506.77650066931136,498.728730663944,451.0772857624387,577.9449019314985,548.5052097738313,571.9703429997136,532.7937431686681,511.286054491615,542.6475919118504
