lag,gaussian,bernoulli,average
lag 0,512.1593454012009,147.5176373284352,
lag 1,289.148611338464,213.12194435013961,
lag 2,250.17664616240444,253.56036046115773,251.86850331178107
lag 3,254.65065764903693,252.5401580723078,253.59540786067237
lag 4,252.44704182737314,249.38036289935826,250.9137023633657
lag 5,250.34053218561513,249.25392162177917,249.79722690369715
lag 6,253.5666101696097,249.46828968585024,251.51744992772996
lag 7,253.9461349038792,253.10531523411456,253.52572506899688
lag 8,249.83223319119784,254.25406613945742,252.04314966532763
lag 9,256.85896471900594,252.2792768987806,254.56912080889327
lag 10,257.1461642529737,254.14031671823676,255.64324048560522
lag 11,254.91667469000262,250.50153462813054,252.70910465906658
lag 12,249.67482439810874,252.10581080824994,250.89031760317934
lag 13,249.71252168092843,251.58135792623926,250.64693980358385
lag 14,251.41996987674997,253.5820751300045,252.50102250337724
lag 15,252.23030373369284,253.42542108062426,252.82786240715853
lag 16,248.8654465869932,249.96878873845594,249.41711766272456
lag 17,253.6491189443437,252.48480546559162,253.06696220496767
lag 18,253.69402913426947,251.35594730218622,252.52498821822786
lag 19,249.30475839152558,254.86802405696253,252.08639122424404
lag 20,255.16258025316694,248.40796849889603,251.78527437603148
lag 21,252.2040416077973,251.47606634147087,251.8400539746341
lag 22,248.17002319808057,251.83753614741767,250.00377967274912
lag 23,256.6349360649906,253.60126655075706,255.11810130787381
lag 24,247.97941905612726,249.66330824435,248.82136365023862
lag 25,253.15650754541895,252.57680720114405,252.8666573732815
lag 26,249.94425413376888,253.1778661756295,251.5610601546992
lag 27,250.79382641816792,249.67032681231498,250.23207661524145
lag 28,255.94002088654597,252.93848782329042,254.4392543549182
lag 29,250.7220331701817,252.2573433721223,251.489688271152
lag 30,250.46150544730108,251.4017794957139,250.93164247150747
lag 31,249.93580120181497,253.01615831150713,251.47597975666105
lag 32,250.59561717922332,250.35884535743534,250.47723126832932
lag 33,254.83740073200323,249.7047039921631,252.27105236208317
lag 34,252.87767400727336,251.0335319738004,251.95560299053687
lag 35,252.70144509457032,249.6545059501259,251.1779755223481
lag 36,253.5398199181876,252.62840086355715,253.08411039087235
lag 37,252.24584724400492,254.0972800034721,253.1715636237385
lag 38,257.701745599098,249.69303172348955,253.69738866129376
lag 39,250.8603762876499,253.1156765187355,251.9880264031927
