lag,gaussian,bernoulli,average
lag 0,4600.610264,1568.033758,
lag 1,1005.059455,933.6167814,
lag 2,2420.756031,1916.636901,
lag 3,2376.8313,2187.788937,
lag 4,2285.944595,2287.474619,2286.709607
lag 5,2269.531519,2296.119852,2282.825686
lag 6,2288.808456,2289.153527,2288.980992
lag 7,2300.041845,2296.766442,2298.404144
lag 8,2287.9483,2281.169137,2284.558719
lag 9,2283.703471,2290.255215,2286.979343
lag 10,2257.579997,2301.541514,2279.560756
lag 11,2281.123524,2282.594923,2281.859223
lag 12,2290.673617,2300.594115,2295.633866
lag 13,2299.326751,2274.917662,2287.122206
lag 14,2288.717864,2291.248933,2289.983399
lag 15,2267.892502,2283.288912,2275.590707
lag 16,2280.17497,2273.620937,2276.897953
lag 17,2299.67883,2266.558093,2283.118462
lag 18,2277.229534,2287.606659,2282.418096
lag 19,2272.177765,2277.04426,2274.611013
lag 20,2279.489691,2283.23554,2281.362615
lag 21,2291.678885,2278.085688,2284.882286
lag 22,2280.647468,2279.646032,2280.14675
lag 23,2258.561728,2276.342115,2267.451921
lag 24,2273.688532,2290.700321,2282.194426
lag 25,2272.844187,2287.73721,2280.290698
lag 26,2286.87136,2270.263832,2278.567596
lag 27,2262.588146,2290.737178,2276.662662
lag 28,2289.844301,2290.21335,2290.028825
lag 29,2265.113749,2268.601282,2266.857515
lag 30,2302.32896,2283.48675,2292.907855
lag 31,2285.459381,2263.210429,2274.334905
lag 32,2295.886217,2281.44476,2288.665489
lag 33,2263.87505,2270.66416,2267.269605
lag 34,2262.64008,2275.505655,2269.072868
lag 35,2269.616995,2293.00295,2281.309972
lag 36,2261.806235,2278.362057,2270.084146
lag 37,2265.785752,2274.347603,2270.066677
lag 38,2272.35187,2276.55372,2274.452795
lag 39,2264.882335,2273.850851,2269.366593
lag 40,2281.250584,2278.46015,2279.855367
lag 41,2274.808744,2258.871906,2266.840325
lag 42,2276.798496,2267.668888,2272.233692
lag 43,2277.552641,2282.421078,2279.98686
lag 44,2274.807046,2271.069016,2272.938031
lag 45,2270.87164,2285.004997,2277.938318
lag 46,2294.604755,2278.489197,2286.546976
lag 47,2274.848377,2291.825095,2283.336736
lag 48,2262.039803,2280.722349,2271.381076
lag 49,2278.42605,2268.152023,2273.289036
lag 50,2277.980859,2281.303839,2279.642349
lag 51,2256.286661,2275.990382,2266.138521
lag 52,2289.638371,2280.185952,2284.912161
lag 53,2274.376848,2257.419914,2265.898381
lag 54,2264.044647,2257.594517,2260.819582
lag 55,2280.306998,2271.983598,2276.145298
lag 56,2268.598083,2262.47657,2265.537326
lag 57,2267.078393,2272.809877,2269.944135
lag 58,2271.835855,2292.730491,2282.283173
lag 59,2291.476405,2271.077959,2281.277182
lag 60,2281.091297,2285.406127,2283.248712
lag 61,2274.21733,2289.662988,2281.940159
lag 62,2263.787898,2265.737702,2264.7628
lag 63,2265.637582,2272.043004,2268.840293
lag 64,2267.829258,2294.630699,2281.229978
lag 65,2293.776263,2282.369032,2288.072647
lag 66,2265.212527,2281.095063,2273.153795
lag 67,2294.265435,2274.645535,2284.455485
lag 68,2292.373584,2276.819895,2284.596739
lag 69,2247.773883,2274.42703,2261.100457
lag 70,2266.494748,2277.258576,2271.876662
lag 71,2239.896449,2274.779955,2257.338202
lag 72,2266.757665,2259.791351,2263.274508
lag 73,2274.61984,2252.176645,2263.398242
lag 74,2280.451911,2275.621097,2278.036504
lag 75,2299.734482,2273.738117,2286.7363
lag 76,2268.373918,2269.741309,2269.057613
lag 77,2252.903697,2266.08494,2259.494318
lag 78,2263.25491,2265.790691,2264.522801
lag 79,2262.707476,2277.735776,2270.221626
lag 80,2270.615733,2282.542621,2276.579177
lag 81,2274.240757,2261.708205,2267.974481
lag 82,2278.537854,2278.275781,2278.406818
lag 83,2260.285385,2257.576971,2258.931178
lag 84,2274.772563,2247.753451,2261.263007
lag 85,2277.970092,2276.579098,2277.274595
lag 86,2274.372367,2274.774247,2274.573307
lag 87,2275.472197,2268.448729,2271.960463
lag 88,2265.027754,2256.732342,2260.880048
lag 89,2276.648804,2262.524455,2269.58663
lag 90,2279.255336,2278.234734,2278.745035
lag 91,2281.605522,2265.65538,2273.630451
lag 92,2259.708785,2274.871752,2267.290268
lag 93,2256.766668,2246.850143,2251.808406
lag 94,2294.586363,2282.279605,2288.432984
lag 95,2264.902431,2258.092864,2261.497647
lag 96,2262.793494,2263.639806,2263.21665
lag 97,2272.263106,2263.148173,2267.70564
lag 98,2278.926513,2270.482867,2274.70469
lag 99,2251.699205,2252.11036,2251.904783
lag 100,2264.503668,2252.887108,2258.695388
lag 101,2271.904179,2283.264935,2277.584557
lag 102,2256.322016,2263.29739,2259.809703
lag 103,2277.743267,2252.124047,2264.933657
lag 104,2247.97004,2256.76638,2252.36821
lag 105,2274.662581,2258.701858,2266.68222
lag 106,2260.851548,2256.671986,2258.761767
lag 107,2284.046731,2243.136714,2263.591722
