lag,gaussian,bernoulli,average
lag 0,18398.56226,6366.716287,
lag 1,15157.91353,14816.6267,
lag 2,10796.22477,8250.695618,
lag 3,9474.37295,8939.006915,
lag 4,9236.198332,9300.707746,9268.453039
lag 5,9203.177398,9275.824686,9239.501042
lag 6,9140.158786,9208.936944,9174.547865
lag 7,9180.651584,9224.330093,9202.490839
lag 8,9134.959055,9308.115079,9221.537067
lag 9,9249.351418,9291.139407,9270.245413
lag 10,9194.066831,9239.661636,9216.864234
lag 11,9223.816318,9238.815248,9231.315783
lag 12,9283.056065,9218.281779,9250.668922
lag 13,9242.906387,9184.53337,9213.719879
lag 14,9204.965178,9209.444652,9207.204915
lag 15,9292.521383,9217.630388,9255.075885
lag 16,9218.903695,9226.885427,9222.894561
lag 17,9219.725615,9268.833232,9244.279423
lag 18,9246.576026,9269.217108,9257.896567
lag 19,9237.572923,9246.737106,9242.155014
lag 20,9210.720095,9312.786816,9261.753455
lag 21,9238.285761,9162.020628,9200.153195
lag 22,9269.870868,9182.547466,9226.209167
lag 23,9246.940515,9236.82787,9241.884193
lag 24,9205.678477,9188.385928,9197.032203
lag 25,9246.094932,9234.845856,9240.470394
lag 26,9242.930135,9140.099973,9191.515054
lag 27,9229.243952,9247.607336,9238.425644
lag 28,9265.940442,9267.400759,9266.670601
lag 29,9206.989149,9227.598013,9217.293581
lag 30,9257.190197,9139.929936,9198.560066
lag 31,9302.29085,9208.25328,9255.272065
lag 32,9225.132739,9228.965451,9227.049095
lag 33,9215.580383,9295.17606,9255.378222
lag 34,9093.700265,9220.859735,9157.28
lag 35,9164.997283,9301.69458,9233.345932
lag 36,9212.331011,9244.462402,9228.396707
lag 37,9170.259943,9347.426056,9258.843
lag 38,9235.849738,9177.494888,9206.672313
lag 39,9256.768489,9234.52113,9245.644809
lag 40,9214.125042,9202.97067,9208.547856
lag 41,9227.584398,9193.892908,9210.738653
lag 42,9251.480052,9205.499492,9228.489772
lag 43,9214.228749,9252.49385,9233.3613
lag 44,9203.967812,9238.898767,9221.433289
lag 45,9272.895671,9160.396654,9216.646163
lag 46,9196.019008,9178.263476,9187.141242
lag 47,9260.536591,9219.916185,9240.226388
lag 48,9166.327367,9216.183344,9191.255355
lag 49,9174.322758,9175.016657,9174.669708
lag 50,9245.618648,9216.259396,9230.939022
lag 51,9214.985367,9133.591942,9174.288654
lag 52,9225.154146,9256.51393,9240.834038
lag 53,9227.465728,9243.778248,9235.621988
lag 54,9194.189222,9139.522784,9166.856003
lag 55,9168.752581,9169.110997,9168.931789
lag 56,9290.797208,9153.114415,9221.955812
lag 57,9239.791456,9209.22092,9224.506188
lag 58,9143.44862,9239.803545,9191.626083
lag 59,9171.567907,9230.585227,9201.076567
lag 60,9112.63593,9197.351087,9154.993508
lag 61,9179.370363,9186.541839,9182.956101
lag 62,9154.195398,9155.053912,9154.624655
lag 63,9136.804379,9126.659655,9131.732017
lag 64,9178.254645,9208.716195,9193.48542
lag 65,9135.185406,9254.650597,9194.918002
lag 66,9172.66696,9208.801398,9190.734179
lag 67,9211.760727,9154.604817,9183.182772
lag 68,9200.829702,9177.446345,9189.138024
lag 69,9198.94017,9198.272786,9198.606478
lag 70,9242.96297,9120.193186,9181.578078
lag 71,9268.349365,9216.981109,9242.665237
lag 72,9216.099975,9166.703007,9191.401491
lag 73,9115.507846,9139.554926,9127.531386
lag 74,9214.466242,9175.744321,9195.105281
lag 75,9173.805692,9208.067251,9190.936471
lag 76,9191.803722,9163.152911,9177.478317
lag 77,9122.421839,9257.152516,9189.787178
lag 78,9104.304517,9095.363246,9099.833881
lag 79,9206.975532,9238.362119,9222.668826
lag 80,9203.953886,9125.011231,9164.482559
lag 81,9232.029016,9149.021863,9190.52544
lag 82,9142.808815,9278.419075,9210.613945
lag 83,9128.76715,9212.705575,9170.736363
lag 84,9156.300532,9249.219142,9202.759837
lag 85,9185.136301,9197.032179,9191.08424
lag 86,9156.105057,9207.328237,9181.716647
lag 87,9114.388483,9220.111509,9167.249996
lag 88,9171.657865,9092.65047,9132.154168
lag 89,9217.32009,9178.03091,9197.6755
lag 90,9100.03769,9148.629674,9124.333682
lag 91,9137.204344,9169.111936,9153.15814
lag 92,9158.586768,9204.163312,9181.37504
lag 93,9181.212291,9162.672451,9171.942371
lag 94,9150.229983,9168.67155,9159.450766
lag 95,9203.783075,9102.769075,9153.276075
lag 96,9153.666464,9176.528562,9165.097513
lag 97,9198.954866,9160.825932,9179.890399
lag 98,9125.324605,9131.837264,9128.580934
lag 99,9183.369549,9212.256655,9197.813102
lag 100,9198.709111,9171.013047,9184.861079
lag 101,9190.472001,9161.764428,9176.118215
lag 102,9197.321051,9273.252018,9235.286534
lag 103,9101.451111,9112.015406,9106.733259
lag 104,9165.534383,9208.539187,9187.036785
lag 105,9105.421013,9114.417066,9109.91904
lag 106,9214.616841,9230.974989,9222.795915
lag 107,9257.46078,9200.950937,9229.205858
lag 108,9173.921311,9220.788764,9197.355038
lag 109,9182.329137,9193.839555,9188.084346
lag 110,9082.88172,9181.842151,9132.361935
lag 111,9170.407671,9147.640996,9159.024333
lag 112,9155.433501,9112.70516,9134.06933
lag 113,9207.288333,9109.521612,9158.404972
lag 114,9195.976932,9197.519837,9196.748385
lag 115,9167.601209,9273.15123,9220.37622
lag 116,9091.765293,9174.320149,9133.042721
lag 117,9241.206778,9197.841196,9219.523987
lag 118,9155.50903,9219.239959,9187.374495
lag 119,9117.608729,9156.496269,9137.052499
lag 120,9217.069212,9148.601377,9182.835294
lag 121,9300.336833,9160.650034,9230.493433
lag 122,9151.045307,9165.952454,9158.498881
lag 123,9190.962131,9162.161929,9176.56203
lag 124,9215.910939,9142.052911,9178.981925
lag 125,9145.462647,9168.614455,9157.038551
lag 126,9166.37272,9166.062882,9166.217801
lag 127,9258.429376,9167.059076,9212.744226
lag 128,9221.628439,9219.690165,9220.659302
lag 129,9168.950915,9159.687874,9164.319394
lag 130,9101.342762,9160.083705,9130.713233
lag 131,9144.579871,9118.832305,9131.706088
lag 132,9104.626279,9202.996876,9153.811577
lag 133,9210.827483,9176.266753,9193.547118
lag 134,9073.411305,9253.014088,9163.212697
lag 135,9225.842438,9165.176518,9195.509478
lag 136,9020.217896,9185.328822,9102.773359
lag 137,9185.188591,9156.021971,9170.605281
lag 138,9164.825783,9180.318987,9172.572385
lag 139,9165.619881,9195.304081,9180.461981
lag 140,9194.186591,9165.563103,9179.874847
lag 141,9099.810515,9165.61575,9132.713133
lag 142,9074.584794,9066.7977,9070.691247
lag 143,9128.394431,9153.852321,9141.123376
lag 144,9147.590922,9145.308005,9146.449463
lag 145,9170.212017,9102.404626,9136.308321
lag 146,9117.39504,9155.088848,9136.241944
lag 147,9106.876834,9225.553551,9166.215192
lag 148,9143.765241,9107.507124,9125.636182
lag 149,9130.384505,9130.957012,9130.670759
lag 150,9162.087596,9105.698697,9133.893147
lag 151,9209.233619,9157.585022,9183.40932
lag 152,9144.298135,9071.742987,9108.020561
lag 153,9173.630601,9135.326674,9154.478637
lag 154,9130.135721,9195.833104,9162.984412
lag 155,9157.833605,9080.771641,9119.302623
lag 156,9148.57059,9097.286536,9122.928563
lag 157,9181.720992,9138.892064,9160.306528
lag 158,9137.413387,9154.056915,9145.735151
lag 159,9153.334346,9153.68009,9153.507218
lag 160,9134.239031,9183.124924,9158.681977
lag 161,9120.373678,9086.305882,9103.33978
lag 162,9173.132026,9143.064818,9158.098422
lag 163,9201.068643,9096.52559,9148.797116
lag 164,9110.30024,9148.178411,9129.239326
lag 165,9113.282007,9155.909992,9134.596
lag 166,9131.859977,9151.685313,9141.772645
lag 167,9143.002636,9037.444543,9090.22359
lag 168,9151.273617,9121.079606,9136.176611
lag 169,9149.77475,9094.454313,9122.114532
lag 170,9109.780063,9176.667418,9143.223741
lag 171,9074.940958,9153.341623,9114.141291
lag 172,9096.664111,9182.958789,9139.81145
lag 173,9090.396076,9074.363431,9082.379753
lag 174,9111.833414,9115.039756,9113.436585
lag 175,9118.625103,9061.818638,9090.22187
lag 176,9134.176496,9172.259816,9153.218156
lag 177,9112.711873,9122.464438,9117.588156
lag 178,9144.429006,9167.906514,9156.16776
lag 179,9110.614196,9146.867712,9128.740954
lag 180,9185.516461,9145.182207,9165.349334
lag 181,9073.965588,9217.938762,9145.952175
lag 182,9197.636419,9152.876914,9175.256666
lag 183,9162.717472,9082.123437,9122.420454
lag 184,9157.717878,9080.873437,9119.295658
lag 185,9125.820046,9174.230406,9150.025226
lag 186,9075.087271,9062.505864,9068.796568
lag 187,9100.763116,9109.66529,9105.214203
lag 188,9095.977185,9137.627329,9116.802257
lag 189,9211.899901,9118.247484,9165.073693
lag 190,9077.80681,9177.332045,9127.569428
lag 191,9179.806879,9089.51745,9134.662165
lag 192,9078.738961,9075.0666,9076.902781
lag 193,9130.862555,9152.064683,9141.463619
lag 194,9134.129651,9126.825897,9130.477774
lag 195,9066.126866,9144.71744,9105.422153
lag 196,9098.538501,9106.967014,9102.752757
lag 197,9109.615204,9082.9592,9096.287202
lag 198,9183.833893,9105.629927,9144.73191
lag 199,9128.206111,9052.175329,9090.19072
lag 200,9032.513935,9164.549762,9098.531849
lag 201,9127.031211,9002.573695,9064.802453
lag 202,9142.823129,9109.683943,9126.253536
lag 203,9086.087952,9131.19451,9108.641231
lag 204,9090.498817,9113.011923,9101.75537
lag 205,9224.980152,9155.606282,9190.293217
lag 206,9009.735408,9149.867418,9079.801413
lag 207,9029.134576,9063.105539,9046.120057
lag 208,9160.737034,9108.217232,9134.477133
lag 209,9134.534897,9130.657919,9132.596408
lag 210,9104.707667,9072.452635,9088.580151
lag 211,9090.794749,9155.409784,9123.102267
lag 212,9138.078561,9128.231138,9133.154849
lag 213,9035.99406,9148.92351,9092.458785
lag 214,9083.125706,9165.314759,9124.220232
lag 215,9078.99663,9081.26326,9080.129945
lag 216,9131.098203,9042.447985,9086.773094
lag 217,9137.600413,9114.255823,9125.928118
lag 218,9218.29883,9124.061106,9171.179968
lag 219,9026.59469,9142.814321,9084.704506
lag 220,9094.480561,9040.988106,9067.734333
lag 221,9119.893041,9188.046471,9153.969756
lag 222,9176.722335,9152.260998,9164.491666
lag 223,9108.301938,9102.977172,9105.639555
lag 224,9132.305817,9087.126687,9109.716252
lag 225,9110.605241,9161.073125,9135.839183
lag 226,9046.44143,9023.699874,9035.070652
lag 227,9083.237745,9169.177812,9126.207779
lag 228,9078.945713,9117.037737,9097.991725
lag 229,9202.981941,9076.372511,9139.677226
lag 230,9056.109982,9099.430598,9077.77029
lag 231,9157.091391,9091.315027,9124.203209
lag 232,9054.554045,9157.933361,9106.243703
lag 233,9102.024672,9129.937903,9115.981287
lag 234,9122.773618,9143.204235,9132.988927
lag 235,9149.138627,9106.335662,9127.737144
