lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000
lag 0,0.13585787078399994,0.07713025560000002,0.04874347769599993,0.034561388124,0.029863921559040007
lag 1,0.208290023164,0.10007888009600001,0.06766827841733335,0.05341101033775002,0.037880461183839996
lag 2,0.232053775856,0.1251965664,0.07505081148399999,0.063059703259,0.048410164504160004
lag 3,0.230263413376,0.111462437776,0.08220187198888888,0.060950042515999996,0.046756024857439994
lag 4,0.2324023015,0.1325050271,0.08326282015955555,0.060243423499749996,0.051489113184639994
lag 5,0.245280062784,0.117434921904,0.07874308745555555,0.065563505,0.047897350395999995
lag 6,0.229647833536,0.120402926524,0.08045665384488888,0.060310856289750005,0.04559488632256
lag 7,0.240210404656,0.119411330775,0.08345406643155556,0.059452380096,0.04495659015936
lag 8,0.240884116656,0.112985698636,0.0783259973222222,0.06080510198775,0.04411945745600001
lag 9,0.241487698096,0.120559931836,0.07261421611377779,0.061471308247749996,0.04883310749376
lag 10,0.2476821799,0.113372959431,0.07519688668044446,0.05977436851975,0.047162872117760005
lag 11,0.23382003308399998,0.11955380270400001,0.0836175604888889,0.06313618606775,0.04707727829504
lag 12,0.23587361278400001,0.110606255404,0.08264512742933335,0.058531100837750004,0.045662049024
lag 13,0.226933499356,0.120509539264,0.07986978772222221,0.060861721229750004,0.04829790114304
lag 14,0.237627455324,0.121672308844,0.08278618027377778,0.06341026974774999,0.049318415889760006
lag 15,0.23706296789999998,0.112748213776,0.08072398936177777,0.057617335749750004,0.049847823344
lag 16,0.229771371356,0.119469433431,0.08447830577600002,0.057639703931,0.04481381224896001
lag 17,0.23971284943599996,0.11482674967099998,0.07768001217377778,0.066011513411,0.04723393573104
lag 18,0.232349586304,0.123869715356,0.07666170564266668,0.0538716885,0.046320179240960005
lag 19,0.240383158256,0.11687375105600001,0.07789192114488888,0.06294811411774999,0.046832623469440005
lag 20,0.239182834396,0.10955696967100001,0.08371386382933334,0.05864732396975,0.04827585036223999
lag 21,0.22586337337599996,0.1165478271,0.08259758648177777,0.06077421769775,0.04899284985856
lag 22,0.2257363671,0.119327759036,0.085729878,0.05973546539999999,0.044949093595999995
lag 23,0.22707508505599996,0.117011041671,0.08252564387377778,0.060725431843750004,0.05007100862063999
lag 24,0.23843393909999996,0.11978656159100001,0.07863238382177778,0.062868173931,0.047128221916
lag 25,0.2298418759,0.117376744784,0.08794236077511111,0.05998620178975,0.050471456126559996
