lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000
lag 0,0.008720201767242088,0.004447697198537945,0.003038440510633266,0.0023897404378581816,0.0019369053373699914
lag 1,0.02595172960376526,0.013335114604923972,0.008561700569054245,0.006861190809283235,0.005597467346910019
lag 2,0.025821923674980717,0.012776195716920302,0.008483722281124154,0.006373628808293241,0.004888046979834273
lag 3,0.025661878021883952,0.011684732194901608,0.00781883190569006,0.005872948162444132,0.0042168953459042575
lag 4,0.023274567953297326,0.011991560043731387,0.008576867192427678,0.005838002727520443,0.004431853909688651
lag 5,0.02290285159790504,0.012504650636644165,0.008041718436672986,0.0059407150107688815,0.0048699608052377745
lag 6,0.022896492521327274,0.012453783591982685,0.0079653800159955,0.006068799855210531,0.005015253938114904
lag 7,0.023580808576549452,0.011629141127753212,0.007991136914355873,0.005774468094051635,0.004610434199300247
lag 8,0.022754893451714227,0.01202963304155702,0.007212894759350881,0.005490861785620707,0.004843472959124033
lag 9,0.023756522442695865,0.012183209875600155,0.008129253477839512,0.0059370805659546815,0.005028765389103802
lag 10,0.023601653815716748,0.011979154008487317,0.007624518642461406,0.00617906317101738,0.004849691399460067
lag 11,0.023870160786586984,0.011728705750603573,0.007762109204280466,0.0057097820600604705,0.0046509013708080785
lag 12,0.02286681341324781,0.011712301591822794,0.007740819172659751,0.00640157304917532,0.004743581678872996
lag 13,0.02438980581844841,0.01115040377747167,0.008082517882075852,0.006026298625898059,0.005208813572890065
lag 14,0.02240983933544439,0.011812504689513186,0.008580486441777368,0.005836171770364899,0.005097531365557343
lag 15,0.025116050572042487,0.011588842837454446,0.008362888753450478,0.006004543603632997,0.004521821894814628
lag 16,0.02334424641173232,0.011983222041709898,0.00775321092239202,0.006413283127190295,0.004198170804458266
lag 17,0.022753195009621675,0.012458564562819435,0.00799793950385841,0.005989800669784355,0.004968126339853646
lag 18,0.022127170747562538,0.012441941444896671,0.007930989536687536,0.005754757880793244,0.005060042248018181
lag 19,0.025446814064224256,0.01219110145963786,0.007168658730770227,0.005873873239200741,0.005174798015500173
lag 20,0.023244062236337043,0.01183130569483544,0.008713732418796855,0.005539967463446578,0.004641196995658197
lag 21,0.02054069049530375,0.011835897190620422,0.008065414337043822,0.005682646521951101,0.004581824765384103
lag 22,0.02216982130560891,0.011104830291139357,0.007912412361223307,0.005840394969065617,0.004606436183451704
lag 23,0.024379491582010224,0.01197277310935166,0.008778144565913982,0.006091176744109203,0.004830565137219299
lag 24,0.02299902687550839,0.011645213755485342,0.0075439079214823825,0.005790761145564833,0.0049375766319846425
lag 25,0.02484501573323164,0.01125322499430493,0.00857183687842578,0.006317173985897377,0.005175519679019614
lag 26,0.023162056388913367,0.010859039009722718,0.00748575427387135,0.005616912694684311,0.004726017749121202
lag 27,0.024013776932777748,0.012016894148468358,0.00811404005941991,0.006106424872307017,0.004703112127370028
lag 28,0.023637334867706847,0.011839855512973443,0.008406723473113857,0.005757107567666941,0.004450326669862345
lag 29,0.023363337719536605,0.01173679478515104,0.008268216854201139,0.006133812817867391,0.004646115357226762
lag 30,0.024071244479802266,0.011993828934797926,0.007604975636931122,0.0062381932963342535,0.004509747290318195
lag 31,0.023995195551744446,0.01174507065277732,0.007686104509172284,0.006433024590900167,0.004777775182762321
lag 32,0.021842551891348448,0.011748336173845093,0.0073567346595924165,0.0059521908040389105,0.004719393188467336
lag 33,0.022916761723442987,0.010260847054103956,0.007847692394752736,0.0058717926406499305,0.004641899536993389
lag 34,0.022234210507908258,0.012497680760165428,0.00800029343162353,0.005838237392684062,0.004706376560572977
lag 35,0.022352937688535544,0.011469206337605436,0.007715286795097153,0.005682903591291358,0.004471035523581011
lag 36,0.023253476306248907,0.012075618769235347,0.007857895484040693,0.005822745457073433,0.004485146697188555
lag 37,0.022851766677368046,0.011937783747698305,0.008043346743405753,0.005701805162479347,0.004809483669023513
lag 38,0.022625860636388283,0.012939733852596193,0.007732594279522043,0.006181230009218138,0.004769886258333137
lag 39,0.023471236932066788,0.011241193349051866,0.008136800251235336,0.006011424962261091,0.004681606851933824
lag 40,0.02240808872208779,0.011185691626692609,0.007897780365524208,0.005863721437032727,0.0044493016813108
lag 41,0.025465665969057603,0.01166297171684828,0.008027195295825212,0.005905242002289045,0.004346303433950363
lag 42,0.022365105719276187,0.011022531939381734,0.00801336973633429,0.006083927445893778,0.004786511448340906
lag 43,0.023936781094213294,0.011556209642818782,0.00833202091023356,0.006025129358577011,0.00493589209969254
lag 44,0.024166600746751338,0.012396540033692722,0.008447479085513392,0.005910216523471366,0.004574661138537769
lag 45,0.022960774179358802,0.011915420653669458,0.007661171170603176,0.0056905031661976975,0.0048533238977491976
lag 46,0.022237444597456503,0.010727166618200128,0.007552344202337891,0.0060338068867257545,0.004715494095572839
lag 47,0.02363889905180578,0.0113618196635203,0.007847113468269733,0.00610346196786621,0.004562392902255992
lag 48,0.023272737794707853,0.011756707980170004,0.0076756777805848915,0.005371048253095824,0.004861870945308522
lag 49,0.02218462812455168,0.010571425112333955,0.007887356519106024,0.006080664993963324,0.004454373207431651
lag 50,0.021851035284695987,0.01106115351482525,0.008132437042583422,0.005662368956869523,0.004459565364919176
lag 51,0.024100340988415764,0.012376998833536063,0.007265663279280529,0.005989385583599731,0.00459747632973782
lag 52,0.022559217050730367,0.011556522067850582,0.007934626890200093,0.005396563903885236,0.004682649904305146
lag 53,0.021837967708783386,0.01122829618207312,0.007233149828922123,0.00614860330351516,0.005015528813100531
lag 54,0.022317837020192428,0.011635629853261897,0.007807376823384976,0.005672101177489507,0.004643038018382212
lag 55,0.023293820364684997,0.011346490033984157,0.00783928608478506,0.0059434229525907436,0.004554899320437595
lag 56,0.022015015070722222,0.011427608177480874,0.008101880021277033,0.005981988334005919,0.004576886163959919
lag 57,0.021289648824263152,0.011520927940762479,0.008058732105927184,0.005756070046728295,0.004820227664454402
lag 58,0.02399908337868318,0.011941713196204691,0.008127250680792402,0.005450899032360731,0.0047674028995329555
lag 59,0.02141967455167223,0.011315467138440704,0.0072468684433507225,0.006027871048647152,0.00488886488544675
lag 60,0.021627525629332546,0.011910110267913875,0.00805792972459983,0.005647813878994764,0.004776024484208575
lag 61,0.02054438632218724,0.011415941317679291,0.007858529831156896,0.0060650841613239465,0.004738095005800379
