lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000
lag 0,0.08495669916467932,0.041377689772463824,0.02621835386698772,0.019638460636411812,0.016789275911628203
lag 1,0.10390201932720759,0.04944167266124257,0.03601642565904561,0.025822542525241923,0.01884697473161178
lag 2,0.086056937623435,0.0484021095770122,0.03427593733091412,0.02430542805198015,0.01971060530802142
lag 3,0.08874142842866582,0.045566177720486496,0.030247936641501143,0.02206691960460831,0.019126636617952584
lag 4,0.0807919319631774,0.04056356149334935,0.025760040761826423,0.0227012910354319,0.016712604183768194
lag 5,0.08090547014119963,0.0423236080333887,0.027764746185299324,0.01911597600624793,0.01686330720719946
lag 6,0.0805359341672729,0.037701813102391464,0.025031944957064046,0.019799730677410157,0.0156903823879565
lag 7,0.07415942051922808,0.039831320212526514,0.025706126688125195,0.020179523410952513,0.015794306251095364
lag 8,0.07523562159696681,0.03593217219437203,0.027126182058195995,0.01825053587759416,0.015239143198327889
lag 9,0.07091435363577453,0.0395381914346516,0.024315315201486692,0.017908715387927054,0.014307929565773893
lag 10,0.07235405451394918,0.03744750031064778,0.026049110061322177,0.017934431009983917,0.015307076360907673
lag 11,0.07356863317160517,0.037425164582440204,0.02516924707154618,0.018443507860128466,0.015315841624350747
lag 12,0.07635904626342571,0.04299799877863026,0.025795172144689692,0.02013824162773846,0.014522907849515088
lag 13,0.06961489380208832,0.037451496611723534,0.0253437288177465,0.017953309239864136,0.015003618182044426
lag 14,0.0749700651020757,0.036273430529992115,0.022639309915292345,0.01753591050227191,0.01629451721024858
lag 15,0.07158124710659608,0.03826522993523431,0.027151697566435238,0.017507528763054822,0.01427420544474725
lag 16,0.0708239037732144,0.0383032119471158,0.023565672293193125,0.02089395956125755,0.01597615732794237
lag 17,0.07148610960575535,0.036394680581347656,0.023477929937040294,0.019011520542034987,0.015362867280575168
lag 18,0.07438954492232307,0.03535746983591913,0.02604242690525865,0.019474740747244614,0.015186367367201746
