lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000
lag 0,6.900568762802342,3.2679280945302582,2.1460218108544096,1.6693097007349773,1.204586613618402
lag 1,14.896105606856123,7.5185254512745665,5.226608318466063,3.8213236264585784,
lag 2,8.413673286660943,4.169941069624471,2.9653604111349767,2.1049197281738907,
lag 3,10.190344613959006,4.669404924804479,3.228934971506846,2.374511055412062,
lag 4,8.431318744158926,4.828388632496332,3.2404523765018185,2.479299007465972,
lag 5,10.293635430071797,4.731616113165661,3.2774339068698497,2.4377681864022156,
lag 6,8.598028548822496,4.910784397017296,3.2521741288448327,2.336947673504906,
lag 7,9.449129311182551,4.734894438465444,3.4335375691101255,2.3975447244344155,
lag 8,9.22385928181809,4.865586512371823,3.294762739482467,2.3119744692708943,
lag 9,9.284266817323216,4.644938449799487,3.0063331389258865,2.361422492210643,
lag 10,9.599415141196669,4.74498932246355,3.3396669446289162,2.269945923471899,
lag 11,8.492057334922904,4.95248767360278,2.845492036105925,2.3970660794724545,
lag 12,9.830818860289474,4.583407136824333,3.270816634469367,2.390470878568322,
lag 13,9.778699345134573,4.82499277575641,3.1311542547900135,2.3729878651953413,
lag 14,9.584952685489453,4.583232743723284,3.412206687085919,2.338707493184754,
lag 15,8.975879181013026,4.752338024006999,2.938275138593149,2.589682243979505,
lag 16,9.965936665401292,5.048437278659464,3.071029180533701,2.3214571263546464,
lag 17,9.944969780748083,4.6369400282109305,3.1801234500183684,2.502148277358875,
lag 18,9.368240663584832,4.663247573051755,3.3195485751308054,2.5770823796753235,
lag 19,9.221261101185938,4.7768274541558,3.2355741765173978,2.4158228125525825,
lag 20,9.874671731148709,4.585310080472625,3.1254394976384687,2.2609846915633915,
lag 21,10.71644867275513,4.561291565615122,3.121070877882622,2.338279474150222,
lag 22,9.191449638209615,4.447307594740887,3.5746874417442798,2.5771618697078127,
lag 23,9.649204755310603,4.679670304483568,2.8547341272265356,2.572419542696071,
lag 24,9.200508769477736,4.539923886029094,3.285117493857154,2.326920153325105,
lag 25,9.918177326189511,4.441733357226714,3.2502855736557357,2.3791368936810797,
lag 26,9.27437627973725,4.589345466632088,2.8907744476358737,2.3752840495662197,
lag 27,9.381904418470606,5.11290379588526,3.056723083549083,2.4165986182114856,
lag 28,9.779270209332834,4.508561846786309,3.2342850114738524,2.2214246750525035,
lag 29,9.09713934990482,4.694287362270459,2.9922000152003068,2.6078419412711593,
lag 30,9.72275268131861,4.33534180523912,3.1570115955069737,2.532304521647442,
lag 31,9.102943561790214,4.604485545569341,3.22726408384184,2.3651167912598265,
lag 32,8.869851579367108,4.9229997089001225,3.2155543138060274,2.415861665096065,
lag 33,9.885492646963712,4.848153613689609,3.184869995594276,2.390739452102794,
lag 34,9.29783293357849,4.613478599654245,3.386679386908552,2.2703029366203236,
lag 35,8.729749106656268,4.457222581910355,3.1893089124130536,2.172602513555984,
