lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000
lag 0,1.5389462784804255,0.7847035983708893,0.5402774958228664,0.3857952352615334,0.2984581963490806
lag 1,0.8876264754470163,0.47574123168950133,0.3062246049869328,0.23578223304124762,0.1830421457488576
lag 2,1.9486178459671735,1.05054638833056,0.652055929848116,0.5245096410483965,0.36042397783636027
lag 3,2.2041334078237993,1.1537096743333897,0.8077376481982409,0.579599609120472,0.4629452242187082
lag 4,2.367267779649441,1.1546895433888642,0.7664624281479108,0.5773675869814401,0.49263637690667017
lag 5,2.60387336946099,1.2103064510780264,0.843879536711911,0.5670262457689303,0.4817410319044243
lag 6,2.4905396321925477,1.2786688953230363,0.7821621648012238,0.5946419773107545,0.4564489291825786
lag 7,2.175305183235757,1.1425520640259559,0.7746333769817022,0.6148106424328937,0.4617451928961228
lag 8,2.3419168499603855,1.1086678729768933,0.8093639361978555,0.5730909616798244,0.48510962431049204
lag 9,2.371748634006697,1.2280503638004188,0.7888052209865989,0.6286205263470712,0.4830859896119838
lag 10,2.4203680177477525,1.1573155820739973,0.7311989170051584,0.5650347172907254,0.4569878267013746
lag 11,2.358845862217487,1.1271545773441094,0.8048515100513223,0.6135967976735192,0.4478766404321749
lag 12,2.365532066673835,1.181023733347605,0.8076084138198595,0.5398152388454646,0.4747043948179696
lag 13,2.280110636148064,1.1949061205818843,0.8032741395217278,0.5851223498912657,0.492564050204731
lag 14,2.2346593269985733,1.1555014086985744,0.8045674823011095,0.6530227384210001,0.45041616530360623
lag 15,2.2784576516582855,1.2179263916794734,0.7431686296668901,0.5784138577481475,0.47796884355179736
lag 16,2.269036236425443,1.2065556103607349,0.819405351564206,0.5901301705841715,0.521560272239919
lag 17,2.2927197563695754,1.2656137734420998,0.8272465717614701,0.5819824719309872,0.4732323760818429
lag 18,2.1419154937807945,1.237129955552541,0.7824582859327337,0.6230450107930346,0.5259500962920837
lag 19,2.387021211888772,1.0763568582542504,0.725951145167249,0.5976122737136149,0.48124657099217155
lag 20,2.263709524544907,1.1294472194677083,0.7886908084979184,0.5749604562947045,0.4484471341748156
lag 21,2.0789749210254356,1.2048755118955792,0.7457752671429876,0.5693304231536342,0.4892378764197957
lag 22,2.415008758685803,1.1769507615450325,0.7562558707806678,0.5948754003289334,0.4708589170020176
lag 23,2.4416018030377056,1.1598347786170786,0.8012746698043345,0.5951941055493116,0.5098434513121499
lag 24,2.1772056731933636,1.217821805357262,0.7516417765917447,0.6164142158204525,0.4796830147170461
lag 25,2.1823251556732712,1.155337871062239,0.7664071697556442,0.5917980983099503,0.49547472160629435
lag 26,2.259135583524192,1.0978712243884048,0.7556601584839866,0.6361009506468998,0.4932328197845922
lag 27,2.191645868329228,1.0998950686248936,0.733472797450192,0.5804964223103324,0.4392282569850706
lag 28,2.341398155573963,1.2071624607517475,0.7761980200487711,0.5291880713915296,0.4599209474153145
lag 29,2.3765476177178746,1.1858261615549577,0.775804260365514,0.5694413470253084,0.4694560143819103
lag 30,2.185585938798112,1.1212958625904248,0.7973093105479228,0.6051660307937108,0.4424681829580428
lag 31,2.29795902536429,1.0989880213775054,0.7740589660214962,0.6127976782047528,0.5121049425484906
lag 32,2.4054867281857533,1.0966688783197442,0.7667036796505472,0.5900837389622393,0.4873684301124657
