lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000
lag 0,0.5131651360217316,0.24228533715724768,0.15509500150322406,0.12230146469471077,0.10119216523820873
lag 1,0.2803662223397294,0.13124932953610305,0.08840861915798479,0.07159076965042149,0.05223114649530578
lag 2,0.2475173664478337,0.1100534016465854,0.07604294041240636,0.06118310652906374,0.04835296751833302
lag 3,0.23835675576520124,0.12799485913962705,0.0748904009058853,0.060510077799249204,0.04721289522086211
lag 4,0.23193842908606485,0.12959395481155778,0.07982440373130445,0.06477183630949551,0.046490554833519916
lag 5,0.2560088888852703,0.12590818251819347,0.08136103280875173,0.06048147531983044,0.0501624467247495
lag 6,0.23533029691678609,0.12019178524376342,0.08795726247065334,0.05859502425560527,0.05278559832336714
lag 7,0.257274926770875,0.11837198046717302,0.0741285159352546,0.0626647277683579,0.04815798545540739
lag 8,0.24044789561665164,0.11108789455233668,0.0767966825498304,0.06204477478888703,0.04695722804409583
lag 9,0.24254982923637788,0.12175153852692683,0.08163013042321442,0.059857013183199276,0.049249375198885406
lag 10,0.24071784327542964,0.11584202171076105,0.08380609063530946,0.06546938965675157,0.0458456223179533
lag 11,0.22551985163510294,0.12837485156029968,0.08248398926337326,0.05724105520829465,0.050094155604716514
lag 12,0.2615838158782542,0.12771099285707554,0.07759919897535039,0.0633969682675594,0.0505256131172141
lag 13,0.23561588474897485,0.11407465667431214,0.08454781650881421,0.056037415182637475,0.042283244733272655
lag 14,0.25093196647880045,0.11991260311125336,0.07489275039078964,0.055099247056523096,0.048564146676731826
lag 15,0.24508756634274828,0.11708382142476745,0.08198189671693507,0.06225293478691883,0.051638556170369304
lag 16,0.2533990996243693,0.11848224670950876,0.08203808671394772,0.05748876699842205,0.050588371331585426
lag 17,0.23767874999747862,0.11006187794132108,0.08471750778312705,0.062324193368357525,0.04744899917760283
lag 18,0.23410203170704869,0.1178882376587134,0.0825089672836124,0.06258094543928022,0.05046050260027265
lag 19,0.23008134476242112,0.12211287932009679,0.07728822580620164,0.05813541470918777,0.05039112847339024
lag 20,0.2434477551872473,0.1145571186420024,0.07901383716815308,0.05978338034801549,0.04433993925180651
lag 21,0.24651753116992084,0.12910413172477392,0.07489549862557428,0.05596777739379939,0.04730562375257105
lag 22,0.22770016622707553,0.11432004254325273,0.08057399656518657,0.06167854322163043,0.04685785723828263
