lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000
lag 0,0.04939476501558744,0.02384988994859751,0.016087363483256498,0.010890644088002503,0.009642373410329643
lag 1,0.030264101477295306,0.015107163845647868,0.010173831342602566,0.0077042568003644245,0.006340921300925763
lag 2,0.025393462197576887,0.013174997600500631,0.008456117181555572,0.006328822024445527,0.005145809028724841
lag 3,0.02547902866522522,0.011220807596984279,0.007921730305371853,0.006439522696962167,0.004797998141832525
lag 4,0.024630375035727695,0.012229135181672877,0.008189893927219943,0.006577327825878043,0.00477504908827927
lag 5,0.023791542967964634,0.012019161253187778,0.00822475092939106,0.006200668987463153,0.0048147951643105705
lag 6,0.0244939994998358,0.013039069527108512,0.008154998749013345,0.006053859962132591,0.004732814833566999
lag 7,0.02554686639492987,0.010969919444908107,0.007671566947503438,0.006067975923590638,0.004705421066796178
lag 8,0.02421933899007249,0.012234001350444041,0.008549082555315217,0.005905293244203051,0.004866054208358396
lag 9,0.024199911881386267,0.01162994382345003,0.007856011124011606,0.006407674414967206,0.004613330461046511
lag 10,0.023670042089327843,0.011745948759571408,0.008304180159275719,0.005681164051699744,0.004480650587011523
lag 11,0.02319685855585402,0.012034616298975084,0.008067200995655496,0.006015034699841184,0.004924249448697514
lag 12,0.024443197311775588,0.012095830668024488,0.007883537175755446,0.006435161792202425,0.004772237302829448
lag 13,0.023754147357519996,0.01266622000286571,0.007780581629279074,0.006109449172549879,0.004919724285931059
lag 14,0.022385640658932553,0.010724748919080032,0.008213550631333827,0.005855251520248286,0.0046691359432342976
lag 15,0.023217209337677736,0.01218406607675043,0.007735464973298805,0.005615986567130445,0.0050226432861742885
lag 16,0.022574454732285018,0.01197505416483406,0.007554394866493734,0.006148931300838315,0.004934308369147727
lag 17,0.023328106976584145,0.012347606381990624,0.008059894193771342,0.006359449972683245,0.004536685028520438
lag 18,0.02417202794176419,0.011050534850700679,0.007975756082115896,0.005669548842027248,0.005101900114206106
lag 19,0.02365104429137016,0.012356433248476118,0.008152390160889195,0.00628801174136103,0.004568397531217783
lag 20,0.02386353920621962,0.011215888932363036,0.007066221814957352,0.005997000622584533,0.005019098391366499
lag 21,0.02320553836702291,0.011311069109540389,0.007702379412975418,0.005856572925199418,0.004262911703131939
lag 22,0.02036717487477288,0.011427035402008139,0.007999324065889645,0.006470327341475484,0.004620504521231266
lag 23,0.023959349570835013,0.01195704150036159,0.008345462559544615,0.006509620720835937,0.004660527066222078
lag 24,0.022089100180883676,0.010785961844883592,0.008065325718718718,0.005826885610887736,0.005012234444612286
lag 25,0.023683116837243157,0.01226135550222345,0.007643277405629394,0.006352034349837961,0.005225113131481868
lag 26,0.021662642034741168,0.01192309616884088,0.0078180391756786,0.005668527026326244,0.004537889876896603
