lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000
lag 0,0.14416287526571242,0.07706465047489695,0.04834343303914123,0.035988416673599234,0.029632466194941698
lag 1,0.12040260135274894,0.06048355200400822,0.04542090171651199,0.03181276044694553,0.02509388133253189
lag 2,0.10705617246099737,0.05178981740889437,0.035547195265817164,0.029146206165846077,0.021375934147370396
lag 3,0.09752244867490913,0.05271713708465863,0.03107407489868433,0.023496964963376017,0.01827182644547672
lag 4,0.0851794035528416,0.042385480693035216,0.02888324050844716,0.021211946695550692,0.016442336903476032
lag 5,0.0784592967345977,0.03778250129726524,0.027917412634540617,0.02016980244640291,0.01588337475904896
lag 6,0.08409035476541737,0.041686267978587585,0.025308658397563598,0.019993865201895934,0.01661002058172646
lag 7,0.07609873718671921,0.04124071336301662,0.025665529414352788,0.02005920969341126,0.015941562548459104
lag 8,0.0731766712904893,0.03865811924879342,0.02366883340421758,0.020580700752498893,0.015154256524780555
lag 9,0.07551981165543671,0.03529673458300181,0.02584876198223328,0.017526481818499674,0.015238118048779448
lag 10,0.06581937639798445,0.03752032985156549,0.026758286755506032,0.018696663431931704,0.014276421160488419
lag 11,0.07578319474859711,0.036540936734243766,0.02544493131681675,0.01902705414754243,0.015008705247941677
lag 12,0.0679864789221417,0.038227551907061945,0.023407752382650925,0.018522748976071448,0.014080348370086234
lag 13,0.077427743133026,0.037300233378656684,0.02545711569012126,0.018045585126539997,0.014286431220497586
lag 14,0.07429908726399696,0.03654858418301889,0.025882821867717395,0.018895932676203715,0.015033084588146572
lag 15,0.06727500779082479,0.03744606077017588,0.02639450103346161,0.019939662825840594,0.015802075754657908
lag 16,0.06956867699494015,0.03603045625778564,0.024096037141921416,0.01815465050954308,0.014122744610747586
lag 17,0.0727324471536744,0.03520561608257842,0.023060814396305824,0.0188517871289519,0.016263077820378797
lag 18,0.07770726712439,0.035665781773330546,0.022650306177716337,0.018409075236528807,0.015786094117349377
lag 19,0.0740799672298676,0.03438069211158771,0.02417011701958728,0.018892719376220213,0.01550373694518451
lag 20,0.07753460692925629,0.039492914464738266,0.023500032424645566,0.01867729637897453,0.015269720959027875
lag 21,0.07408984472543083,0.040401747538443354,0.02453806108581022,0.019545047846667978,0.01537565313314912
lag 22,0.07137349562751093,0.03641645954300374,0.024634079934734748,0.019386451052887804,0.015701690316527475
lag 23,0.06898404889831408,0.04008014487900001,0.026765560722432965,0.018980582388362772,0.014702486780446168
lag 24,0.06693106396437931,0.03471435394833117,0.025031441684819897,0.019098506401392473,0.01429124322987061
lag 25,0.0727518296390526,0.03766486937317155,0.025757837471446565,0.018916011712292593,0.015034642969450255
lag 26,0.06850225546430203,0.034766867162271516,0.02335160584804772,0.0176660524397976,0.015092818393970482
lag 27,0.06847384428599015,0.036659902388712765,0.025214945101740504,0.017936637758122983,0.014728380835256266
lag 28,0.07148300099510548,0.03768927358034247,0.023972153646027828,0.018251422410861248,0.015653011651234262
lag 29,0.0710762233138969,0.038609187935605235,0.024523335735026974,0.02014134330067236,0.014344087343491768
lag 30,0.0742114482200091,0.035839087890854555,0.023648302245940712,0.02033584078400271,0.015005636768670762
lag 31,0.0698607603245317,0.036214134448156625,0.026245975315293393,0.018510242132952288,0.014701198795577134
lag 32,0.07996677118728347,0.03645658697338608,0.024939481501693558,0.019114346451716613,0.01391397838776453
lag 33,0.0751552842877018,0.03406046464703014,0.024021686194876445,0.01754009649122583,0.01471847243277643
lag 34,0.06783456795764334,0.03273974892284174,0.025598795089131054,0.01824124903043478,0.014133413016576977
lag 35,0.06726669698657127,0.034015123142412854,0.02500160345268089,0.01648727620659615,0.014452615882153722
lag 36,0.06856968278765732,0.038480247471333766,0.0235208698995401,0.017680422815754496,0.014690392002841253
lag 37,0.06991943396333047,0.0376846028003656,0.02616035612280213,0.019400335061876134,0.013554308563051688
lag 38,0.07115660456948954,0.038684964720799,0.023204321195529922,0.01952125006002599,0.01633318494712183
lag 39,0.07534683975885623,0.03455545850964343,0.023094611271668637,0.019025515002726336,0.015257633932293308
lag 40,0.05979561068157033,0.03593257339688152,0.02755169818003881,0.01809481315106024,0.01377610207390357
lag 41,0.07076466020208244,0.0345509784689597,0.024524055998036965,0.020049336558729564,0.015590128799291616
lag 42,0.06625968618179055,0.03571233324552863,0.02248500819363396,0.020299703338203693,0.01452944327553399
lag 43,0.06838928834284062,0.035337013212162635,0.024149998560525687,0.018770861981355524,0.014602034326724666
lag 44,0.07058158070103392,0.03708328554364664,0.023497404140805124,0.019712527475525512,0.015405267722309133
lag 45,0.06807228562136526,0.038924569017892416,0.02481673439264408,0.017824930573824133,0.014111133367478764
lag 46,0.07266717622950651,0.0374973306289315,0.023608605269141464,0.01798040039959071,0.014659984215896356
lag 47,0.07760747846212167,0.035159837479381326,0.023432305765868224,0.017435158828233467,0.015288534782864655
lag 48,0.0655258817456062,0.03434494202828293,0.025305212667243466,0.01776449890048164,0.014974750123782228
lag 49,0.06619756047735274,0.03384766891966174,0.02355143511188728,0.01909822711043965,0.014768569323228986
lag 50,0.0682713048400423,0.03588431751098211,0.026016384394546038,0.017654495243561278,0.013640787879007596
lag 51,0.0670943399898449,0.03563790102828661,0.024540417242367992,0.017653933724195495,0.01534317565524724
lag 52,0.06895097611899771,0.03502657673516117,0.02393251080480114,0.01908310438997021,0.014512547312449931
lag 53,0.06491710816409904,0.03699876043936456,0.024901466511380504,0.018343117193716053,0.01424437202554185
lag 54,0.07038396184578403,0.032096695923629286,0.02240824320641231,0.017994281108855297,0.014408109159571232
lag 55,0.06514372428328513,0.03609560915168728,0.024645729588861732,0.01921023712804859,0.01484197224009845
lag 56,0.06572931306497715,0.03838744566113094,0.02583714978413173,0.01824887573236437,0.01449659479849424
lag 57,0.06864387587374493,0.03793276517449001,0.02510945412440675,0.01800402377046495,0.015055494282317167
lag 58,0.06839981745467213,0.03477482429064879,0.02405374326052583,0.017928183525135827,0.014941953432451086
lag 59,0.061156975751251015,0.03641231225753336,0.02379207146214587,0.018133772730380523,0.014137124173854602
lag 60,0.06639366420169796,0.03666759828117337,0.022371059949239328,0.01849577650927766,0.015248489850559831
lag 61,0.07294916169022014,0.03135829920214194,0.02221116574000551,0.017792791212066356,0.014828108052927327
lag 62,0.06251606267431083,0.03523277584257712,0.024052952065196236,0.018284859845304712,0.014227872052833539
lag 63,0.06306925496453332,0.035027329737155076,0.025313251191203635,0.01842895228695954,0.015082526974109384
lag 64,0.0679370025445578,0.03290158869852397,0.023447804879055595,0.017094977789535365,0.015455498916637644
lag 65,0.06621911059391378,0.03504370827410013,0.023779114240273878,0.017706286732457815,0.014540757677465696
lag 66,0.06657354175486051,0.03420137540518594,0.024145887087494784,0.01914629544934286,0.014877958699114973
lag 67,0.06368183998433626,0.03416311962521076,0.024416862426608,0.019287928242870244,0.015336288475359349
lag 68,0.061410699054708195,0.035451922888184065,0.023815778321464816,0.01933848337991291,0.014744244663738432
lag 69,0.06797594018881253,0.03541371136046062,0.023300614310687067,0.0183016193242014,0.015283328490244906
lag 70,0.06286073845950166,0.03398359228711341,0.023457310209597407,0.01714219918802524,0.014753770700758239
lag 71,0.06346844990733724,0.03354272487984667,0.024059752730162247,0.016983646069955068,0.013779071268898069
lag 72,0.06097953233245913,0.039393941145355604,0.022640274983413547,0.017377037009039715,0.014164340974110465
lag 73,0.06368543521294172,0.03270917363323363,0.024398775093040784,0.018271873676896633,0.014293022046297236
lag 74,0.0657993284705186,0.03196110472050629,0.023094379410244698,0.018238965825202024,0.015772725828879713
