lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000
lag 0,4.665563659879928,2.4114209246344034,1.526876626541687,1.2238966873112798,0.9004746331645285
lag 1,0.9373422824190375,0.47237707173945276,0.37793302422321434,0.2586089360531108,0.205348766958169
lag 2,2.3722201687889393,1.3853016924206731,0.8304960000171218,0.6425771033547262,0.4980118166667824
lag 3,2.356869528888207,1.1723819142968142,0.7974687764946669,0.6584903311301767,0.5000364682243202
lag 4,2.387853517463578,1.212720075784285,0.7659746964425789,0.628386563334664,0.47034589681827693
lag 5,2.4263861826228914,1.2102002575683777,0.7736783468275876,0.5763321963427002,0.44764225810473857
lag 6,2.344136646112333,1.2422354613528124,0.7873830412466467,0.5565160011618716,0.47624620823985836
lag 7,2.3652420413312867,1.074838189999694,0.7696895294528622,0.5915371009944365,0.43481435511744393
lag 8,2.2412614403104434,1.2418404760783242,0.799372705430248,0.574055832808401,0.4151213564343594
lag 9,2.3809575768619515,1.2178650123646564,0.8559100075836764,0.5192897510913235,0.46382474051311157
lag 10,2.217187790833863,1.178992242378208,0.8156059965487186,0.5767938430812173,0.45509370901447765
lag 11,2.2379667285647833,1.1650680605889312,0.8263029068741898,0.6284176743660072,0.46927440212816796
lag 12,2.3220607182435242,1.206032218462409,0.8641050250852989,0.6279450718049135,0.47371873222136457
lag 13,2.4820658003829457,1.1850522728411788,0.7997351348753402,0.5462820058675523,0.5133710723786704
lag 14,2.3070301094162464,1.1755145585317728,0.7374502979844834,0.594845070840965,0.4962666653055962
lag 15,2.3408729195027957,1.155531672879417,0.7536593964592251,0.6061539039615942,0.45286970960229656
lag 16,2.265580821484262,1.251087213792653,0.7295748998884305,0.5675117053433091,0.48723498446520364
lag 17,2.2469427439354694,1.1638364682140363,0.8010601926781123,0.5776362148118046,0.4550679543047557
lag 18,2.376879794308625,1.1647444392889639,0.804283775418992,0.598204151723267,0.4488938025760467
lag 19,2.2949971172262065,1.2617932844802076,0.7731188050508829,0.58262403796611,0.4836772256050749
lag 20,2.2821227370043444,1.1565863792577133,0.7865334908435723,0.5717612692695206,0.49460530622678045
lag 21,2.2891269626886306,1.2221374987124913,0.8010300585626885,0.5890228179281211,0.4242250219799501
lag 22,2.282000581097863,1.2149408975771134,0.886485414054887,0.6128952991717269,0.516401607861085
lag 23,2.391646501586706,1.1184888888628497,0.7600904571179323,0.5744744993819156,0.4547598278443199
lag 24,2.167453721411107,1.1754940365681483,0.7852721585866281,0.5832446470045529,0.4599085209118692
