lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000
lag 0,4.562277967959468,2.56201900779215,1.6788826605810547,1.1214466357788129,1.0079816351444528
lag 1,1.0583266789208765,0.4818224996396836,0.3236817284446484,0.2489353887519105,0.20189920178383958
lag 2,2.655629884729322,1.2501356387685088,0.8806543718383103,0.6312215813845852,0.5112722967945161
lag 3,2.4273501035178517,1.2815764213750427,0.7960013920075286,0.5855084920608219,0.4795085429111025
lag 4,2.146217520200194,1.169758459553194,0.7511184314303764,0.6445478282099109,0.4825345917417453
lag 5,2.196908158642831,1.1801368108536399,0.7523816670122314,0.5843330754040321,0.48840169257674465
lag 6,2.4886038329388573,1.2121555145794034,0.8467713950873824,0.6124223891528999,0.4924893461176069
lag 7,2.1777602273531675,1.2216156163808682,0.7486748810030425,0.5242034001841255,0.4762207569711863
lag 8,2.524132443735623,1.336197433064839,0.8062623317194348,0.6147754276335626,0.5011224467274165
lag 9,2.5288076770777344,1.1663819581085628,0.8537276726734803,0.5564511250039531,0.441671661131428
lag 10,2.3348775504243133,1.147495152635708,0.8231746353928279,0.5822688443809029,0.44072195050005203
lag 11,2.4338258415809695,1.1502005782944265,0.8148244201895347,0.6027533463305131,0.4577356197938698
lag 12,2.582076720835645,1.1963790442964286,0.8160751291005475,0.646321984280159,0.4883534219336643
lag 13,2.3978699921758992,1.155228671634967,0.8014763354964589,0.6159325908071333,0.4612150172873328
lag 14,2.228551890863883,1.2358949197886937,0.8889332639470392,0.5647508262865927,0.4611882936403368
lag 15,2.2482563822675155,1.1542906912892676,0.8580012276486922,0.637587725244716,0.5259292960320149
lag 16,2.3427396751140495,1.1217209008516504,0.8313368132098047,0.6331750152192007,0.5019593815703692
lag 17,2.2795359040249514,1.1145078226257075,0.810430001482592,0.6038047132054376,0.47768252375423675
lag 18,2.391339543861188,1.183883872903095,0.7590808052600089,0.5592985296715451,0.5285888542851036
lag 19,2.370278476273246,1.1475719226878662,0.7991373648453153,0.5991686481463461,0.47412340193191266
lag 20,2.3726382940996946,1.2146146187176696,0.7600303663627961,0.6323079060728285,0.49150079092752286
lag 21,2.507031865693688,1.2350141146904718,0.8104647889560247,0.6067359352917632,0.452162102521165
lag 22,2.3115728453038513,1.1173283122370399,0.8275626841260195,0.5539034056781682,0.47438646613842445
lag 23,2.2234280900500045,1.085158989307667,0.7493087681915515,0.5567782917862922,0.4493595358401618
lag 24,2.349450606957775,1.1558918999365464,0.808092802460847,0.5935032764279411,0.46089066470580614
lag 25,2.426980618615604,1.2003282779776918,0.7751454943378919,0.5367298974952571,0.5041566217888623
lag 26,2.2583364242784914,1.0605414849060166,0.8077827409785284,0.5706204001837306,0.5075683335997685
lag 27,2.3550501248129154,1.224687570036075,0.7823344934556057,0.5262421282366156,0.4953872572148084
lag 28,2.298838032260678,1.2264065339557337,0.7476959136113736,0.5752364987802646,0.44128887322524063
lag 29,2.1673076414850385,1.166078131804472,0.7704121288351214,0.6108585841079934,0.49475787247848985
lag 30,2.1513932124150426,1.2186079684242692,0.775824866920953,0.5917010848596128,0.4775489071213608
lag 31,2.325705862111457,1.1621583126268524,0.776530008524561,0.5888249787397067,0.49677720811721415
lag 32,2.2729816548650787,1.1492168575600612,0.7257211537162532,0.5889530895109409,0.46858856987252717
lag 33,2.310593989895719,1.2180918862046284,0.7721224850136328,0.6016126083549719,0.48594757557428475
lag 34,2.2468355145594896,1.1438201267898203,0.7711584810969344,0.606276833095871,0.4573015981910472
lag 35,2.413339051026147,1.2165779039164755,0.7982021452623773,0.6073543760559319,0.46773630421805806
lag 36,2.239997010828358,1.194134804925548,0.7086444604600842,0.5600364370631057,0.5089581561633115
lag 37,2.154946764017671,1.1462784838925377,0.784779368238716,0.5808660575643387,0.5005632481752821
lag 38,2.2394309267872874,1.1312824735615086,0.8007787079196348,0.6002028924025576,0.48560206163200903
lag 39,2.3934655651215886,1.0801004689547413,0.8226437876734369,0.5789888052155531,0.46555631624639987
lag 40,2.28881057920708,1.076249035195436,0.7445180878269629,0.5801431650950426,0.4274148603802339
lag 41,2.263533530242036,1.238856101349544,0.7760654903474774,0.5792396031646392,0.46485252393509746
lag 42,2.21694706663873,1.115647712247535,0.8151343193915934,0.5939745972028531,0.48114562712721215
lag 43,2.165995562023767,1.1632643142722277,0.8251656772016084,0.6713955285276227,0.5014327763742477
lag 44,2.111024682492698,1.1260760455686882,0.7818907448254437,0.5986232479714739,0.4552427935851251
lag 45,2.1734885268644906,1.1420418126588812,0.7762925606856569,0.5814466900496634,0.44901949595203383
lag 46,1.9919551080829725,1.2095077247445947,0.7314128854235921,0.5664733979676034,0.46605453793213086
lag 47,2.4391733496736316,1.1546115363790328,0.7513314209769942,0.6104007793773862,0.47882091388762327
lag 48,2.242836437360126,1.118246287155988,0.7225615582102111,0.5852849083293411,0.4745281875549537
lag 49,2.31404184305454,1.166451724173738,0.7524817013067437,0.544563759857245,0.4849489511716255
lag 50,2.0851067129397167,1.0685293988743925,0.732302182442224,0.564577171078097,0.4743670945647242
lag 51,2.260323888044597,1.2334329769213708,0.779503971703559,0.5488795880025528,0.4840950219311021
lag 52,2.21631421185635,1.1887519488446607,0.7669826348587653,0.5847718824979888,0.5153850837554067
lag 53,2.20772809018258,1.1391228595014624,0.8138447344656639,0.6303497706431688,0.44507199652436197
lag 54,2.3479844677262856,1.1697032133133245,0.7897527412725068,0.5780728537971284,0.47144755970360863
lag 55,2.2117207095192915,1.1764442601082208,0.775200479737306,0.5830391543982248,0.4708800157267982
lag 56,2.165452905718815,1.078219025592927,0.8097058158940623,0.5556575655247357,0.4614692819070394
lag 57,2.3067173561343366,1.2714722010784087,0.7898623269007344,0.5729797963596992,0.4547151957731043
lag 58,2.222194999397528,1.1154878998266318,0.7452443144118707,0.5748262411916952,0.48756396177149075
lag 59,2.085856157686458,1.0648074398280414,0.8084728251139909,0.606831419163198,0.46517471821771333
lag 60,2.269683938646318,1.1606730572070398,0.7748892969997955,0.5738939349067649,0.4916297785020309
lag 61,2.06544772390696,1.181886326302122,0.7923091011857805,0.5518502877699585,0.45906647008831986
lag 62,2.3662934828929645,1.1300731682757064,0.7967366227033801,0.6091319236966671,0.4603489294156028
lag 63,2.151146929700513,1.198542404627103,0.7902338073553401,0.5895887333887498,0.47713411508684184
lag 64,2.290120216021056,1.1628027013794686,0.7906721507752172,0.637583970406731,0.47337309559800644
lag 65,2.0811264860464083,1.1276619916045034,0.7210316939384401,0.5643305599860018,0.48734272657347094
lag 66,2.2514646564720455,1.1393287097642575,0.7392241951451298,0.5876497541930897,0.4386996160149359
lag 67,2.2714505962085876,1.223371558109053,0.7868130854349416,0.5746272949591947,0.4553788413181959
lag 68,2.273899063533792,1.15531811739156,0.7431233503109249,0.5728881655853064,0.42178954915128825
lag 69,2.0895781779439853,1.2031341689370811,0.6801950807110343,0.5988508542620382,0.4782678043754374
lag 70,2.183856285392738,1.14586909808901,0.7528600735133653,0.5681670934812166,0.47504559493015186
lag 71,2.3336736678655736,1.1620542836727368,0.8182087205634638,0.5458706068474678,0.4702897198519615
lag 72,2.2026085773602815,1.137903739818715,0.7334378000540837,0.5875598613871293,0.5015573415413614
lag 73,2.249184918971422,1.164762839764558,0.7627961024482316,0.6090906959390717,0.4334841268015673
lag 74,1.9838094950519565,1.200338958223133,0.7280804150087554,0.6246351176635991,0.4372572501500591
lag 75,2.1809740658408403,1.10110814500801,0.7081232742906887,0.5897663033322973,0.46038963380672365
lag 76,2.1771855922003893,1.1412240332522325,0.8102258189383563,0.5750614346707816,0.483726228078613
lag 77,2.2761149404372234,1.0785534439306221,0.8355317609183124,0.5535636905011343,0.4341949023076075
lag 78,2.296602671542677,1.091830672445215,0.7615018052435464,0.538105713231356,0.47171202331669426
lag 79,2.118395311532443,1.1185573394780048,0.8189985750298562,0.5973903372721229,0.47263996218918464
lag 80,2.0534572551767067,1.2413728283490795,0.8170880955378934,0.6024101643626578,0.4450134246894767
lag 81,1.9778417457696902,1.1529310298539655,0.7344383871155917,0.5623116963781868,0.49587913639004955
lag 82,2.217427064643607,1.12835449375609,0.7588855830970881,0.6248987057780252,0.429571593067794
lag 83,2.1114376654405063,1.021421526909656,0.8603439803316824,0.5817716020801172,0.46236142917922063
lag 84,2.1782253300091625,1.144230115156727,0.772573541374467,0.5543152001069025,0.44010103141928203
lag 85,2.2231035857084573,1.1340970143277045,0.7492406938615811,0.5693651975703286,0.4702664679425802
lag 86,2.197067299349025,1.083225273685037,0.7364704815563354,0.6245587785958423,0.4843216251488159
lag 87,2.0244916094292242,1.1044200147086598,0.7924974302208201,0.6032357306200118,0.5172982324499369
lag 88,1.9702704466074095,1.0734228643897,0.7467750894414085,0.5756066805425478,0.4732660975188813
lag 89,2.130874055948115,1.0440937788082165,0.6981485577653215,0.5590631729316259,0.4663898109296607
lag 90,2.1481703284780562,1.09745736667156,0.7614957971068604,0.6236883226612062,0.41406191431949774
lag 91,2.1057356737494692,1.1883789341384998,0.6755485309033529,0.5775601894721415,0.5073853044614661
lag 92,2.1785891818823373,1.1914915626219649,0.7403324207058877,0.5759724948310533,0.468065879911902
lag 93,2.1421262326327777,1.086329460328337,0.7871162176657861,0.5801874158374118,0.43548281559045315
lag 94,2.08098248143481,1.2146301170369243,0.7491222363501143,0.5856740876337669,0.4832647467840929
lag 95,2.089840400377295,1.0297963077821328,0.7672269374415265,0.5857800940764817,0.42734461427266696
lag 96,2.1249374084108306,1.1472395726339581,0.7557728868576947,0.5850806310722796,0.4496365936276177
lag 97,2.075470418566613,1.1202874171380017,0.7686773966238254,0.5654578057657765,0.4495977731011583
lag 98,2.2238324303849804,1.1513176846021993,0.8000337289977394,0.6151149337635488,0.45419218048623405
lag 99,1.9446376372171845,1.0805927674717768,0.7271983267760884,0.5677384060704285,0.4412083097435549
lag 100,2.162725570172175,1.0248294330031664,0.8181416405578847,0.5297735058231265,0.4521400116428208
lag 101,2.137882103335848,1.150797307751006,0.7802967088759509,0.6464241857617419,0.5007311221824068
lag 102,2.241545515465243,1.146349168883804,0.7866213783830961,0.6064307716128265,0.4411386070284375
lag 103,2.2954614494246304,1.1789815235937422,0.7852745872856193,0.6120442534903254,0.460958818869335
lag 104,2.2458925261917657,1.0369484458908322,0.7494013621910399,0.6111278539721456,0.47188042875700564
lag 105,2.252524405359729,1.0761867863870307,0.7229831944427685,0.5304853679782155,0.4662914763263056
lag 106,2.1423456459460137,1.133764700560518,0.7767006482981963,0.546613968662612,0.4603444868964448
lag 107,2.023598360913129,1.1420008145204599,0.7531945819843563,0.5855979557651777,0.49322043217384465
lag 108,2.1630247725171694,1.119534853267081,0.7723547237504683,0.5605468815476086,0.4680523056416144
lag 109,2.1365417326047664,1.1273928539696003,0.7254149957156507,0.5809597052541315,0.4822669030243797
lag 110,1.896558652611608,1.059521657001711,0.7533542809129042,0.5778916455115687,0.4589074721983485
lag 111,2.141110845584754,1.0943716040500164,0.7776551125416029,0.5498320893292239,0.4744215850187879
lag 112,2.078631591064042,1.0819160243718933,0.7845073896646976,0.5524937226492405,0.44253272454302683
lag 113,2.1546294931746663,1.036489600772042,0.7294517551190522,0.5838215319195158,0.4486179154864443
lag 114,1.986744274515087,1.1336510212794901,0.6897786922365847,0.5795220331314703,0.4651080731133711
lag 115,2.1002882729467576,1.1210088983945807,0.7322818236642442,0.6027707540764403,0.4528181295400325
lag 116,2.0345482186661057,1.090716521481418,0.7879472728951203,0.5284922206649522,0.4348321809369514
lag 117,2.1177024496443124,1.1384054385623403,0.7318851167389477,0.5543145996035421,0.45891110856604767
lag 118,1.9631716463734734,1.002268491072663,0.7178448452222983,0.5438231974153989,0.4896320060119764
lag 119,2.074402105097544,1.1008671419881384,0.7114407431273446,0.5248768466566123,0.4532800480681143
lag 120,2.2304464568167433,1.1307543022826512,0.7266706931862721,0.549590428124273,0.46129042264738085
lag 121,1.9947150717138609,1.077352091827874,0.7870419285847297,0.5678388995465466,0.4716894044722671
lag 122,2.170429257863039,1.1063068400249176,0.7717055445836454,0.5561562265982668,0.46970261085540743
lag 123,2.0361296278107424,1.150388907117711,0.7398473834092788,0.5948041286022919,0.45126228056748563
lag 124,2.017692960738813,1.1335328505594497,0.6945228654767998,0.6028769645853151,0.43634302030360633
lag 125,2.1730565950193257,1.1055836443819462,0.751139475110842,0.5326818107098459,0.44662856283272395
lag 126,1.995867270425053,1.099375895708237,0.7703321062773276,0.5027224082594949,0.48535103502712307
lag 127,2.039929264487433,1.079919701333336,0.7477729127649346,0.5868845316173661,0.4640122127893006
lag 128,1.9699511976991477,1.1063753966773235,0.7032866269803606,0.5802608445651943,0.44932500213939286
lag 129,1.9828529033619846,1.0928046186964142,0.7708119129188601,0.5860062250265918,0.4557880019844771
lag 130,1.9885319980370932,1.2169274988160363,0.7410491727462758,0.5476342555518904,0.42304216316271787
lag 131,2.027546677040482,1.184843729574017,0.7808901206814123,0.5984102562080595,0.44384270956651584
lag 132,2.0810590404664153,1.1239487580568235,0.7673970885674715,0.5783555609803852,0.48312363680581655
lag 133,1.9176728398009895,1.0259344265404107,0.7856222650824211,0.5176401462677103,0.46703551612171446
lag 134,1.978307345231155,1.0458130608430651,0.7482090038385654,0.5769129804480072,0.4575858977105895
lag 135,2.1049134110105916,1.0169189813187136,0.6813705530620101,0.5262701073143574,0.4703167116635128
lag 136,1.9605256627472218,1.2047357368557081,0.7596082735406376,0.5924775490320544,0.4947572035628268
lag 137,1.935838976770077,1.090745396910508,0.7707435787999432,0.620368744699213,0.466042785227271
lag 138,1.9997712921249973,1.1712917010617425,0.7050699109586758,0.602535364157198,0.44882509686736416
lag 139,2.1951164981288565,1.1668860091453122,0.7902280492856828,0.5837078179564378,0.47367336970543467
lag 140,1.9230015027689586,1.1184165144530753,0.7676348361747869,0.5819832690307423,0.46082766923610474
lag 141,1.9806784210506654,1.0303740143007498,0.7642934825612604,0.5984174610077356,0.44602435874470364
lag 142,1.8622147144544765,1.0939547957670361,0.737525374564263,0.5744216003020836,0.43468855913253684
lag 143,1.84498436607513,1.044240673072074,0.7575963046993628,0.5209786795542061,0.4569924977186258
lag 144,1.986418021929758,1.131766596625223,0.7196841142427006,0.5817888967815612,0.4735757883516324
lag 145,1.8852668685884137,1.0761199448998962,0.7585848625717306,0.559646700942615,0.46526752180464087
lag 146,1.9694486516815077,1.1458350288926575,0.8047012055068087,0.5910888890573333,0.4689225903929414
lag 147,2.129485882782965,1.0483751257708565,0.7723104861171854,0.5381095755242391,0.47753255768436015
lag 148,2.0325940361488635,1.0487676350070714,0.734614203505758,0.610106311937279,0.46237435727495424
lag 149,1.8934392612415958,1.0156440429742215,0.6838587439427668,0.5753856432360479,0.4905883301827184
lag 150,2.0299849330459687,1.0006654409218123,0.7747125842734097,0.5521781734961316,0.4510036238731536
lag 151,1.9888118261083154,1.080900935020978,0.7097881894423793,0.5051919529713573,0.4381629314027155
lag 152,1.9819403280335879,1.1363775735226214,0.7441995487408096,0.5554409665578808,0.4992602740629498
lag 153,1.972655432300291,1.0580131889251392,0.7477637164966274,0.5739777107097135,0.43769613682527303
lag 154,1.9542695481443675,1.0560205039391124,0.7438945215721232,0.5734498604631547,0.46435548242197444
lag 155,1.9683402969322885,1.1225847203864365,0.7787047842102434,0.5725982481712057,0.43156920957660244
lag 156,1.8936466530366354,1.0396143729797696,0.7634381469864202,0.5276674948534541,0.44369817583380733
lag 157,1.996695658600492,1.0454063130057891,0.798971947854895,0.5666758135397242,0.433602085057891
lag 158,1.9502964697673888,1.0250318796784148,0.6705563296709143,0.6117269456133795,0.45280049155431457
lag 159,1.965468885483938,1.0691296652656228,0.6937041332174304,0.5487631698556401,0.452328204829709
lag 160,1.9151812847584035,1.0813170165800892,0.8003127160818346,0.5877906919494308,0.4738677252353151
lag 161,1.945185718121003,1.1346043780230737,0.7316352562230569,0.5738255254027473,0.4425654697331865
lag 162,1.9999251408333203,1.140991886220491,0.7017352447551984,0.5522583307086902,0.44327905196144546
lag 163,2.0542600173628363,1.0427722346201078,0.7138209928926001,0.5888196602995079,0.4354645054524106
lag 164,1.8497187002906392,1.0555589018941416,0.7421531721883794,0.5893839244430066,0.45566633737687445
lag 165,1.9528869052984454,1.0033034993811352,0.7428012256860669,0.5627002212954891,0.43757312931638515
