lag,gaussian,bernoulli,average
lag 0,491.6374999631571,144.78279507263997,318.2101475178985
lag 1,271.12190999282103,202.89979317564,237.01085158423052
lag 2,236.4500509372287,240.37779573295998,238.41392333509435
lag 3,239.42449281268372,235.47483984917335,237.44966633092855
lag 4,244.42793386173508,249.12401522017336,246.77597454095422
lag 5,248.92929745019632,243.62398818773335,246.27664281896483
lag 6,247.57874869110597,236.2083009780933,241.89352483459965
lag 7,241.57065477229065,238.39754733629334,239.984101054292
lag 8,235.19579434936867,233.13024022513332,234.163017287251
lag 9,243.32364525741983,238.10019611382668,240.71192068562326
lag 10,242.98516576393058,234.98611869422666,238.98564222907862
lag 11,241.83130428051663,242.34229114097334,242.08679771074497
lag 12,251.2038674349529,233.49123087019998,242.34754915257645
lag 13,230.594906404191,238.49966633697332,234.54728637058216
lag 14,235.7306290966855,245.91275445462665,240.82169177565606
lag 15,246.48108386852203,236.88796465126666,241.68452425989435
lag 16,243.87495556736908,235.35460650296,239.61478103516453
lag 17,239.6993597181892,240.52442351970666,240.11189161894794
lag 18,244.0063407267594,231.43235682975995,237.71934877825967
lag 19,238.13381640498437,238.7523995241733,238.44310796457884
lag 20,234.08734432536116,237.08138258323999,235.58436345430056
lag 21,237.96230376684883,238.96258142102664,238.46244259393774
lag 22,235.81314001741512,237.0537697504,236.43345488390756
lag 23,232.5404786513822,240.38617409950666,236.4633263754444
lag 24,238.5436737308342,240.20360381026666,239.37363877055043
lag 25,235.15190367531756,244.14490711702666,239.6484053961721
lag 26,235.4305623907544,246.5155919281067,240.97307715943055
lag 27,232.1436431531078,235.78538707306672,233.96451511308726
lag 28,237.16598450948885,234.22997281357334,235.6979786615311
lag 29,237.53927755087062,230.473917269,234.0065974099353
lag 30,237.77878192148972,231.41833041177333,234.5985561666315
lag 31,231.0603971074422,244.44833993142666,237.75436851943442
lag 32,243.32019644252378,234.0062217423333,238.66320909242853
lag 33,231.7576949799436,242.3061838826,237.0319394312718
lag 34,242.42734322875154,234.01183315633335,238.21958819254246
lag 35,227.91595604129458,241.57095566829335,234.74345585479398
lag 36,239.93499737495813,232.40827682319997,236.17163709907905
lag 37,238.45036027249768,238.7724906885067,238.6114254805022
lag 38,245.01029834507258,241.53581990086667,243.27305912296964
lag 39,238.15087816291097,236.67317838937333,237.41202827614217
lag 40,237.21936758327175,229.21870766769334,233.21903762548254
lag 41,234.40987609874801,234.35425110429333,234.38206360152066
lag 42,241.29261706332846,237.65088937716,239.47175322024424
lag 43,237.04181787463304,227.0491665406667,232.0454922076499
lag 44,239.6170291458508,234.09834222410663,236.85768568497872
lag 45,232.274889988544,235.79516456789332,234.03502727821865
lag 46,240.46245754754872,234.2800515839067,237.37125456572772
lag 47,232.28258588109347,241.29404987410663,236.78831787760004
lag 48,232.24856049639297,238.35653062077336,235.30254555858318
lag 49,237.7522989520382,231.88197689304002,234.8171379225391
lag 50,234.16160908074886,235.89154248649328,235.02657578362107
lag 51,232.6874359798241,238.08143734229333,235.38443666105871
lag 52,239.37022159573286,237.38566810826669,238.37794485199976
lag 53,236.1581941812088,235.3213998145733,235.73979699789106
lag 54,233.13443970497116,223.23586985850665,228.1851547817389
lag 55,241.3844946041981,230.42307796453338,235.90378628436574
lag 56,228.2047586664882,235.00558490566664,231.60517178607742
lag 57,238.2401489295472,227.39887077050668,232.81950985002692
lag 58,239.43451948159048,235.3040952288267,237.3693073552086
lag 59,228.36144027625824,229.23319510722663,228.79731769174242
lag 60,235.61385370575726,233.85711836110667,234.73548603343198
lag 61,232.07798825056966,239.7451824917733,235.9115853711715
lag 62,233.14445012172808,233.97272548590666,233.55858780381737
lag 63,232.68604964127434,229.6794965354933,231.18277308838384
lag 64,232.29908505447747,233.75918894893334,233.0291370017054
lag 65,239.5361444217978,233.78416780976,236.66015611577888
lag 66,234.71217980358256,240.09721711249335,237.40469845803796
lag 67,234.74659217022912,233.86603803544003,234.30631510283456
lag 68,235.83600834704998,229.63625766306663,232.73613300505832
lag 69,237.4843068035731,233.45569695624005,235.4700018799066
lag 70,231.16415090157707,224.31123396344,227.73769243250854
lag 71,229.8746295291071,228.31068018140004,229.09265485525356
lag 72,238.62652291550117,234.83085127897334,236.72868709723724
lag 73,224.0201628048977,226.31450199644001,225.16733240066884
lag 74,232.03773292950018,232.67968735256,232.3587101410301
lag 75,232.93214959657377,223.7720203168667,228.35208495672023
lag 76,236.92743462669642,240.1996109615067,238.56352279410157
lag 77,233.54886249130377,231.8339599814,232.69141123635188
lag 78,231.79312289243882,239.62755411530665,235.71033850387272
lag 79,239.18989077180203,231.5996805598667,235.39478566583438
lag 80,220.13583601757455,228.78256465706673,224.45920033732062
lag 81,228.18192530228742,231.25167521717336,229.7168002597304
lag 82,230.1648758848359,230.02220062036,230.09353825259797
lag 83,229.447387060042,230.39635398917335,229.92187052460767
lag 84,230.58346921010076,238.09958441816002,234.3415268141304
lag 85,229.12338527661336,238.1364711076667,233.62992819214003
lag 86,225.51691532995227,237.61491275933335,231.5659140446428
lag 87,231.7890203107636,225.54588570160004,228.6674530061818
lag 88,229.45057050577924,237.983750849,233.71716067738961
lag 89,227.8435759904684,228.63095638423997,228.23726618735418
lag 90,234.9116709015413,230.3829161293733,232.6472935154573
lag 91,235.22116505540134,235.82009753376002,235.52063129458068
lag 92,233.06972909896825,229.60314153673335,231.3364353178508
lag 93,229.3252296489994,230.39421165596,229.8597206524797
lag 94,231.02726768976618,230.5366806352933,230.78197416252974
lag 95,225.22321771331536,234.97403568113333,230.09862669722435
lag 96,236.34925205384533,234.28214155784,235.31569680584266
lag 97,225.94806055536273,226.8459563206267,226.3970084379947
lag 98,221.80867816881127,232.21738717264003,227.01303267072564
lag 99,227.76052408955843,227.8539471550667,227.80723562231256
lag 100,233.62755284133192,221.68615216282666,227.6568525020793
lag 101,235.0478958576689,231.56461593773338,233.30625589770113
lag 102,228.26610359922051,229.00385012190662,228.63497686056357
lag 103,232.86357701310325,230.07847651226666,231.47102676268497
lag 104,226.53379919368604,238.59991591493335,232.5668575543097
lag 105,225.83301943413386,227.42324921769332,226.6281343259136
lag 106,232.58136643336803,234.17152151176,233.376443972564
lag 107,230.06243988889022,223.65606664369335,226.85925326629177
lag 108,229.42933814148745,226.10632596493332,227.76783205321038
lag 109,221.9235753236391,230.96822640924,226.44590086643956
lag 110,228.45972003703346,230.28746371522666,229.37359187613006
lag 111,221.9389666188334,231.62232154350667,226.78064408117004
lag 112,218.35315128731617,224.84218162164,221.5976664544781
lag 113,233.43519773618942,227.2066606159733,230.32092917608136
lag 114,226.73175245524962,225.9967509606,226.3642517079248
lag 115,221.16111600748317,225.03016786636,223.0956419369216
lag 116,229.0955609114716,223.52517361462668,226.31036726304916
lag 117,229.34652535959214,226.14027411784,227.74339973871605
lag 118,219.53895355691716,226.67201085083997,223.10548220387858
lag 119,235.68473652220064,228.12707210049334,231.905904311347
lag 120,230.59361607314378,227.64432977842665,229.11897292578522
lag 121,228.2523111488265,218.96319466979998,223.60775290931323
lag 122,219.51453390723427,227.3012078019333,223.4078708545838
lag 123,227.49656124723816,236.56794016969334,232.03225070846577
lag 124,230.00956334470553,228.2791348468667,229.1443490957861
lag 125,226.58866763281767,221.32807308382667,223.95837035832216
lag 126,221.63892183504967,215.85366851382665,218.74629517443816
lag 127,242.2492346939995,217.20160031277328,229.72541750338638
lag 128,228.26217733245076,219.11722638770667,223.6897018600787
lag 129,230.1017045392692,221.13528854349335,225.61849654138126
lag 130,220.09254053084533,228.503243152,224.29789184142265
lag 131,221.68192647189238,235.63959061444,228.6607585431662
lag 132,220.8045416405417,229.52581626902665,225.16517895478415
lag 133,221.9318917919989,225.61358272110664,223.77273725655277
lag 134,229.5807576485228,220.53354085704,225.05714925278141
lag 135,229.70202869816757,220.97833212070668,225.34018040943712
lag 136,224.19256808160821,231.80975878542668,228.00116343351743
lag 137,225.6513756763904,227.77030388436,226.71083978037518
lag 138,220.3832699534725,232.49625267436,226.43976131391625
lag 139,231.42728557103788,216.86531444890664,224.14630000997226
lag 140,227.27807804068607,222.56888107803996,224.92347955936302
lag 141,228.4177546058626,226.48743614517335,227.45259537551797
lag 142,223.4504286204326,229.93958619804002,226.69500740923633
lag 143,226.37262358502866,222.13540627469337,224.254014929861
lag 144,220.32971706406252,230.81326364129336,225.57149035267793
lag 145,227.44519807230873,223.16841253937332,225.306805305841
lag 146,222.16802148326565,228.03739617317336,225.1027088282195
lag 147,222.93565582115716,227.28594862589335,225.11080222352524
lag 148,225.1361070463221,235.53434530289337,230.33522617460773
lag 149,232.33003050904227,215.66768866104,223.99885958504115
lag 150,231.71929396361898,228.76747307242667,230.24338351802282
lag 151,226.524685963497,224.16330170184,225.3439938326685
lag 152,224.88800615233535,220.22887109256004,222.55843862244768
lag 153,229.371200146072,226.33760326510668,227.85440170558934
lag 154,224.6264737611353,222.8977504133333,223.7621120872343
lag 155,231.91359013980528,220.71931518813335,226.3164526639693
lag 156,224.43987296739118,212.98791440682666,218.7138936871089
lag 157,214.4387275611769,227.99220206317332,221.21546481217513
lag 158,221.5850476746144,222.91140619836,222.24822693648719
lag 159,224.10088642803186,222.33144815750666,223.21616729276926
lag 160,218.47172643416553,222.52000780373336,220.49586711894943
lag 161,218.37617424833948,221.82215783446668,220.09916604140307
lag 162,219.39742722808055,225.07384029846662,222.2356337632736
lag 163,228.23448778332022,220.37731198450666,224.30589988391344
