lag,gaussian,bernoulli,average
lag 0,47.42621575324203,9.194881226900092,28.310548490071064
lag 1,30.704311380497053,26.747832098491795,28.726071739494422
lag 2,25.631228436930236,25.35204641690762,25.491637426918928
lag 3,24.286783254464126,23.41282150161103,23.84980237803758
lag 4,24.768576785128356,23.699914015313635,24.234245400220995
lag 5,24.276154006783766,24.029994450095348,24.153074228439557
lag 6,24.583329763491644,24.21033377293916,24.3968317682154
lag 7,23.660083031119967,23.392508989566252,23.52629601034311
lag 8,24.457206675102082,22.92673115019678,23.69196891264943
lag 9,23.945036573084504,24.280570367350492,24.1128034702175
lag 10,23.440477845630888,23.879645488289093,23.66006166695999
lag 11,24.029816036724597,23.34150699898356,23.68566151785408
lag 12,24.37746077160957,23.767614941187784,24.072537856398675
lag 13,24.292950074188692,24.217485877532372,24.255217975860532
lag 14,23.048495237651743,24.121730389809834,23.585112813730788
lag 15,23.673779822093646,24.001937279181586,23.837858550637616
lag 16,23.691002942105246,23.44286195867614,23.566932450390695
lag 17,24.064845471042915,24.092795405048285,24.0788204380456
lag 18,23.677612365730546,23.824653002136472,23.75113268393351
lag 19,24.163023178504606,24.140895242022896,24.15195921026375
lag 20,23.315495392597676,23.682745142895158,23.499120267746417
lag 21,22.735133008297463,22.809687560480196,22.77241028438883
lag 22,23.24060996970327,22.902095953015706,23.071352961359487
lag 23,24.450187692929237,24.635400832197757,24.542794262563497
lag 24,23.24514313868388,23.354421178621756,23.299782158652818
lag 25,24.533872623067886,24.842654139161283,24.688263381114584
lag 26,22.86530187784934,22.68702735086322,22.776164614356283
lag 27,23.32736273759668,24.066189106810477,23.696775922203578
lag 28,24.87274359074135,23.56345598659496,24.218099788668155
lag 29,22.920956765425665,23.881481182009093,23.401218973717377
lag 30,23.59563073553236,23.67506777942389,23.635349257478126
lag 31,23.661810643218036,24.032924932445646,23.847367787831843
lag 32,23.307832229519946,22.96303147526164,23.135431852390795
lag 33,22.9415618015771,22.735640252695156,22.83860102713613
lag 34,22.976423653702604,23.623056939342167,23.299740296522387
lag 35,23.994534771186085,22.704800546421673,23.34966765880388
