lag,gaussian,bernoulli,average
lag 0,146.99739211723755,81.77347248287167,114.38543230005462
lag 1,127.24467903150034,101.67193707717124,114.45830805433579
lag 2,105.57699550885158,96.2927415036459,100.93486850624873
lag 3,91.18612465550635,90.9036910604677,91.04490785798703
lag 4,84.32404557364887,82.7134724591848,83.51875901641684
lag 5,81.9526379527394,81.9254729649728,81.9390554588561
lag 6,79.4072268182285,77.7372459785342,78.57223639838135
lag 7,76.19827931315669,78.12601318158872,77.1621462473727
lag 8,74.90126818619693,75.53527433246299,75.21827125932995
lag 9,75.62366928007869,73.22223829802309,74.4229537890509
lag 10,73.3872508505364,74.73389823273706,74.06057454163673
lag 11,73.69105450964993,74.85598862267834,74.27352156616413
lag 12,73.85262494933929,78.5816132026569,76.21711907599808
lag 13,75.448880475779,73.47608026969071,74.46248037273486
lag 14,71.32937046283618,73.4102167936535,72.36979362824485
lag 15,74.57231210687132,74.19358839046518,74.38295024866825
lag 16,76.8324191593876,76.31679388635348,76.57460652287054
lag 17,74.2290631588512,73.51393583011748,73.87149949448434
lag 18,73.52225915780772,75.4125130269849,74.46738609239631
lag 19,72.5661183099457,71.33974361007056,71.95293096000813
lag 20,76.36908757753703,74.48503088169824,75.42705922961764
lag 21,73.9166461799042,73.52033660673791,73.71849139332106
lag 22,78.25528859926176,74.07732777808629,76.16630818867402
lag 23,72.3197416120586,74.81347480353887,73.56660820779874
lag 24,73.44630544678031,76.06809152958473,74.75719848818252
lag 25,71.61792564976773,71.42105756193371,71.51949160585072
lag 26,73.77271014129882,70.98211917497387,72.37741465813635
lag 27,76.98700624841385,73.58458537364473,75.28579581102929
lag 28,72.73786235381883,73.17264181316307,72.95525208349095
lag 29,72.91109874197548,68.76687835005909,70.83898854601728
lag 30,72.46231760161945,73.82336741561211,73.14284250861579
lag 31,71.29588571986343,72.85429145588427,72.07508858787385
lag 32,72.02047662659594,73.55517167632827,72.7878241514621
lag 33,71.56053279427275,73.03826732245292,72.29940005836283
lag 34,70.75813754381622,74.32916916780505,72.54365335581063
lag 35,71.58463044728161,71.829336374242,71.70698341076181
lag 36,72.16873787762628,72.03503586099359,72.10188686930994
lag 37,73.40138898848902,71.3097677819682,72.35557838522861
lag 38,72.61917692919488,75.9051814819198,74.26217920555735
lag 39,72.25500464229825,72.21980282051649,72.23740373140737
lag 40,73.1358228191754,72.96847576685842,73.05214929301691
lag 41,73.23756353935582,71.31804204827196,72.27780279381389
lag 42,69.36790579321914,72.23901511459205,70.80346045390559
lag 43,73.55018429589364,74.35066502393326,73.95042465991345
lag 44,72.87517289597797,73.92124720692979,73.39821005145387
lag 45,74.92477073524556,71.0552610134991,72.99001587437233
lag 46,72.69109031715627,72.94819165694813,72.8196409870522
lag 47,71.15434247808294,70.99961091435536,71.07697669621915
lag 48,70.3842296034217,71.56054359787576,70.97238660064873
lag 49,72.22244259094573,70.6658992790224,71.44417093498407
lag 50,73.5720949686314,71.98688824115142,72.7794916048914
lag 51,73.30652927563278,70.89072950830835,72.09862939197058
lag 52,73.26910025558466,70.43718058285776,71.8531404192212
lag 53,71.8329439242191,72.05323784623423,71.94309088522667
lag 54,71.52367801917576,70.70633934241532,71.11500868079554
lag 55,71.92513275592523,73.87881463145189,72.90197369368856
lag 56,73.13309751994295,70.92718397486055,72.03014074740176
lag 57,70.34517198288299,73.53359015545672,71.93938106916985
lag 58,74.01921519094621,71.44362743015844,72.73142131055232
lag 59,70.57489921262795,70.81437627517276,70.69463774390036
lag 60,72.59247149475928,72.27681091928072,72.43464120702001
lag 61,70.45915006619428,72.13109696425771,71.295123515226
lag 62,69.63098650584045,71.86399636813331,70.74749143698688
lag 63,72.46702082994065,67.38518909638097,69.92610496316081
lag 64,70.2976639954276,71.03957181273566,70.66861790408163
lag 65,70.96444972804109,71.21732985937085,71.09088979370597
lag 66,69.54030356709211,69.94879274303929,69.7445481550657
lag 67,70.77748170082654,69.90207959308509,70.33978064695582
lag 68,69.18399217073596,69.77607375018334,69.48003296045965
lag 69,70.30413731543473,71.34271091529509,70.8234241153649
lag 70,71.50657800533791,69.30907508323591,70.4078265442869
lag 71,70.70069009485606,72.25917428598862,71.47993219042235
lag 72,68.75654565077193,71.68267814235739,70.21961189656466
lag 73,70.43179460452365,68.24291371936164,69.33735416194264
lag 74,70.46564257506353,68.66352903046416,69.56458580276384
lag 75,71.39792343129912,70.26544697287454,70.83168520208683
lag 76,69.75164678092898,69.93318813407666,69.84241745750282
lag 77,69.8162004323024,70.23437305483574,70.02528674356907
lag 78,71.29992222989532,70.98775469978348,71.1438384648394
lag 79,71.99609268055195,66.6902255557562,69.34315911815408
lag 80,69.26751355641717,69.61439880815415,69.44095618228566
lag 81,71.93380695271347,69.50407399926529,70.71894047598937
lag 82,70.68732352697495,67.97070126687302,69.32901239692399
lag 83,71.05445738184966,70.07696638506744,70.56571188345855
lag 84,71.67487300916876,68.06548828134376,69.87018064525626
lag 85,69.50106299407435,69.68942541279426,69.5952442034343
lag 86,70.17978140774828,67.93347451537147,69.05662796155988
lag 87,67.41209815757841,68.72977656322458,68.0709373604015
lag 88,69.67140381335616,69.99929697777984,69.835350395568
lag 89,70.82449469413436,70.24185610834444,70.53317540123939
lag 90,67.78110321129756,68.74104310284851,68.26107315707304
lag 91,70.6836393839088,68.84761801852797,69.76562870121839
lag 92,70.68792205374507,69.94489760450593,70.31640982912549
lag 93,71.0067736342892,69.75332234090456,70.38004798759688
lag 94,67.75877815546735,72.58259132884294,70.17068474215515
lag 95,68.9694760909145,67.7869001127144,68.37818810181446
lag 96,68.73371909932685,68.86325742447814,68.79848826190249
lag 97,69.98760055016969,71.16180694817785,70.57470374917378
lag 98,68.66032176431278,69.6309785597809,69.14565016204685
lag 99,71.08665707321722,70.87811906923628,70.98238807122675
lag 100,70.86875428849623,68.22453858503744,69.54664643676684
lag 101,65.76346408424286,68.19661455500048,66.98003931962167
lag 102,68.10645521371227,68.90827657222083,68.50736589296655
lag 103,68.55296617216398,70.75363486508161,69.65330051862279
lag 104,68.89279160351592,68.68162749843574,68.78720955097583
lag 105,65.61176770395788,67.5038049909629,66.5577863474604
lag 106,68.24367203409676,65.73562655451515,66.98964929430596
lag 107,66.05013055211722,68.46391060948626,67.25702058080174
lag 108,67.65067237685139,69.09002406014673,68.37034821849906
lag 109,68.96175360031796,67.5238622190037,68.24280790966083
lag 110,67.32963940889417,69.55829539556058,68.44396740222737
lag 111,68.15804546594765,68.3008505301795,68.22944799806358
lag 112,67.43598889635436,70.10412104520982,68.7700549707821
lag 113,67.92334961887016,66.88135159980058,67.40235060933537
lag 114,69.79910734618092,67.18950902079658,68.49430818348876
lag 115,67.88211051063941,68.26815778530562,68.0751341479725
lag 116,68.64063610810146,69.95760985962303,69.29912298386225
lag 117,67.43715470535889,70.90818464367936,69.17266967451913
lag 118,66.1394384519413,68.6043052130281,67.3718718324847
lag 119,69.67329959995985,66.63305384447605,68.15317672221795
lag 120,67.69562031157109,66.37482404684488,67.03522217920798
lag 121,69.01365628150546,68.59638730185412,68.80502179167979
lag 122,65.4109393625059,65.0919042872581,65.251421824882
lag 123,70.3975532121,65.29904823583283,67.84830072396642
lag 124,66.59975118469313,65.02110630304321,65.81042874386817
lag 125,68.43519353059826,68.40008974182167,68.41764163620996
lag 126,69.18475264001559,66.791211311939,67.98798197597729
lag 127,67.14642956024883,68.22282939258166,67.68462947641524
lag 128,66.01869841401268,67.19431428165935,66.60650634783602
lag 129,65.25076782291578,67.56872749144517,66.40974765718047
lag 130,66.96489255454658,66.21096141555,66.58792698504828
lag 131,67.67270429324057,66.0927462545653,66.88272527390293
lag 132,67.1184002045962,65.41527584637058,66.2668380254834
lag 133,66.81040736349885,70.00550013858734,68.4079537510431
lag 134,66.78471037343644,68.37058183247561,67.57764610295602
lag 135,65.98422692239082,67.73345321565367,66.85884006902225
lag 136,63.65458911781802,66.1139611397476,64.8842751287828
lag 137,67.12437101701198,66.82313142463903,66.9737512208255
lag 138,65.43308584423843,66.95052736619242,66.19180660521542
lag 139,66.15985694337007,66.62866128626267,66.39425911481638
lag 140,66.49152683824339,67.82632070214547,67.15892377019443
lag 141,66.78808078720436,66.4461074058515,66.61709409652794
lag 142,63.31702177931095,67.07719959281371,65.19711068606233
lag 143,66.37448488911738,67.6361091810345,67.00529703507594
lag 144,69.69793231954324,68.97117674715899,69.33455453335111
lag 145,67.0557566523144,66.35074101017463,66.70324883124451
lag 146,63.72586304312345,66.68968242407976,65.2077727336016
lag 147,65.31371527012013,65.91201713507135,65.61286620259574
lag 148,66.26292554714823,64.09015547951957,65.17654051333389
