lag,gaussian,bernoulli,average
lag 0,147.08769460040708,81.48835925791298,114.28802692916003
lag 1,126.0705717921486,101.01926536863871,113.54491858039366
lag 2,108.14837769529478,100.19334856617606,104.17086313073543
lag 3,96.30518792423342,89.40885850311062,92.85702321367202
lag 4,84.73191155276729,86.69134397719277,85.71162776498002
lag 5,79.57452416272129,77.9217316976063,78.7481279301638
lag 6,81.28288592629988,75.96715306376475,78.62501949503232
lag 7,79.10428073435028,76.20183963134009,77.6530601828452
lag 8,75.91869912692543,74.23199195260078,75.0753455397631
lag 9,73.99121685720722,78.85027656869872,76.42074671295296
lag 10,73.46073117956048,74.3699958461763,73.9153635128684
lag 11,75.2703209994826,78.18785898934614,76.72908999441438
lag 12,71.83151552778706,73.25001301423892,72.54076427101299
lag 13,74.40281071387021,76.47735316608426,75.44008193997723
lag 14,75.15877497574692,73.61946464398841,74.38911980986767
lag 15,76.02393250164266,75.63651457982246,75.83022354073256
lag 16,71.43000520563719,74.68873748554789,73.05937134559254
lag 17,73.80973202509006,75.53020647619303,74.66996925064154
lag 18,73.91130414741244,73.19268551599788,73.55199483170516
lag 19,73.68825294852165,73.3214649709544,73.50485895973802
lag 20,75.61566468874142,73.87581975950876,74.74574222412508
lag 21,76.71319602243314,73.62282773297822,75.16801187770568
lag 22,74.83258206238224,76.01566913104777,75.42412559671502
lag 23,75.77515685585898,74.85522792036647,75.31519238811273
lag 24,71.86086773408485,74.55414312555304,73.20750542981895
lag 25,75.23846849923142,73.09987581975459,74.169172159493
lag 26,70.8438218124062,72.26655239070269,71.55518710155445
lag 27,72.56538791548209,71.52943182181825,72.04740986865016
lag 28,74.00975139869804,76.16253487976427,75.08614313923115
lag 29,74.8300832620673,75.13210210414793,74.98109268310762
lag 30,74.641215543781,72.12102553916529,73.38112054147314
lag 31,73.714783535284,75.217424585584,74.46610406043399
lag 32,74.74513347696508,74.51108927744049,74.62811137720279
lag 33,71.81880405903539,69.77905879458456,70.79893142680997
lag 34,70.7485024550688,72.69067968766421,71.71959107136651
lag 35,69.70278757331857,73.92314023722643,71.81296390527251
lag 36,72.05328774123389,74.92980570383995,73.49154672253692
lag 37,73.82851819904621,76.332592905784,75.0805555524151
lag 38,75.57808451467808,73.30495303181165,74.44151877324487
lag 39,73.22636405310418,72.83996365212286,73.03316385261351
lag 40,71.11512299784172,73.98526169677987,72.5501923473108
lag 41,74.31735507309781,73.87215115218929,74.09475311264356
lag 42,71.79708139684688,73.58957976475749,72.69333058080218
lag 43,71.92138600155768,73.9423690240425,72.9318775128001
lag 44,74.22336254487806,73.11214800158481,73.66775527323144
lag 45,72.44540319355454,72.76098263478778,72.60319291417116
lag 46,72.7418351945277,71.84724948661808,72.29454234057289
lag 47,72.88147598914924,70.49670903564042,71.68909251239484
lag 48,71.21263000494802,70.91352100263734,71.06307550379267
lag 49,70.95659174204832,70.20107575872944,70.57883375038888
lag 50,71.38220268298555,70.71933269998684,71.05076769148619
lag 51,71.86460138930805,69.94187212435013,70.90323675682909
lag 52,71.93936322517081,68.17027579088634,70.05481950802857
lag 53,71.64267149590863,72.17086862823238,71.9067700620705
lag 54,69.16395070911139,69.98209377104541,69.5730222400784
lag 55,72.4645882131863,72.33619910181153,72.40039365749891
lag 56,73.09882613231258,73.38979653443474,73.24431133337366
lag 57,73.42626701787817,70.1308949392704,71.7785809785743
lag 58,71.30663941606919,71.89187495565814,71.59925718586366
lag 59,69.7157052887101,70.53434766921,70.12502647896005
lag 60,71.41351918033449,71.1617987469997,71.2876589636671
lag 61,69.52219248548451,70.45171327882888,69.98695288215669
lag 62,69.88385404008807,70.87896843118918,70.38141123563862
lag 63,71.6384224061679,68.44191729498262,70.04016985057527
lag 64,69.94820006402044,70.34178751108325,70.14499378755184
lag 65,70.23456103601907,66.0193247070658,68.12694287154244
lag 66,71.6777858241326,72.79796779518139,72.237876809657
lag 67,71.81836437257189,69.47816095720393,70.64826266488791
lag 68,70.96740732676292,70.82672110201031,70.89706421438662
lag 69,71.66566511796502,72.98852064600547,72.32709288198524
lag 70,68.70750078368258,70.40935136257886,69.55842607313072
lag 71,67.9126196963656,69.09075772253998,68.5016887094528
lag 72,69.60361849602442,69.27033177865168,69.43697513733805
lag 73,69.37054253952081,71.87041350473372,70.62047802212726
lag 74,70.16483371749437,71.70122508117365,70.933029399334
lag 75,70.4689944696012,69.87915147771596,70.17407297365858
lag 76,71.7619334384695,68.84326953247202,70.30260148547076
lag 77,70.88109790404448,69.68885778375267,70.28497784389857
lag 78,68.46717918898071,68.93522339107486,68.70120129002778
lag 79,70.47730303632055,69.02282635992196,69.75006469812126
lag 80,73.54423961512603,68.88184655595828,71.21304308554215
lag 81,68.56163911885633,71.04243020007931,69.80203465946782
lag 82,70.46594752279327,70.4809352751407,70.47344139896698
lag 83,70.26144748337397,70.18463178259645,70.2230396329852
lag 84,70.59345535914302,69.65152940618364,70.12249238266332
lag 85,68.41050633547991,69.32578605433403,68.86814619490697
lag 86,70.56439738987032,71.67991342513747,71.1221554075039
lag 87,70.57759761420957,69.38164883205778,69.97962322313367
lag 88,69.42633066713559,67.47779629624242,68.45206348168901
lag 89,72.36567753851622,70.164058418868,71.26486797869211
lag 90,68.64591656691255,71.27947124749326,69.9626939072029
lag 91,68.3891698869436,69.87835976851572,69.13376482772966
lag 92,72.00014239520999,69.27306680755974,70.63660460138487
lag 93,67.46623109713225,71.14851427875237,69.30737268794232
lag 94,69.50548246958509,70.57187979451513,70.0386811320501
lag 95,69.59635011510211,68.8830648755044,69.23970749530326
lag 96,71.6456866204493,67.04016392166245,69.34292527105588
lag 97,68.65275200397987,68.44117975267622,68.54696587832805
lag 98,69.42110730373983,68.52403475034875,68.9725710270443
lag 99,68.72190483841435,67.01691472812243,67.8694097832684
lag 100,67.507791264428,69.84949458458462,68.6786429245063
lag 101,69.31475957026497,68.01801953330262,68.6663895517838
lag 102,68.1316891699012,70.04265505090635,69.08717211040377
lag 103,70.00993942348855,65.0522766143383,67.53110801891341
lag 104,68.40997435970776,70.76850292383696,69.58923864177237
lag 105,68.57835255131039,68.65066532159824,68.61450893645431
lag 106,69.22578809943668,69.92766153537987,69.57672481740828
lag 107,70.90865013169345,65.97375625145092,68.44120319157219
lag 108,68.1387250011148,68.86606701375493,68.50239600743487
lag 109,69.31766804142981,69.97139922510162,69.64453363326572
lag 110,70.37682530749389,69.91849795780074,70.14766163264731
lag 111,66.67751184077648,66.72017703319193,66.6988444369842
lag 112,69.93463795967514,67.66294078652594,68.79878937310053
lag 113,67.34930667908412,69.59179044362156,68.47054856135284
lag 114,68.37015389695769,67.12091606052618,67.74553497874194
lag 115,69.2752525738377,67.49126811219064,68.38326034301417
lag 116,66.94947872036944,67.93441535060414,67.44194703548679
lag 117,67.55568355633744,66.56886569541295,67.0622746258752
lag 118,66.32503191848703,68.92795868191456,67.62649530020079
lag 119,68.61234925831323,68.16976129890365,68.39105527860843
lag 120,68.593022815459,67.52659256826826,68.05980769186363
lag 121,67.76809683387208,66.75722288492551,67.2626598593988
lag 122,66.79307609096789,67.40678284708052,67.0999294690242
lag 123,67.81223965953323,67.69532215297905,67.75378090625614
lag 124,64.77585347251116,68.85745676330825,66.8166551179097
lag 125,65.51564593082739,65.81724775629198,65.66644684355968
lag 126,66.84964467275785,66.389427786785,66.61953622977143
lag 127,68.009736492739,65.93511208339972,66.97242428806936
lag 128,66.05074764026423,67.06239910304042,66.55657337165232
lag 129,65.22557520431901,68.06188598331448,66.64373059381674
lag 130,66.55370762601116,66.61631148600932,66.58500955601025
lag 131,69.29527895895028,66.22677130784322,67.76102513339674
lag 132,65.8906724673152,66.61896434965306,66.25481840848413
lag 133,67.37395033467969,65.64377122326967,66.50886077897468
lag 134,65.92704092806726,68.12287390816986,67.02495741811856
lag 135,70.3147195044628,65.47493309757286,67.89482630101783
lag 136,64.87320635928519,66.24515049297788,65.55917842613154
lag 137,67.45717590009403,66.63408845407125,67.04563217708264
lag 138,66.11332738812587,66.51991088700478,66.31661913756533
lag 139,67.82034696619667,66.14880282088988,66.98457489354328
lag 140,66.2475336990539,67.39883804032016,66.82318586968702
lag 141,68.70051353417657,65.60167227998497,67.15109290708077
lag 142,63.48929790540963,65.15721344250072,64.32325567395517
lag 143,67.96714730927852,65.77362388766394,66.87038559847123
lag 144,64.37852146961488,63.6458648659938,64.01219316780434
lag 145,65.89595445845075,66.29007074611589,66.09301260228332
lag 146,64.16408955756721,63.10931952547146,63.636704541519336
lag 147,65.74155030033091,69.7459668381176,67.74375856922425
lag 148,67.91200827033626,65.67619669998639,66.79410248516132
lag 149,67.23464676830082,66.77656863309072,67.00560770069578
lag 150,66.21818992238907,66.3380160652069,66.27810299379799
lag 151,68.60478397924524,66.2862890785038,67.44553652887453
lag 152,68.18224615306455,68.80489702782354,68.49357159044405
lag 153,66.10505830747934,64.04010444768436,65.07258137758186
lag 154,66.118531225636,64.8373485050563,65.47793986534614
lag 155,66.1827181354648,66.56409887139127,66.37340850342804
lag 156,66.76150947529098,66.32357863853446,66.54254405691272
lag 157,64.14221430744485,64.7439710737866,64.44309269061571
lag 158,65.40412698320394,62.380898840006765,63.89251291160535
lag 159,65.29447049371662,66.61754374737357,65.9560071205451
lag 160,63.38018769616065,64.87868294387872,64.12943532001968
lag 161,65.22847018146403,63.364241818478185,64.29635599997111
lag 162,63.74051776192488,65.0690577266989,64.40478774431189
lag 163,64.34224558788533,65.58052665384241,64.96138612086386
lag 164,64.28245779567968,62.64322387268527,63.46284083418247
lag 165,62.60054236129597,65.50592456641427,64.05323346385512
lag 166,64.1713247761521,64.68609459147817,64.42870968381513
lag 167,65.25907034724428,64.97714193640898,65.11810614182663
lag 168,65.7602832683937,68.4419783677508,67.10113081807225
lag 169,63.63791998888182,65.860941074037,64.74943053145941
lag 170,62.999214115389215,64.27148507430653,63.63534959484787
lag 171,65.69449391929543,64.31458389009012,65.00453890469277
lag 172,63.72701652106836,66.23240744331748,64.97971198219292
lag 173,63.363200198443245,65.45982865181874,64.41151442513099
lag 174,66.35874233368365,63.863748548249305,65.11124544096648
lag 175,63.8340577229787,62.640949597033774,63.23750366000624
lag 176,65.0305898076743,63.94985761855897,64.49022371311663
lag 177,61.44840184402449,64.76698141718632,63.1076916306054
lag 178,63.983110335688934,64.1569771040395,64.07004371986422
lag 179,66.08015381174434,65.05456817932338,65.56736099553386
lag 180,65.26284868831314,64.5269623666401,64.89490552747662
lag 181,61.98566008534592,65.5977736049147,63.79171684513031
lag 182,62.76248536688282,64.62315616249533,63.692820764689074
lag 183,62.00903737634377,65.14652062521769,63.57777900078073
lag 184,63.364971275737744,63.09884100297137,63.23190613935456
lag 185,62.9160122000064,63.38866615524033,63.15233917762336
lag 186,65.22480655253555,62.81392481893545,64.0193656857355
lag 187,62.951947415334914,65.08663961975306,64.01929351754399
lag 188,63.73789695261426,66.15563052463114,64.94676373862269
lag 189,62.1850975395284,63.62034962413854,62.90272358183347
lag 190,65.66446220390775,64.29898931613847,64.98172576002311
lag 191,64.44396832582463,61.88204044964114,63.16300438773288
lag 192,65.46829817558155,61.241275624551335,63.35478690006644
lag 193,63.07010632636676,64.30182813280653,63.68596722958665
lag 194,64.89909134070533,63.43157328364371,64.16533231217451
lag 195,60.49487751192318,62.244373218311026,61.3696253651171
lag 196,62.762827585100844,62.235125809772,62.49897669743642
lag 197,61.843925340214454,62.75787677596961,62.30090105809204
lag 198,62.22629925029379,62.10085375742036,62.16357650385707
lag 199,63.56080531522032,63.059704346877126,63.310254831048724
lag 200,63.63332629753508,62.87418332819109,63.25375481286308
lag 201,61.75988478007364,63.05872608873811,62.40930543440588
lag 202,61.52776430756527,63.00566695086657,62.26671562921592
lag 203,61.77842777137753,61.45321798766221,61.61582287951987
lag 204,63.51577334782617,64.5186000713131,64.01718670956964
lag 205,64.07644467491961,62.32862731720785,63.20253599606373
lag 206,61.288383768669405,64.45152656690146,62.869955167785434
lag 207,62.075369094160386,61.592359037981886,61.833864066071136
lag 208,58.47231893525488,63.98055335345189,61.226436144353386
lag 209,60.81135417574885,63.11377241083867,61.96256329329376
lag 210,64.30828330545394,62.79651189698891,63.55239760122143
lag 211,63.037757985847655,62.799136544170906,62.91844726500928
lag 212,62.06094220145174,61.415750983308314,61.738346592380026
lag 213,64.0996971412023,59.71100223232894,61.90534968676562
lag 214,61.22466367612183,65.08544915094197,63.155056413531895
lag 215,62.554418366944766,61.11872865515331,61.83657351104904
lag 216,61.257923158863676,62.03112031981861,61.644521739341144
lag 217,63.11178815235023,61.01783574169607,62.064811947023145
lag 218,62.41951964372481,63.23732759805637,62.82842362089059
lag 219,61.25790330591896,61.31673154088243,61.287317423400694
lag 220,62.12843539582142,59.67815904109278,60.9032972184571
lag 221,61.51626115532092,61.73412212579922,61.62519164056007
lag 222,58.60241477373957,61.535094864023606,60.06875481888159
lag 223,63.77974204942925,61.48284338645692,62.63129271794308
lag 224,59.997737670840976,62.6495093499553,61.323623510398136
lag 225,60.55091503336198,60.41511992677279,60.48301748006739
lag 226,62.29328870310294,60.24472937882113,61.26900904096203
lag 227,61.27574506221623,60.834115208911385,61.05493013556381
lag 228,61.0064485544127,62.510341512572516,61.758395033492604
lag 229,60.80046383956254,60.00321014845201,60.401836994007276
lag 230,63.08372880911149,62.48043959456394,62.78208420183772
lag 231,60.02934349797685,62.155532997895634,61.092438247936244
lag 232,63.31333345014639,60.867900651002046,62.09061705057422
lag 233,60.70321684102761,60.55648762128715,60.62985223115738
lag 234,60.931958792570654,61.33589249023282,61.13392564140174
lag 235,60.56681766811012,59.632152839200856,60.09948525365549
lag 236,61.00353554753947,62.90644620552185,61.95499087653066
lag 237,60.24196377830865,61.95650941772917,61.09923659801891
lag 238,59.47007384842347,62.56298142863991,61.016527638531684
lag 239,61.26770061698712,59.78554350947096,60.52662206322904
lag 240,61.884311934886796,58.750187216954146,60.31724957592047
lag 241,61.04363664571665,60.16692153163653,60.605279088676596
lag 242,60.11105598896993,58.89797873069936,59.504517359834644
lag 243,59.68095307014977,60.925147206139215,60.30305013814449
lag 244,61.05447918431719,61.1431681699738,61.09882367714549
lag 245,60.85300364918636,59.60772569456539,60.230364671875876
lag 246,59.0668236208959,62.24547994922136,60.65615178505863
lag 247,61.13177281196933,59.951361079039586,60.54156694550446
lag 248,62.82109249133541,60.24552664644273,61.53330956888907
lag 249,59.91677093206006,60.9362655555909,60.426518243825484
lag 250,60.621662854595,58.78106580169147,59.701364328143235
lag 251,60.83196253220751,61.18895679275606,61.010459662481786
lag 252,58.39988750644685,60.674761537718624,59.53732452208274
lag 253,60.96749114169743,60.15086898337621,60.559180062536825
lag 254,59.41177259213455,59.843373520193225,59.62757305616388
lag 255,59.13136952769446,61.680494695197524,60.40593211144599
lag 256,60.11672380674846,61.41098662652846,60.76385521663846
lag 257,60.17431637745756,61.5818068567274,60.87806161709248
lag 258,60.954676135029146,59.794484182392736,60.37458015871094
lag 259,59.661074771320344,58.87844581808847,59.26976029470441
lag 260,60.805684528440096,59.84645820167613,60.32607136505811
lag 261,61.15382368917268,59.843190110288425,60.49850689973056
lag 262,59.43426495319238,60.56436695856587,59.999315955879126
lag 263,60.37916010761158,58.39927182753636,59.389215967573975
lag 264,60.163995110814554,56.848354770096385,58.506174940455466
lag 265,61.92230434554548,60.68252439456651,61.30241437005599
lag 266,61.61554139485844,59.36816550460533,60.491853449731884
lag 267,58.06320876688183,58.080807271467265,58.07200801917455
lag 268,58.46752072943027,59.48070284306867,58.974111786249466
lag 269,60.78138228717611,57.718264089696525,59.24982318843632
lag 270,56.93300869932261,58.19029256527553,57.56165063229907
lag 271,59.44403666030202,59.87192437043384,59.657980515367925
lag 272,62.217547663619406,61.03487939092241,61.626213527270906
lag 273,57.708854499290624,57.26739500031847,57.48812474980455
lag 274,59.127981552010326,59.64289824088195,59.38543989644614
lag 275,58.28025014634078,57.658583207697276,57.96941667701903
lag 276,58.92276862144176,60.02626058066916,59.47451460105546
lag 277,58.99214114490462,57.91243166671912,58.452286405811876
lag 278,61.691030717768754,56.49619264886447,59.09361168331661
lag 279,57.74433458837243,58.39093704030952,58.067635814340974
lag 280,59.90563333188925,57.40909141678448,58.65736237433686
lag 281,59.66515568983964,58.329653158944815,58.99740442439223
lag 282,59.89947302890681,57.81588217485237,58.85767760187959
lag 283,59.47560457932991,59.00884848779317,59.24222653356154
lag 284,58.762420468090376,58.33470728232512,58.54856387520775
lag 285,58.2809019347083,57.32129321293829,57.8010975738233
lag 286,59.20857327790088,58.09950355853175,58.65403841821632
lag 287,58.62838821426756,59.55539171621224,59.0918899652399
lag 288,57.65772129100608,59.30955769027637,58.483639490641224
lag 289,60.03593262304531,57.290087256557875,58.6630099398016
lag 290,60.75640540345457,58.50803663499012,59.63222101922234
lag 291,58.021023493831514,59.25482564950123,58.637924571666375
lag 292,59.44719227178035,56.50916368886776,57.978177980324055
lag 293,57.51586074665131,56.98059433134866,57.248227538999984
lag 294,59.243333270491576,58.6032909574349,58.923312113963235
lag 295,58.981494331229,57.114941447399154,58.048217889314074
lag 296,56.94795124012036,58.34872428567801,57.64833776289919
lag 297,57.69408102458175,56.71182773334724,57.20295437896449
lag 298,57.56071200701916,59.3386140130385,58.44966301002883
lag 299,58.47291163281595,58.508914156730384,58.49091289477317
lag 300,58.726812657990784,56.31704891503129,57.521930786511035
