lag,gaussian,bernoulli,average
lag 0,491.6375,144.7827951,
lag 1,271.12191,202.8997932,
lag 2,236.4500509,240.3777957,238.4139233
lag 3,239.4244928,235.4748398,237.4496663
lag 4,244.4279339,249.1240152,246.7759745
lag 5,248.9292975,243.6239882,246.2766428
lag 6,247.5787487,236.208301,241.8935248
lag 7,241.5706548,238.3975473,239.9841011
lag 8,235.1957943,233.1302402,234.1630173
lag 9,243.3236453,238.1001961,240.7119207
lag 10,242.9851658,234.9861187,238.9856422
lag 11,241.8313043,242.3422911,242.0867977
lag 12,251.2038674,233.4912309,242.3475492
lag 13,230.5949064,238.4996663,234.5472864
lag 14,235.7306291,245.9127545,240.8216918
lag 15,246.4810839,236.8879647,241.6845243
lag 16,243.8749556,235.3546065,239.614781
lag 17,239.6993597,240.5244235,240.1118916
lag 18,244.0063407,231.4323568,237.7193488
lag 19,238.1338164,238.7523995,238.443108
lag 20,234.0873443,237.0813826,235.5843635
lag 21,237.9623038,238.9625814,238.4624426
lag 22,235.81314,237.0537698,236.4334549
lag 23,232.5404787,240.3861741,236.4633264
lag 24,238.5436737,240.2036038,239.3736388
lag 25,235.1519037,244.1449071,239.6484054
lag 26,235.4305624,246.5155919,240.9730772
lag 27,232.1436432,235.7853871,233.9645151
lag 28,237.1659845,234.2299728,235.6979787
lag 29,237.5392776,230.4739173,234.0065974
lag 30,237.7787819,231.4183304,234.5985562
lag 31,231.0603971,244.4483399,237.7543685
lag 32,243.3201964,234.0062217,238.6632091
lag 33,231.757695,242.3061839,237.0319394
lag 34,242.4273432,234.0118332,238.2195882
lag 35,227.915956,241.5709557,234.7434559
lag 36,239.9349974,232.4082768,236.1716371
lag 37,238.4503603,238.7724907,238.6114255
lag 38,245.0102983,241.5358199,243.2730591
lag 39,238.1508782,236.6731784,237.4120283
lag 40,237.2193676,229.2187077,233.2190376
lag 41,234.4098761,234.3542511,234.3820636
lag 42,241.2926171,237.6508894,239.4717532
lag 43,237.0418179,227.0491665,232.0454922
lag 44,239.6170291,234.0983422,236.8576857
lag 45,232.27489,235.7951646,234.0350273
lag 46,240.4624575,234.2800516,237.3712546
lag 47,232.2825859,241.2940499,236.7883179
lag 48,232.2485605,238.3565306,235.3025456
lag 49,237.752299,231.8819769,234.8171379
lag 50,234.1616091,235.8915425,235.0265758
lag 51,232.687436,238.0814373,235.3844367
lag 52,239.3702216,237.3856681,238.3779449
lag 53,236.1581942,235.3213998,235.739797
lag 54,233.1344397,223.2358699,228.1851548
lag 55,241.3844946,230.423078,235.9037863
lag 56,228.2047587,235.0055849,231.6051718
lag 57,238.2401489,227.3988708,232.8195099
lag 58,239.4345195,235.3040952,237.3693074
lag 59,228.3614403,229.2331951,228.7973177
lag 60,235.6138537,233.8571184,234.735486
lag 61,232.0779883,239.7451825,235.9115854
lag 62,233.1444501,233.9727255,233.5585878
lag 63,232.6860496,229.6794965,231.1827731
lag 64,232.2990851,233.7591889,233.029137
lag 65,239.5361444,233.7841678,236.6601561
lag 66,234.7121798,240.0972171,237.4046985
lag 67,234.7465922,233.866038,234.3063151
lag 68,235.8360083,229.6362577,232.736133
lag 69,237.4843068,233.455697,235.4700019
lag 70,231.1641509,224.311234,227.7376924
lag 71,229.8746295,228.3106802,229.0926549
lag 72,238.6265229,234.8308513,236.7286871
lag 73,224.0201628,226.314502,225.1673324
lag 74,232.0377329,232.6796874,232.3587101
lag 75,232.9321496,223.7720203,228.352085
