lag,gaussian,bernoulli,average
lag 0,4693.399060768311,1552.9315770964681,3123.1653189323897
lag 1,1015.4150155141749,923.2244829392191,969.319749226697
lag 2,2538.9358100868935,1981.2073731096054,2260.0715915982496
lag 3,2445.6366705216287,2313.5780517321464,2379.6073611268876
lag 4,2395.2986991579846,2349.7372766660023,2372.5179879119933
lag 5,2342.2723628273807,2446.587004870124,2394.4296838487526
lag 6,2359.6103476809353,2411.0352944796405,2385.322821080288
lag 7,2272.841437850845,2310.455595288993,2291.648516569919
lag 8,2298.9781244326473,2341.051274555899,2320.0146994942734
lag 9,2356.1400662546293,2424.8354156031064,2390.487740928868
lag 10,2320.9268365267385,2294.734787116199,2307.830811821469
lag 11,2381.410855694017,2344.2959879829245,2362.8534218384707
lag 12,2441.362835750143,2336.637540860066,2389.0001883051045
lag 13,2400.671827210977,2376.6109892931468,2388.641408252062
lag 14,2346.224746065017,2364.7072743002163,2355.4660101826166
lag 15,2320.375723699433,2329.463194553896,2324.919459126664
lag 16,2332.540338486823,2421.737111075163,2377.138724780993
lag 17,2312.7361778337754,2399.9557573342695,2356.345967584022
lag 18,2351.301123783366,2417.0961574633266,2384.1986406233464
lag 19,2377.364476245817,2302.8540627428674,2340.1092694943422
lag 20,2342.9935152524945,2286.150777005395,2314.572146128945
lag 21,2322.7417034827827,2289.9125641918145,2306.327133837299
lag 22,2480.985570881817,2354.2948160887386,2417.6401934852775
lag 23,2296.118557483093,2419.017809688573,2357.568183585833
lag 24,2301.3558925769694,2346.3693101100325,2323.862601343501
lag 25,2364.3198233181856,2327.357681667191,2345.8387524926884
lag 26,2380.569425804007,2346.4852818527042,2363.5273538283554
lag 27,2375.183412803791,2221.996274419255,2298.589843611523
lag 28,2259.926954322812,2300.1348319732924,2280.030893148052
lag 29,2261.2101067280596,2340.1316363870237,2300.6708715575414
lag 30,2351.169675833019,2290.622126717558,2320.8959012752885
lag 31,2296.750627488359,2365.965478349051,2331.3580529187047
lag 32,2259.0192928870856,2339.2225260376335,2299.1209094623596
lag 33,2310.5625757102766,2288.3311546646823,2299.4468651874795
lag 34,2423.5859120582327,2387.007816835221,2405.296864446727
lag 35,2270.9417628066653,2355.6426862209564,2313.2922245138107
lag 36,2303.134686564659,2294.423219248919,2298.778952906789
lag 37,2260.1255572169644,2300.4569836820897,2280.291270449527
lag 38,2324.0296103673563,2367.5922601418224,2345.8109352545894
lag 39,2289.702527808534,2314.6255202159737,2302.164024012254
lag 40,2359.8085521754906,2372.96830193362,2366.388427054555
lag 41,2290.729971997526,2328.15086778057,2309.440419889048
lag 42,2286.483500233332,2322.00119613844,2304.242348185886
lag 43,2355.589220471854,2311.6866788113807,2333.6379496416175
lag 44,2248.191580925265,2310.7698406979325,2279.480710811599
lag 45,2360.1581875606694,2322.7167588722746,2341.437473216472
lag 46,2280.4490510265596,2279.1980075252727,2279.8235292759164
lag 47,2238.017557284168,2267.1152348393375,2252.566396061753
lag 48,2266.299376004723,2304.090629294057,2285.19500264939
lag 49,2345.719788109777,2305.402629360501,2325.561208735139
lag 50,2224.944278618403,2263.8435853958763,2244.3939320071395
lag 51,2358.767365089847,2311.8491774382487,2335.308271264048
lag 52,2354.642855731993,2355.578315209105,2355.1105854705493
lag 53,2348.359626549429,2319.1014667839877,2333.7305466667085
lag 54,2306.784159137377,2278.468959850518,2292.6265594939478
lag 55,2314.6737888362113,2349.929449758067,2332.301619297139
lag 56,2409.9540066303007,2324.3466718172203,2367.1503392237605
lag 57,2351.1521458312627,2259.764375233922,2305.4582605325922
lag 58,2323.6627015540716,2254.8977302919266,2289.280215922999
lag 59,2323.4187647324698,2300.6979191440973,2312.058341938284
lag 60,2293.7574719786653,2311.797263561386,2302.7773677700256
lag 61,2317.0121617702393,2279.1967412446597,2298.1044515074495
lag 62,2273.1775147540657,2190.479332692971,2231.8284237235184
lag 63,2341.0560693959987,2314.026066145014,2327.5410677705063
lag 64,2291.0838572925113,2309.4610559963744,2300.272456644443
lag 65,2284.228284556123,2249.080830010941,2266.654557283532
lag 66,2249.312155551186,2373.2338446159415,2311.2730000835636
