lag,gaussian,bernoulli,average
lag 0,19781.080301356422,6514.932451091601,13148.006376224012
lag 1,15438.749386125852,15518.403630969715,15478.576508547783
lag 2,10955.024802119038,8500.247149879364,9727.635975999201
lag 3,9454.521640222258,9770.840624551642,9612.68113238695
lag 4,9438.768488861626,9398.690089303152,9418.729289082388
lag 5,9433.816230820219,9756.48702312895,9595.151626974584
lag 6,9732.858207224343,9436.811665766725,9584.834936495534
lag 7,9604.840116907624,9739.703832852581,9672.271974880103
lag 8,9182.700365511546,9476.430140974855,9329.5652532432
lag 9,9379.133466347772,9143.157260111588,9261.14536322968
lag 10,9767.84987155857,9546.503641366959,9657.176756462764
lag 11,9724.193116171817,9088.357440871621,9406.27527852172
lag 12,9479.626149363128,9560.0489462127,9519.837547787914
lag 13,9709.716390837124,9430.880623079593,9570.29850695836
lag 14,9377.949948924199,9616.88562854529,9497.417788734743
lag 15,9334.025273794301,9410.82157469148,9372.42342424289
lag 16,9831.23420351806,9828.002339761453,9829.618271639756
lag 17,9445.543597200893,9473.747601649437,9459.645599425165
lag 18,9583.4590366113,9648.149679281816,9615.80435794656
lag 19,9435.677440931766,9654.529679802114,9545.10356036694
lag 20,9579.825568129516,9299.357242724936,9439.591405427225
lag 21,9828.947723925168,9591.97337624774,9710.460550086455
lag 22,9761.712965530558,9709.080682819704,9735.396824175132
lag 23,9590.15502424275,9579.614971952451,9584.884998097601
lag 24,9931.331922983225,9237.858923960794,9584.595423472008
lag 25,9217.011243714413,9405.124231932778,9311.067737823596
lag 26,9479.854802797625,9130.352719656223,9305.103761226925
lag 27,9087.972661003889,9565.049838420937,9326.511249712414
lag 28,9459.370299286227,9271.472741177811,9365.42152023202
lag 29,9694.856170086285,9561.653799126634,9628.25498460646
lag 30,9267.691516366684,9403.139110292246,9335.415313329464
lag 31,9122.593390504313,9564.966158993444,9343.779774748878
lag 32,9449.881083611084,9558.534317646865,9504.207700628975
lag 33,9612.862897915078,9734.310995190359,9673.586946552718
lag 34,9374.24798561267,9308.38344626741,9341.31571594004
lag 35,9513.347526758198,9063.940098261606,9288.643812509901
lag 36,9417.088097841246,9577.559992293967,9497.324045067606
lag 37,9439.86624678718,9288.25265663185,9364.059451709516
lag 38,9291.89081671173,9349.797983363607,9320.84440003767
lag 39,9527.490775405491,9398.12677508682,9462.808775246154
lag 40,9068.230054726017,8852.102946718496,8960.166500722256
lag 41,9028.962923183113,9611.328661498806,9320.14579234096
lag 42,9281.972580813635,9195.015512589762,9238.494046701699
lag 43,9259.622810956822,9506.365629606164,9382.994220281493
lag 44,9671.15228937188,9453.376882540175,9562.264585956027
lag 45,9219.487625087386,9264.649751192917,9242.068688140153
lag 46,9038.644465126525,9320.018095320818,9179.331280223672
lag 47,9649.899012451699,9352.721954677594,9501.310483564646
lag 48,9472.240810837693,9254.56330997469,9363.402060406192
lag 49,9556.213311253983,9202.070669355866,9379.141990304925
lag 50,9089.657428682132,9351.732521398304,9220.694975040218
lag 51,9470.08557260274,9656.573727413812,9563.329650008276
lag 52,9435.526084764706,9029.570151494638,9232.548118129671
lag 53,9347.078958349846,9146.755116723452,9246.917037536648
lag 54,9336.549960529055,9106.686891929648,9221.618426229352
lag 55,9056.51796037342,9332.552119159951,9194.535039766684
lag 56,9581.32604743323,9465.240181792715,9523.283114612972
lag 57,9216.643740885864,9281.336716537055,9248.99022871146
lag 58,9688.25983879726,9245.895853208134,9467.077846002696
lag 59,9263.07743382306,9088.731586095322,9175.904509959191
lag 60,9515.480732465681,9434.379153778324,9474.929943122002
lag 61,9683.180238647628,9111.64713509652,9397.413686872074
lag 62,9522.051599631717,9104.487433859922,9313.269516745819
lag 63,9200.53432359031,9045.641858005778,9123.088090798043
lag 64,9155.331363116436,9319.948019361058,9237.639691238746
lag 65,9216.944938044748,9329.831934266995,9273.38843615587
lag 66,8837.268183573677,9534.851246197351,9186.059714885514
lag 67,9385.634943307767,9016.526673935232,9201.0808086215
lag 68,9690.152875530952,9598.964961593181,9644.558918562067
lag 69,9477.173977716526,9319.575152408219,9398.374565062371
lag 70,9140.033916192042,9212.843333734909,9176.438624963475
lag 71,9026.388945590614,9373.734490360566,9200.06171797559
lag 72,9663.478288855675,9149.993575317392,9406.735932086533
lag 73,8840.86949493723,9456.544701311774,9148.707098124501
lag 74,9417.41824593262,9104.330701850751,9260.874473891687
lag 75,9256.191403401175,9200.757665253474,9228.474534327324
lag 76,9211.147955122584,9470.770622072157,9340.95928859737
